timestamp,desired_replicas,available_replicas,ready_replicas
2025-05-13 17:08:09,2,0,0
2025-05-13 17:08:14,2,0,0
2025-05-13 17:08:19,2,0,0
2025-05-13 17:08:24,2,0,0
2025-05-13 17:08:29,2,0,0
2025-05-13 17:08:34,2,0,0
2025-05-13 17:08:39,2,0,0
2025-05-13 17:08:44,2,0,0
2025-05-13 17:08:49,2,0,0
2025-05-13 17:08:54,2,0,0
2025-05-13 17:08:59,2,0,0
2025-05-13 17:09:04,2,0,0
2025-05-13 17:09:09,2,0,0
2025-05-13 17:09:14,2,0,0
2025-05-13 17:09:20,2,0,0
2025-05-13 17:09:25,2,0,0
2025-05-13 17:09:30,2,0,0
2025-05-13 17:09:35,2,0,0
2025-05-13 17:09:40,2,0,0
2025-05-13 17:09:45,2,0,0
2025-05-13 17:09:50,2,0,0
2025-05-13 17:09:55,2,0,0
2025-05-13 17:10:00,2,0,0
2025-05-13 17:10:05,2,0,0
2025-05-13 17:10:10,2,0,0
2025-05-13 17:10:15,2,0,0
2025-05-13 17:10:20,2,0,0
2025-05-13 17:10:25,2,0,0
2025-05-13 17:10:30,2,0,0
2025-05-13 17:10:35,2,0,0
2025-05-13 17:10:40,2,0,0
2025-05-13 17:10:45,2,0,0
2025-05-13 17:10:50,2,0,0
2025-05-13 17:10:55,2,0,0
2025-05-13 17:11:00,2,0,0
2025-05-13 17:11:05,2,0,0
2025-05-13 17:11:10,2,0,0
2025-05-13 17:11:15,2,0,0
2025-05-13 17:11:20,2,0,0
2025-05-13 17:11:25,2,0,0
2025-05-13 17:11:30,2,0,0
2025-05-13 17:11:35,2,0,0
2025-05-13 17:11:40,2,0,0
2025-05-13 17:11:45,2,0,0
2025-05-13 17:11:50,2,0,0
2025-05-13 17:11:55,2,0,0
2025-05-13 17:12:00,2,0,0
2025-05-13 17:12:05,2,0,0
2025-05-13 17:12:10,2,0,0
2025-05-13 17:12:16,2,0,0
2025-05-13 17:12:21,2,0,0
2025-05-13 17:12:26,2,0,0
2025-05-13 17:12:31,2,0,0
2025-05-13 17:12:36,2,0,0
2025-05-13 17:12:41,2,0,0
2025-05-13 17:12:46,2,0,0
2025-05-13 17:12:51,2,0,0
2025-05-13 17:12:56,2,1,1
2025-05-13 17:13:01,2,1,1
2025-05-13 17:13:06,2,2,2
2025-05-13 17:13:11,2,2,2
2025-05-13 17:13:16,2,2,2
2025-05-13 17:13:21,2,2,2
2025-05-13 17:13:26,2,2,2
2025-05-13 17:13:31,2,2,2
2025-05-13 17:13:36,2,2,2
2025-05-13 17:13:41,2,2,2
2025-05-13 17:13:46,2,2,2
2025-05-13 17:13:51,2,2,2
2025-05-13 17:13:56,2,2,2
2025-05-13 17:14:01,2,2,2
2025-05-13 17:14:06,2,2,2
2025-05-13 17:14:11,2,2,2
2025-05-13 17:14:16,2,2,2
2025-05-13 17:14:21,2,2,2
2025-05-13 17:14:26,2,2,2
2025-05-13 17:14:31,2,2,2
2025-05-13 17:14:36,2,2,2
2025-05-13 17:14:41,2,2,2
2025-05-13 17:14:46,2,2,2
2025-05-13 17:14:51,2,2,2
2025-05-13 17:14:56,2,2,2
2025-05-13 17:15:01,2,2,2
2025-05-13 17:15:06,2,2,2
2025-05-13 17:15:11,2,2,2
2025-05-13 17:15:17,2,2,2
2025-05-13 17:15:22,2,2,2
2025-05-13 17:15:27,2,2,2
2025-05-13 17:15:32,2,2,2
2025-05-13 17:15:37,2,2,2
2025-05-13 17:15:42,2,2,2
2025-05-13 17:15:47,2,2,2
2025-05-13 17:15:52,2,2,2
2025-05-13 17:15:57,2,2,2
2025-05-13 17:16:02,2,2,2
2025-05-13 17:16:07,2,2,2
2025-05-13 17:16:12,2,2,2
2025-05-13 17:16:17,2,2,2
2025-05-13 17:16:22,2,2,2
2025-05-13 17:16:27,2,2,2
2025-05-13 17:16:32,2,2,2
2025-05-13 17:16:37,2,2,2
2025-05-13 17:16:42,2,2,2
2025-05-13 17:16:47,2,2,2
2025-05-13 17:16:52,2,2,2
2025-05-13 17:16:57,2,2,2
2025-05-13 17:17:02,2,2,2
2025-05-13 17:17:07,2,2,2
2025-05-13 17:17:12,2,2,2
2025-05-13 17:17:17,2,2,2
2025-05-13 17:17:22,2,2,2
2025-05-13 17:17:27,4,2,2
