timestamp,cpu_usage(core),cpu_capacity(core),cpu_util_percent,memory_usage_bytes,memory_total_bytes,memory_util_percent
2025-05-13 18:00:07,0.017,1.0,64.8,744656896,3839508480,19.4
2025-05-13 18:00:13,0.020,1.0,57.4,744656896,3839508480,19.4
2025-05-13 18:00:18,0.024,1.0,50.0,744656896,3839508480,19.4
2025-05-13 18:00:23,0.030,1.0,40.0,761909248,3839508480,19.8
2025-05-13 18:00:28,0.034,1.0,32.2,761909248,3839508480,19.8
2025-05-13 18:00:33,0.038,1.0,24.5,761909248,3839508480,19.8
2025-05-13 18:00:38,0.040,1.0,7.7,762159104,3839508480,19.9
2025-05-13 18:00:44,0.040,1.0,7.7,762159104,3839508480,19.9
2025-05-13 18:00:49,0.040,1.0,7.7,762159104,3839508480,19.9
2025-05-13 18:00:54,0.036,1.0,4.5,770662400,3839508480,20.1
2025-05-13 18:00:59,0.036,1.0,4.5,770662400,3839508480,20.1
2025-05-13 18:01:04,0.036,1.0,4.5,770662400,3839508480,20.1
2025-05-13 18:01:09,0.029,1.0,3.9,750350336,3839508480,19.5
2025-05-13 18:01:14,0.029,1.0,3.9,750350336,3839508480,19.5
2025-05-13 18:01:20,0.029,1.0,3.9,750350336,3839508480,19.5
2025-05-13 18:01:25,0.030,1.0,4.1,772534272,3839508480,20.1
2025-05-13 18:01:30,0.030,1.0,4.1,772534272,3839508480,20.1
2025-05-13 18:01:35,0.030,1.0,4.1,772534272,3839508480,20.1
2025-05-13 18:01:40,0.030,1.0,4.1,764514304,3839508480,19.9
2025-05-13 18:01:46,0.030,1.0,4.1,764514304,3839508480,19.9
2025-05-13 18:01:51,0.032,1.0,4.0,769601536,3839508480,19.9
2025-05-13 18:01:56,0.032,1.0,4.2,769601536,3839508480,20.0
2025-05-13 18:02:01,0.032,1.0,4.2,769601536,3839508480,20.0
2025-05-13 18:02:06,0.032,1.0,4.2,769601536,3839508480,20.0
2025-05-13 18:02:11,0.032,1.0,2.8,769581056,3839508480,20.0
2025-05-13 18:02:17,0.032,1.0,2.8,769581056,3839508480,20.0
2025-05-13 18:02:22,0.035,1.0,4.5,770310144,3839508480,20.1
2025-05-13 18:02:27,0.035,1.0,4.5,770310144,3839508480,20.1
2025-05-13 18:02:32,0.035,1.0,4.5,770310144,3839508480,20.1
2025-05-13 18:02:37,0.178,1.0,18.6,822034432,3839508480,21.4
2025-05-13 18:02:42,0.178,1.0,18.6,822034432,3839508480,21.4
2025-05-13 18:02:48,0.178,1.0,18.6,822034432,3839508480,21.4
2025-05-13 18:02:53,0.190,1.0,21.2,752898048,3839508480,19.6
2025-05-13 18:02:58,0.190,1.0,21.2,752898048,3839508480,19.6
2025-05-13 18:03:03,0.190,1.0,21.2,752898048,3839508480,19.6
2025-05-13 18:03:08,0.197,1.0,20.5,751726592,3839508480,19.6
2025-05-13 18:03:14,0.197,1.0,20.5,751726592,3839508480,19.6
2025-05-13 18:03:19,0.197,1.0,20.5,751726592,3839508480,19.6
2025-05-13 18:03:24,0.062,1.0,7.2,747831296,3839508480,19.5
2025-05-13 18:03:29,0.062,1.0,7.2,747831296,3839508480,19.5
2025-05-13 18:03:34,0.062,1.0,7.2,747831296,3839508480,19.5
2025-05-13 18:03:39,0.050,1.0,6.0,747147264,3839508480,19.5
2025-05-13 18:03:45,0.050,1.0,6.0,747147264,3839508480,19.5
2025-05-13 18:03:50,0.050,1.0,6.0,747147264,3839508480,19.5
2025-05-13 18:03:55,0.042,1.0,5.2,744775680,3839508480,19.4
2025-05-13 18:04:00,0.042,1.0,5.2,744775680,3839508480,19.4
2025-05-13 18:04:05,0.042,1.0,5.2,744775680,3839508480,19.4
2025-05-13 18:04:10,0.034,1.0,4.4,744185856,3839508480,19.4
2025-05-13 18:04:15,0.034,1.0,4.4,744185856,3839508480,19.4
2025-05-13 18:04:20,0.034,1.0,4.4,744185856,3839508480,19.4
2025-05-13 18:04:26,0.034,1.0,3.3,744124416,3839508480,19.4
2025-05-13 18:04:31,0.034,1.0,3.3,744124416,3839508480,19.4
2025-05-13 18:04:36,0.090,1.0,10.0,787148800,3839508480,20.5
2025-05-13 18:04:41,0.090,1.0,10.0,787148800,3839508480,20.5
2025-05-13 18:04:46,0.090,1.0,10.0,787148800,3839508480,20.5
2025-05-13 18:04:51,0.104,1.0,11.5,794378240,3839508480,20.7
2025-05-13 18:04:56,0.104,1.0,11.5,794378240,3839508480,20.7
2025-05-13 18:05:02,0.104,1.0,11.5,794378240,3839508480,20.7
2025-05-13 18:05:07,0.113,1.0,13.2,780062720,3839508480,20.3
2025-05-13 18:05:12,0.113,1.0,13.2,780062720,3839508480,20.3
2025-05-13 18:05:17,0.113,1.0,13.2,780062720,3839508480,20.3
2025-05-13 18:05:22,0.059,1.0,7.1,797396992,3839508480,20.8
2025-05-13 18:05:27,0.059,1.0,7.1,797396992,3839508480,20.8
2025-05-13 18:05:32,0.059,1.0,7.1,797396992,3839508480,20.8
2025-05-13 18:05:37,0.042,1.0,20.9,797396992,3839508480,20.8
2025-05-13 18:05:43,0.038,1.0,29.0,797396992,3839508480,20.8
2025-05-13 18:05:48,0.034,1.0,37.0,797396992,3839508480,20.8
2025-05-13 18:05:53,0.022,0.0,45.1,0,0,0.0
2025-05-13 18:05:58,0.019,0.0,53.1,0,0,0.0
2025-05-13 18:06:03,0.016,0.0,61.1,0,0,0.0
