timestamp,action,pod
2025-05-13 17:36:02,ADD,mbw-h84b7
2025-05-13 17:36:07,ADD,step-load-56f7f9dbb7-j6vd9
2025-05-13 17:36:18,ADD,nginx-69576ccd8f-5fm9d
2025-05-13 17:46:07,DEL,mbw-h84b7
2025-05-13 17:48:33,ADD,mbw-ndjct
2025-05-13 17:58:34,DEL,mbw-ndjct
2025-05-13 18:01:25,ADD,mbw-m84dd
2025-05-13 18:11:27,DEL,mbw-m84dd
2025-05-13 18:15:46,ADD,mbw-bczw2
2025-05-13 18:25:54,DEL,mbw-bczw2
2025-05-13 18:28:40,ADD,mbw-fhrsr
2025-05-13 18:38:46,DEL,mbw-fhrsr
2025-05-13 18:40:13,DEL,nginx-69576ccd8f-5fm9d
2025-05-13 18:40:13,DEL,step-load-56f7f9dbb7-j6vd9
