timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 18:45:34,1.258,125.77,2183389184,86.76
2025-05-13 18:45:39,1.258,125.77,2183389184,86.76
2025-05-13 18:45:44,1.258,125.77,2183389184,86.76
2025-05-13 18:45:49,1.258,125.77,2183389184,86.76
2025-05-13 18:45:55,1.258,125.77,2183389184,86.76
2025-05-13 18:46:00,1.258,125.77,2183389184,86.76
2025-05-13 18:46:05,0.486,48.56,2184654848,86.81
2025-05-13 18:46:10,0.486,48.56,2184654848,86.81
2025-05-13 18:46:15,0.486,48.56,2184654848,86.81
2025-05-13 18:46:20,0.486,48.56,2184654848,86.81
2025-05-13 18:46:25,0.486,48.56,2184654848,86.81
2025-05-13 18:46:31,0.920,92.01,2184654848,86.81
2025-05-13 18:46:36,0.920,92.01,2184667136,86.81
2025-05-13 18:46:41,0.920,92.01,2184667136,86.81
2025-05-13 18:46:46,0.920,92.01,2184667136,86.81
2025-05-13 18:46:51,0.920,92.01,2184667136,86.81
2025-05-13 18:46:56,0.920,92.01,2184667136,86.81
2025-05-13 18:47:02,0.687,68.68,2184667136,86.81
2025-05-13 18:47:07,0.687,68.68,2184663040,86.81
2025-05-13 18:47:12,0.687,68.68,2184663040,86.81
2025-05-13 18:47:17,0.687,68.68,2184663040,86.81
2025-05-13 18:47:22,0.687,68.68,2184663040,86.81
2025-05-13 18:47:27,0.687,68.68,2184663040,86.81
2025-05-13 18:47:33,1.049,104.88,2184663040,86.81
2025-05-13 18:47:38,1.049,104.88,2182082560,86.71
2025-05-13 18:47:43,1.049,104.88,2182082560,86.71
2025-05-13 18:47:48,1.049,104.88,2182082560,86.71
2025-05-13 18:47:53,1.049,104.88,2182082560,86.71
2025-05-13 18:47:58,1.049,104.88,2182082560,86.71
2025-05-13 18:48:03,0.693,69.30,2182111232,86.71
2025-05-13 18:48:09,0.693,69.30,2182111232,86.71
2025-05-13 18:48:14,0.693,69.30,2182111232,86.71
2025-05-13 18:48:19,0.693,69.30,2182111232,86.71
2025-05-13 18:48:24,0.693,69.30,2182111232,86.71
2025-05-13 18:48:29,0.693,69.30,2182111232,86.71
2025-05-13 18:48:34,0.858,85.75,2182107136,86.71
2025-05-13 18:48:40,0.858,85.75,2182107136,86.71
2025-05-13 18:48:45,0.858,85.75,2182107136,86.71
2025-05-13 18:48:50,0.858,85.75,2182107136,86.71
2025-05-13 18:48:55,0.858,85.75,2182107136,86.71
2025-05-13 18:49:00,0.858,85.75,2182107136,86.71
2025-05-13 18:49:05,0.842,84.20,2184622080,86.81
2025-05-13 18:49:10,0.842,84.20,2184622080,86.81
2025-05-13 18:49:16,0.842,84.20,2184622080,86.81
2025-05-13 18:49:21,0.842,84.20,2184622080,86.81
2025-05-13 18:49:26,0.842,84.20,2184622080,86.81
2025-05-13 18:49:31,0.584,58.43,2184622080,86.81
2025-05-13 18:49:36,0.584,58.43,1362227200,54.13
2025-05-13 18:49:41,0.584,58.43,1362227200,54.13
2025-05-13 18:49:47,0.584,58.43,1362227200,54.13
2025-05-13 18:49:52,0.584,58.43,1362227200,54.13
2025-05-13 18:49:57,0.584,58.43,1362227200,54.13
2025-05-13 18:50:02,0.798,79.82,1362227200,54.13
2025-05-13 18:50:07,0.798,79.82,2184646656,86.81
2025-05-13 18:50:12,0.798,79.82,2184646656,86.81
2025-05-13 18:50:17,0.798,79.82,2184646656,86.81
2025-05-13 18:50:22,0.798,79.82,2184646656,86.81
2025-05-13 18:50:28,0.798,79.82,2184646656,86.81
2025-05-13 18:50:33,1.058,105.79,2184646656,86.81
2025-05-13 18:50:38,1.058,105.79,2182230016,86.71
2025-05-13 18:50:43,1.058,105.79,2182230016,86.71
2025-05-13 18:50:48,1.058,105.79,2182230016,86.71
2025-05-13 18:50:53,1.058,105.79,2182230016,86.71
2025-05-13 18:50:59,1.058,105.79,2182230016,86.71
2025-05-13 18:51:04,0.751,75.09,2182254592,86.72
2025-05-13 18:51:09,0.751,75.09,2182254592,86.72
2025-05-13 18:51:14,0.751,75.09,2182254592,86.72
2025-05-13 18:51:19,0.751,75.09,2182254592,86.72
2025-05-13 18:51:24,0.751,75.09,2182254592,86.72
2025-05-13 18:51:29,0.751,75.09,2182254592,86.72
2025-05-13 18:51:35,0.846,84.64,2182258688,86.72
2025-05-13 18:51:40,0.846,84.64,2182258688,86.72
2025-05-13 18:51:45,0.846,84.64,2182258688,86.72
2025-05-13 18:51:50,0.846,84.64,2182258688,86.72
2025-05-13 18:51:55,0.846,84.64,2182258688,86.72
2025-05-13 18:52:00,0.846,84.64,2182258688,86.72
2025-05-13 18:52:06,0.921,92.13,2182254592,86.72
2025-05-13 18:52:11,0.921,92.13,2182254592,86.72
2025-05-13 18:52:16,0.921,92.13,2182254592,86.72
2025-05-13 18:52:21,0.921,92.13,2182254592,86.72
2025-05-13 18:52:26,0.921,92.13,2182254592,86.72
2025-05-13 18:52:31,0.629,62.86,2182254592,86.72
2025-05-13 18:52:36,0.629,62.86,2182254592,86.72
2025-05-13 18:52:42,0.629,62.86,2182254592,86.72
2025-05-13 18:52:47,0.629,62.86,2182254592,86.72
2025-05-13 18:52:52,0.629,62.86,2182254592,86.72
2025-05-13 18:52:57,0.629,62.86,2182254592,86.72
2025-05-13 18:53:03,0.758,75.80,2182254592,86.72
2025-05-13 18:53:08,0.758,75.80,2184777728,86.82
2025-05-13 18:53:13,0.758,75.80,2184777728,86.82
2025-05-13 18:53:18,0.758,75.80,2184777728,86.82
2025-05-13 18:53:23,0.758,75.80,2184777728,86.82
2025-05-13 18:53:28,0.758,75.80,2184777728,86.82
2025-05-13 18:53:33,0.874,87.43,2184794112,86.82
2025-05-13 18:53:39,0.874,87.43,2184794112,86.82
2025-05-13 18:53:44,0.874,87.43,2184794112,86.82
2025-05-13 18:53:49,0.874,87.43,2184794112,86.82
2025-05-13 18:53:54,0.874,87.43,2184794112,86.82
2025-05-13 18:54:00,0.874,87.43,2184794112,86.82
2025-05-13 18:54:05,0.890,89.03,2184790016,86.82
