timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 19:12:06,0.785,78.48,2184151040,86.79
2025-05-13 19:12:11,0.785,78.48,2184151040,86.79
2025-05-13 19:12:16,0.785,78.48,2184151040,86.79
2025-05-13 19:12:21,0.785,78.48,32022528,1.27
2025-05-13 19:12:26,0.785,78.48,32022528,1.27
2025-05-13 19:12:31,0.492,49.19,32022528,1.27
2025-05-13 19:12:37,0.492,49.19,32022528,1.27
2025-05-13 19:12:42,0.492,49.19,32022528,1.27
2025-05-13 19:12:47,0.492,49.19,32022528,1.27
2025-05-13 19:12:52,0.492,49.19,30019584,1.19
2025-05-13 19:12:57,0.492,49.19,30019584,1.19
2025-05-13 19:13:03,0.663,66.28,30019584,1.19
2025-05-13 19:13:08,0.663,66.28,30019584,1.19
2025-05-13 19:13:13,0.663,66.28,30019584,1.19
2025-05-13 19:13:18,0.663,66.28,30019584,1.19
2025-05-13 19:13:23,0.663,66.28,2182324224,86.72
2025-05-13 19:13:28,0.663,66.28,2182324224,86.72
2025-05-13 19:13:34,0.767,76.74,2182324224,86.72
2025-05-13 19:13:39,0.767,76.74,2182324224,86.72
2025-05-13 19:13:44,0.767,76.74,2182324224,86.72
2025-05-13 19:13:49,0.767,76.74,30810112,1.22
2025-05-13 19:13:54,0.767,76.74,30810112,1.22
2025-05-13 19:13:59,0.767,76.74,30810112,1.22
2025-05-13 19:14:05,0.614,61.36,30810112,1.22
2025-05-13 19:14:10,0.614,61.36,30810112,1.22
2025-05-13 19:14:15,0.614,61.36,30810112,1.22
2025-05-13 19:14:20,0.614,61.36,2182955008,86.74
2025-05-13 19:14:25,0.614,61.36,2182955008,86.74
2025-05-13 19:14:30,0.876,87.60,2182955008,86.74
2025-05-13 19:14:36,0.876,87.60,2182955008,86.74
2025-05-13 19:14:41,0.876,87.60,2182955008,86.74
2025-05-13 19:14:46,0.876,87.60,2182955008,86.74
2025-05-13 19:14:51,0.876,87.60,2182959104,86.74
2025-05-13 19:14:57,0.876,87.60,2182959104,86.74
2025-05-13 19:15:02,0.869,86.88,2182959104,86.74
2025-05-13 19:15:08,0.869,86.88,2182959104,86.74
2025-05-13 19:15:13,0.869,86.88,2182959104,86.74
2025-05-13 19:15:18,0.869,86.88,2182959104,86.74
2025-05-13 19:15:23,0.869,86.88,2182410240,86.72
2025-05-13 19:15:29,0.869,86.88,2182410240,86.72
2025-05-13 19:15:34,0.357,35.73,2182410240,86.72
2025-05-13 19:15:39,0.357,35.73,2182410240,86.72
2025-05-13 19:15:44,0.357,35.73,2182410240,86.72
2025-05-13 19:15:49,0.357,35.73,30294016,1.20
2025-05-13 19:15:55,0.357,35.73,30294016,1.20
2025-05-13 19:16:00,0.357,35.73,30294016,1.20
2025-05-13 19:16:05,0.739,73.88,30294016,1.20
2025-05-13 19:16:10,0.739,73.88,30294016,1.20
2025-05-13 19:16:15,0.739,73.88,30294016,1.20
2025-05-13 19:16:20,0.739,73.88,30924800,1.23
2025-05-13 19:16:26,0.739,73.88,30924800,1.23
2025-05-13 19:16:31,0.455,45.50,30924800,1.23
2025-05-13 19:16:36,0.455,45.50,30924800,1.23
2025-05-13 19:16:41,0.455,45.50,30924800,1.23
2025-05-13 19:16:46,0.455,45.50,30924800,1.23
2025-05-13 19:16:51,0.455,45.50,2183077888,86.75
2025-05-13 19:16:56,0.455,45.50,2183077888,86.75
2025-05-13 19:17:02,0.749,74.91,2183077888,86.75
2025-05-13 19:17:07,0.749,74.91,2183077888,86.75
2025-05-13 19:17:12,0.749,74.91,2183077888,86.75
2025-05-13 19:17:17,0.749,74.91,2183077888,86.75
2025-05-13 19:17:22,0.749,74.91,2183061504,86.75
2025-05-13 19:17:27,0.749,74.91,2183061504,86.75
2025-05-13 19:17:33,1.035,103.55,2183061504,86.75
2025-05-13 19:17:38,1.035,103.55,2183061504,86.75
2025-05-13 19:17:43,1.035,103.55,2183061504,86.75
2025-05-13 19:17:48,1.035,103.55,2183061504,86.75
2025-05-13 19:17:53,1.035,103.55,2182451200,86.72
2025-05-13 19:17:58,1.035,103.55,2182451200,86.72
2025-05-13 19:18:03,0.297,29.75,2182451200,86.72
2025-05-13 19:18:09,0.297,29.75,2182451200,86.72
2025-05-13 19:18:14,0.297,29.75,2182451200,86.72
2025-05-13 19:18:19,0.297,29.75,2182451200,86.72
2025-05-13 19:18:24,0.297,29.75,30339072,1.21
2025-05-13 19:18:29,0.297,29.75,30339072,1.21
2025-05-13 19:18:34,0.710,70.96,30339072,1.21
2025-05-13 19:18:39,0.710,70.96,30339072,1.21
2025-05-13 19:18:45,0.710,70.96,30339072,1.21
2025-05-13 19:18:50,0.710,70.96,2182467584,86.72
2025-05-13 19:18:55,0.710,70.96,2182467584,86.72
2025-05-13 19:19:00,0.710,70.96,2182467584,86.72
2025-05-13 19:19:05,0.795,79.46,2182467584,86.72
2025-05-13 19:19:10,0.795,79.46,2182467584,86.72
2025-05-13 19:19:16,0.795,79.46,2182467584,86.72
2025-05-13 19:19:21,0.795,79.46,2182475776,86.72
2025-05-13 19:19:26,0.795,79.46,2182475776,86.72
2025-05-13 19:19:31,0.639,63.95,2182475776,86.72
2025-05-13 19:19:36,0.639,63.95,2182475776,86.72
2025-05-13 19:19:41,0.639,63.95,2182475776,86.72
2025-05-13 19:19:46,0.639,63.95,2182475776,86.72
2025-05-13 19:19:52,0.639,63.95,2182467584,86.72
2025-05-13 19:19:57,0.639,63.95,2182467584,86.72
2025-05-13 19:20:02,1.010,101.02,2182467584,86.72
2025-05-13 19:20:07,1.010,101.02,2182467584,86.72
