timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 17:33:01,0.689,68.88,2183610368,86.77
2025-05-13 17:33:06,0.689,68.88,2183610368,86.77
2025-05-13 17:33:11,0.689,68.88,2183802880,86.78
2025-05-13 17:33:16,0.689,68.88,2183802880,86.78
2025-05-13 17:33:21,0.689,68.88,2183802880,86.78
2025-05-13 17:33:27,0.689,68.88,2183802880,86.78
2025-05-13 17:33:32,0.345,34.48,2183802880,86.78
2025-05-13 17:33:37,0.345,34.48,2183585792,86.77
2025-05-13 17:33:42,0.345,34.48,2183585792,86.77
2025-05-13 17:33:47,0.345,34.48,2183585792,86.77
2025-05-13 17:33:52,0.345,34.48,2183585792,86.77
2025-05-13 17:33:57,0.345,34.48,2183585792,86.77
2025-05-13 17:34:03,1.336,133.60,2183585792,86.77
2025-05-13 17:34:08,1.336,133.60,2185465856,86.84
2025-05-13 17:34:13,1.336,133.60,2185465856,86.84
2025-05-13 17:34:18,1.336,133.60,2185465856,86.84
2025-05-13 17:34:23,1.336,133.60,2185465856,86.84
2025-05-13 17:34:28,1.336,133.60,2185465856,86.84
2025-05-13 17:34:34,0.179,17.87,2185465856,86.84
2025-05-13 17:34:39,0.179,17.87,2185224192,86.83
2025-05-13 17:34:44,0.179,17.87,2185224192,86.83
2025-05-13 17:34:49,0.179,17.87,2185224192,86.83
2025-05-13 17:34:54,0.179,17.87,2185224192,86.83
2025-05-13 17:35:00,0.179,17.87,2185224192,86.83
2025-05-13 17:35:05,0.835,83.53,2185224192,86.83
2025-05-13 17:35:10,0.835,83.53,2185216000,86.83
2025-05-13 17:35:15,0.835,83.53,2185216000,86.83
2025-05-13 17:35:20,0.835,83.53,2185216000,86.83
2025-05-13 17:35:25,0.835,83.53,2185216000,86.83
2025-05-13 17:35:31,0.932,93.19,2185216000,86.83
2025-05-13 17:35:36,0.932,93.19,2185216000,86.83
2025-05-13 17:35:41,0.932,93.19,195743744,7.78
2025-05-13 17:35:46,0.932,93.19,195743744,7.78
2025-05-13 17:35:52,0.932,93.19,195743744,7.78
2025-05-13 17:35:57,0.932,93.19,195743744,7.78
2025-05-13 17:36:02,0.706,70.62,195743744,7.78
2025-05-13 17:36:07,0.706,70.62,2230808576,88.64
2025-05-13 17:36:13,0.706,70.62,2230808576,88.64
2025-05-13 17:36:18,0.706,70.62,2230808576,88.64
2025-05-13 17:36:23,0.706,70.62,2230808576,88.64
2025-05-13 17:36:28,0.706,70.62,2230808576,88.64
2025-05-13 17:36:34,0.903,90.28,2230808576,88.64
2025-05-13 17:36:39,0.903,90.28,2230824960,88.65
2025-05-13 17:36:44,0.903,90.28,2230824960,88.65
2025-05-13 17:36:50,0.903,90.28,2230824960,88.65
2025-05-13 17:36:55,0.903,90.28,2230824960,88.65
2025-05-13 17:37:00,0.903,90.28,2230824960,88.65
2025-05-13 17:37:05,0.842,84.18,2230824960,88.65
2025-05-13 17:37:11,0.842,84.18,81199104,3.23
2025-05-13 17:37:16,0.842,84.18,81199104,3.23
2025-05-13 17:37:21,0.842,84.18,81199104,3.23
2025-05-13 17:37:26,0.842,84.18,81199104,3.23
2025-05-13 17:37:31,0.639,63.92,81199104,3.23
2025-05-13 17:37:37,0.639,63.92,81235968,3.23
2025-05-13 17:37:42,0.639,63.92,81235968,3.23
2025-05-13 17:37:47,0.639,63.92,81235968,3.23
2025-05-13 17:37:52,0.639,63.92,81235968,3.23
2025-05-13 17:37:57,0.639,63.92,81235968,3.23
2025-05-13 17:38:03,0.857,85.68,81235968,3.23
2025-05-13 17:38:08,0.857,85.68,2233344000,88.75
2025-05-13 17:38:13,0.857,85.68,2233344000,88.75
2025-05-13 17:38:18,0.857,85.68,2233344000,88.75
2025-05-13 17:38:24,0.857,85.68,2233344000,88.75
2025-05-13 17:38:29,0.857,85.68,2233344000,88.75
2025-05-13 17:38:34,0.746,74.59,2233344000,88.75
2025-05-13 17:38:39,0.746,74.59,2233356288,88.75
2025-05-13 17:38:45,0.746,74.59,2233356288,88.75
2025-05-13 17:38:50,0.746,74.59,2233356288,88.75
2025-05-13 17:38:55,0.746,74.59,2233356288,88.75
2025-05-13 17:39:00,0.746,74.59,2233356288,88.75
2025-05-13 17:39:06,0.942,94.16,2233356288,88.75
2025-05-13 17:39:11,0.942,94.16,2240655360,89.04
2025-05-13 17:39:16,0.942,94.16,2240655360,89.04
2025-05-13 17:39:21,0.942,94.16,2240655360,89.04
2025-05-13 17:39:26,0.942,94.16,2240655360,89.04
2025-05-13 17:39:32,0.469,46.87,2240655360,89.04
2025-05-13 17:39:37,0.469,46.87,2240671744,89.04
2025-05-13 17:39:42,0.469,46.87,2240671744,89.04
2025-05-13 17:39:47,0.469,46.87,2240671744,89.04
2025-05-13 17:39:52,0.469,46.87,2240671744,89.04
2025-05-13 17:39:58,0.469,46.87,2240671744,89.04
2025-05-13 17:40:03,0.767,76.66,2240671744,89.04
2025-05-13 17:40:08,0.767,76.66,2240679936,89.04
2025-05-13 17:40:13,0.767,76.66,2240679936,89.04
2025-05-13 17:40:19,0.767,76.66,2240679936,89.04
2025-05-13 17:40:24,0.767,76.66,2240679936,89.04
