timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 18:17:00,0.989,98.93,31404032,1.25
2025-05-13 18:17:06,0.989,98.93,2183528448,86.77
2025-05-13 18:17:11,0.989,98.93,2183528448,86.77
2025-05-13 18:17:16,0.989,98.93,2183528448,86.77
2025-05-13 18:17:21,0.989,98.93,2183528448,86.77
2025-05-13 18:17:26,0.989,98.93,2183528448,86.77
2025-05-13 18:17:31,0.445,44.52,2183528448,86.77
2025-05-13 18:17:37,0.445,44.52,2184794112,86.82
2025-05-13 18:17:42,0.445,44.52,2184794112,86.82
2025-05-13 18:17:47,0.445,44.52,2184794112,86.82
2025-05-13 18:17:52,0.445,44.52,2184794112,86.82
2025-05-13 18:17:57,0.445,44.52,2184794112,86.82
2025-05-13 18:18:02,0.721,72.05,2184794112,86.82
2025-05-13 18:18:08,0.721,72.05,1608073216,63.90
2025-05-13 18:18:13,0.721,72.05,1608073216,63.90
2025-05-13 18:18:18,0.721,72.05,1608073216,63.90
2025-05-13 18:18:23,0.721,72.05,1608073216,63.90
2025-05-13 18:18:28,0.721,72.05,1608073216,63.90
2025-05-13 18:18:33,0.738,73.78,1608073216,63.90
2025-05-13 18:18:39,0.738,73.78,13393920,0.53
2025-05-13 18:18:44,0.738,73.78,13393920,0.53
2025-05-13 18:18:49,0.738,73.78,13393920,0.53
2025-05-13 18:18:54,0.738,73.78,13393920,0.53
2025-05-13 18:18:59,0.738,73.78,13393920,0.53
2025-05-13 18:19:04,0.683,68.31,13393920,0.53
2025-05-13 18:19:09,0.683,68.31,2182410240,86.72
2025-05-13 18:19:15,0.683,68.31,2182410240,86.72
2025-05-13 18:19:20,0.683,68.31,2182410240,86.72
2025-05-13 18:19:25,0.683,68.31,2182410240,86.72
2025-05-13 18:19:30,0.683,68.31,2182410240,86.72
2025-05-13 18:19:35,0.818,81.76,2182410240,86.72
2025-05-13 18:19:40,0.818,81.76,32776192,1.30
2025-05-13 18:19:46,0.818,81.76,32776192,1.30
2025-05-13 18:19:51,0.818,81.76,32776192,1.30
2025-05-13 18:19:56,0.818,81.76,32776192,1.30
2025-05-13 18:20:01,0.709,70.88,32776192,1.30
2025-05-13 18:20:06,0.709,70.88,2184921088,86.82
2025-05-13 18:20:11,0.709,70.88,2184921088,86.82
2025-05-13 18:20:16,0.709,70.88,2184921088,86.82
2025-05-13 18:20:22,0.709,70.88,2184921088,86.82
2025-05-13 18:20:27,0.709,70.88,2184921088,86.82
