timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 18:10:04,0.448,44.80,2183335936,86.76
2025-05-13 18:10:09,0.448,44.80,2183335936,86.76
2025-05-13 18:10:14,0.448,44.80,2183335936,86.76
2025-05-13 18:10:19,0.448,44.80,2183335936,86.76
2025-05-13 18:10:24,0.448,44.80,2183335936,86.76
2025-05-13 18:10:29,0.448,44.80,2183335936,86.76
2025-05-13 18:10:35,0.803,80.31,2183327744,86.76
2025-05-13 18:10:40,0.803,80.31,2183327744,86.76
2025-05-13 18:10:45,0.803,80.31,2183327744,86.76
2025-05-13 18:10:50,0.803,80.31,2183327744,86.76
2025-05-13 18:10:55,0.803,80.31,2183327744,86.76
2025-05-13 18:11:00,0.803,80.31,2183327744,86.76
2025-05-13 18:11:05,1.031,103.12,2184613888,86.81
2025-05-13 18:11:10,1.031,103.12,2184613888,86.81
2025-05-13 18:11:16,1.031,103.12,2184613888,86.81
2025-05-13 18:11:21,1.031,103.12,2184613888,86.81
2025-05-13 18:11:26,1.031,103.12,2184613888,86.81
2025-05-13 18:11:31,0.900,89.96,2184613888,86.81
2025-05-13 18:11:36,0.900,89.96,2184613888,86.81
2025-05-13 18:11:41,0.900,89.96,2184613888,86.81
2025-05-13 18:11:46,0.900,89.96,2184613888,86.81
2025-05-13 18:11:52,0.900,89.96,2184613888,86.81
2025-05-13 18:11:57,0.900,89.96,2184613888,86.81
2025-05-13 18:12:02,0.695,69.46,2184613888,86.81
2025-05-13 18:12:07,0.695,69.46,2184605696,86.81
2025-05-13 18:12:12,0.695,69.46,2184605696,86.81
2025-05-13 18:12:17,0.695,69.46,2184605696,86.81
2025-05-13 18:12:22,0.695,69.46,2184605696,86.81
2025-05-13 18:12:28,0.695,69.46,2184605696,86.81
2025-05-13 18:12:33,1.116,111.63,2184605696,86.81
2025-05-13 18:12:38,1.116,111.63,2182127616,86.71
2025-05-13 18:12:43,1.116,111.63,2182127616,86.71
2025-05-13 18:12:48,1.116,111.63,2182127616,86.71
