timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 19:00:35,0.718,71.82,2183544832,86.77
2025-05-13 19:00:40,0.718,71.82,2184085504,86.79
2025-05-13 19:00:45,0.718,71.82,2184085504,86.79
2025-05-13 19:00:50,0.718,71.82,2184085504,86.79
2025-05-13 19:00:55,0.718,71.82,2184085504,86.79
2025-05-13 19:01:00,0.718,71.82,2184085504,86.79
2025-05-13 19:01:05,0.429,42.89,2184085504,86.79
2025-05-13 19:01:11,0.429,42.89,2184069120,86.79
2025-05-13 19:01:16,0.429,42.89,2184069120,86.79
2025-05-13 19:01:21,0.429,42.89,2184069120,86.79
2025-05-13 19:01:26,0.429,42.89,2184069120,86.79
2025-05-13 19:01:31,0.907,90.73,2184069120,86.79
2025-05-13 19:01:36,0.907,90.73,2184069120,86.79
2025-05-13 19:01:41,0.907,90.73,8966144,0.36
2025-05-13 19:01:47,0.907,90.73,8966144,0.36
2025-05-13 19:01:52,0.907,90.73,8966144,0.36
2025-05-13 19:01:57,0.907,90.73,8966144,0.36
2025-05-13 19:02:02,0.736,73.58,8966144,0.36
2025-05-13 19:02:07,0.736,73.58,2182299648,86.72
2025-05-13 19:02:12,0.736,73.58,2182299648,86.72
2025-05-13 19:02:18,0.736,73.58,2182299648,86.72
2025-05-13 19:02:23,0.736,73.58,2182299648,86.72
2025-05-13 19:02:28,0.736,73.58,2182299648,86.72
2025-05-13 19:02:33,0.409,40.94,2182299648,86.72
2025-05-13 19:02:38,0.409,40.94,30818304,1.22
2025-05-13 19:02:43,0.409,40.94,30818304,1.22
2025-05-13 19:02:48,0.409,40.94,30818304,1.22
2025-05-13 19:02:54,0.409,40.94,30818304,1.22
2025-05-13 19:02:59,0.409,40.94,30818304,1.22
2025-05-13 19:03:04,0.945,94.53,30818304,1.22
2025-05-13 19:03:09,0.945,94.53,2182938624,86.74
2025-05-13 19:03:14,0.945,94.53,2182938624,86.74
2025-05-13 19:03:19,0.945,94.53,2182938624,86.74
2025-05-13 19:03:24,0.945,94.53,2182938624,86.74
2025-05-13 19:03:30,0.945,94.53,2182938624,86.74
2025-05-13 19:03:35,0.531,53.08,2182938624,86.74
2025-05-13 19:03:40,0.531,53.08,30818304,1.22
2025-05-13 19:03:45,0.531,53.08,30818304,1.22
2025-05-13 19:03:50,0.531,53.08,30818304,1.22
2025-05-13 19:03:55,0.531,53.08,30818304,1.22
2025-05-13 19:04:01,0.725,72.51,30818304,1.22
2025-05-13 19:04:06,0.725,72.51,30818304,1.22
2025-05-13 19:04:11,0.725,72.51,9535488,0.38
2025-05-13 19:04:16,0.725,72.51,9535488,0.38
2025-05-13 19:04:21,0.725,72.51,9535488,0.38
2025-05-13 19:04:26,0.725,72.51,9535488,0.38
2025-05-13 19:04:32,0.639,63.94,9535488,0.38
2025-05-13 19:04:37,0.639,63.94,2182377472,86.72
2025-05-13 19:04:42,0.639,63.94,2182377472,86.72
2025-05-13 19:04:47,0.639,63.94,2182377472,86.72
2025-05-13 19:04:52,0.639,63.94,2182377472,86.72
2025-05-13 19:04:57,0.639,63.94,2182377472,86.72
2025-05-13 19:05:03,0.602,60.24,2182377472,86.72
2025-05-13 19:05:08,0.602,60.24,2182389760,86.72
2025-05-13 19:05:13,0.602,60.24,2182389760,86.72
2025-05-13 19:05:18,0.602,60.24,2182389760,86.72
2025-05-13 19:05:23,0.602,60.24,2182389760,86.72
2025-05-13 19:05:29,0.602,60.24,2182389760,86.72
2025-05-13 19:05:34,0.730,72.97,2182389760,86.72
2025-05-13 19:05:39,0.730,72.97,2183008256,86.74
2025-05-13 19:05:44,0.730,72.97,2183008256,86.74
2025-05-13 19:05:49,0.730,72.97,2183008256,86.74
2025-05-13 19:05:54,0.730,72.97,2183008256,86.74
2025-05-13 19:06:00,0.730,72.97,2183008256,86.74
2025-05-13 19:06:05,0.625,62.51,2183008256,86.74
2025-05-13 19:06:10,0.625,62.51,2183012352,86.75
2025-05-13 19:06:15,0.625,62.51,2183012352,86.75
2025-05-13 19:06:20,0.625,62.51,2183012352,86.75
2025-05-13 19:06:26,0.625,62.51,2183012352,86.75
2025-05-13 19:06:31,0.901,90.10,2183012352,86.75
2025-05-13 19:06:36,0.901,90.10,2183012352,86.75
2025-05-13 19:06:41,0.901,90.10,2182467584,86.72
2025-05-13 19:06:46,0.901,90.10,2182467584,86.72
2025-05-13 19:06:51,0.901,90.10,2182467584,86.72
2025-05-13 19:06:56,0.901,90.10,2182467584,86.72
2025-05-13 19:07:02,0.558,55.77,2182467584,86.72
2025-05-13 19:07:07,0.558,55.77,0,0.00
