timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 17:39:06,0.030,12.09,7221248,5.38
2025-05-13 17:39:11,0.030,12.09,7221248,5.38
2025-05-13 17:39:16,0.030,12.09,7221248,5.38
2025-05-13 17:39:21,0.030,12.09,7221248,5.38
2025-05-13 17:39:26,0.030,12.09,7221248,5.38
2025-05-13 17:39:32,0.013,5.16,7221248,5.38
2025-05-13 17:39:37,0.013,5.16,7254016,5.40
2025-05-13 17:39:42,0.013,5.16,7254016,5.40
2025-05-13 17:39:47,0.013,5.16,7254016,5.40
2025-05-13 17:39:52,0.013,5.16,7254016,5.40
2025-05-13 17:39:58,0.013,5.16,7254016,5.40
2025-05-13 17:40:03,0.024,9.62,7254016,5.40
2025-05-13 17:40:08,0.024,9.62,7249920,5.40
2025-05-13 17:40:13,0.024,9.62,7249920,5.40
2025-05-13 17:40:19,0.024,9.62,7249920,5.40
2025-05-13 17:40:24,0.024,9.62,7249920,5.40
2025-05-13 17:40:29,0.024,9.62,7249920,5.40
2025-05-13 17:40:34,0.019,7.46,7249920,5.40
2025-05-13 17:40:40,0.019,7.46,7385088,5.50
2025-05-13 17:40:45,0.019,7.46,7385088,5.50
2025-05-13 17:40:50,0.019,7.46,7385088,5.50
2025-05-13 17:40:55,0.019,7.46,7385088,5.50
2025-05-13 17:41:00,0.019,7.46,7385088,5.50
2025-05-13 17:41:05,0.026,10.59,8151040,6.07
2025-05-13 17:41:11,0.026,10.59,8151040,6.07
2025-05-13 17:41:16,0.026,10.59,8151040,6.07
2025-05-13 17:41:21,0.026,10.59,8151040,6.07
2025-05-13 17:41:26,0.026,10.59,8151040,6.07
2025-05-13 17:41:31,0.049,19.78,8151040,6.07
2025-05-13 17:41:37,0.049,19.78,8187904,6.10
2025-05-13 17:41:42,0.049,19.78,8187904,6.10
2025-05-13 17:41:47,0.049,19.78,8187904,6.10
2025-05-13 17:41:52,0.049,19.78,8187904,6.10
2025-05-13 17:41:57,0.049,19.78,8187904,6.10
2025-05-13 17:42:02,0.031,12.41,8187904,6.10
2025-05-13 17:42:08,0.031,12.41,8589312,6.40
2025-05-13 17:42:13,0.031,12.41,8589312,6.40
2025-05-13 17:42:18,0.031,12.41,8589312,6.40
2025-05-13 17:42:23,0.031,12.41,8589312,6.40
2025-05-13 17:42:28,0.031,12.41,8589312,6.40
2025-05-13 17:42:34,0.074,29.67,8589312,6.40
2025-05-13 17:42:39,0.074,29.67,9142272,6.81
2025-05-13 17:42:44,0.074,29.67,9142272,6.81
2025-05-13 17:42:49,0.074,29.67,9142272,6.81
2025-05-13 17:42:54,0.074,29.67,9142272,6.81
2025-05-13 17:43:00,0.074,29.67,9142272,6.81
2025-05-13 17:43:05,0.067,26.90,9142272,6.81
2025-05-13 17:43:10,0.067,26.90,9728000,7.25
2025-05-13 17:43:15,0.067,26.90,9728000,7.25
2025-05-13 17:43:20,0.067,26.90,9728000,7.25
2025-05-13 17:43:25,0.067,26.90,9728000,7.25
2025-05-13 17:43:31,0.074,29.43,9728000,7.25
2025-05-13 17:43:36,0.074,29.43,9965568,7.42
2025-05-13 17:43:41,0.074,29.43,9965568,7.42
2025-05-13 17:43:46,0.074,29.43,9965568,7.42
2025-05-13 17:43:51,0.074,29.43,9965568,7.42
2025-05-13 17:43:57,0.074,29.43,9965568,7.42
2025-05-13 17:44:02,0.090,35.95,9965568,7.42
2025-05-13 17:44:07,0.090,35.95,10428416,7.77
2025-05-13 17:44:12,0.090,35.95,10428416,7.77
2025-05-13 17:44:17,0.090,35.95,10428416,7.77
2025-05-13 17:44:22,0.090,35.95,10428416,7.77
2025-05-13 17:44:28,0.090,35.95,10428416,7.77
2025-05-13 17:44:33,0.130,52.20,10428416,7.77
2025-05-13 17:44:38,0.130,52.20,10665984,7.95
2025-05-13 17:44:43,0.130,52.20,10665984,7.95
2025-05-13 17:44:48,0.130,52.20,10665984,7.95
2025-05-13 17:44:54,0.130,52.20,10665984,7.95
2025-05-13 17:44:59,0.130,52.20,10665984,7.95
2025-05-13 17:45:04,0.089,35.62,10665984,7.95
2025-05-13 17:45:09,0.089,35.62,10756096,8.01
2025-05-13 17:45:14,0.089,35.62,10756096,8.01
2025-05-13 17:45:19,0.089,35.62,10756096,8.01
2025-05-13 17:45:25,0.089,35.62,10756096,8.01
2025-05-13 17:45:30,0.089,35.62,10756096,8.01
2025-05-13 17:45:35,0.071,28.31,10756096,8.01
2025-05-13 17:45:41,0.071,28.31,11350016,8.46
2025-05-13 17:45:46,0.071,28.31,11350016,8.46
2025-05-13 17:45:51,0.071,28.31,11350016,8.46
2025-05-13 17:45:56,0.071,28.31,11350016,8.46
2025-05-13 17:46:02,0.236,94.26,11350016,8.46
2025-05-13 17:46:07,0.236,94.26,11100160,8.27
2025-05-13 17:46:12,0.236,94.26,11100160,8.27
2025-05-13 17:46:17,0.236,94.26,11100160,8.27
2025-05-13 17:46:23,0.236,94.26,11100160,8.27
2025-05-13 17:46:28,0.236,94.26,11100160,8.27
2025-05-13 17:46:33,0.141,56.48,11100160,8.27
2025-05-13 17:46:38,0.141,56.48,11689984,8.71
2025-05-13 17:46:44,0.141,56.48,11689984,8.71
2025-05-13 17:46:49,0.141,56.48,11689984,8.71
2025-05-13 17:46:54,0.141,56.48,11689984,8.71
2025-05-13 17:46:59,0.141,56.48,11689984,8.71
2025-05-13 17:47:04,0.080,32.11,11689984,8.71
2025-05-13 17:47:09,0.080,32.11,11755520,8.76
2025-05-13 17:47:15,0.080,32.11,11755520,8.76
2025-05-13 17:47:20,0.080,32.11,11755520,8.76
2025-05-13 17:47:25,0.080,32.11,11755520,8.76
2025-05-13 17:47:30,0.080,32.11,11755520,8.76
2025-05-13 17:47:36,0.122,48.85,12402688,9.24
2025-05-13 17:47:41,0.122,48.85,12402688,9.24
2025-05-13 17:47:46,0.122,48.85,12402688,9.24
2025-05-13 17:47:51,0.122,48.85,12402688,9.24
2025-05-13 17:47:56,0.122,48.85,12402688,9.24
