timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 18:15:02,0.005,2.05,11894784,8.86
2025-05-13 18:15:07,0.005,2.05,11894784,8.86
2025-05-13 18:15:12,0.005,2.05,12038144,8.97
2025-05-13 18:15:17,0.005,2.05,12038144,8.97
2025-05-13 18:15:22,0.005,2.05,12038144,8.97
2025-05-13 18:15:28,0.005,2.05,12038144,8.97
2025-05-13 18:15:33,0.027,10.82,12038144,8.97
2025-05-13 18:15:38,0.027,10.82,12283904,9.15
2025-05-13 18:15:43,0.027,10.82,12283904,9.15
2025-05-13 18:15:48,0.027,10.82,12283904,9.15
2025-05-13 18:15:53,0.027,10.82,12283904,9.15
2025-05-13 18:15:58,0.027,10.82,12283904,9.15
2025-05-13 18:16:04,0.022,8.71,12283904,9.15
2025-05-13 18:16:09,0.022,8.71,12173312,9.07
2025-05-13 18:16:14,0.022,8.71,12173312,9.07
2025-05-13 18:16:19,0.022,8.71,12173312,9.07
2025-05-13 18:16:24,0.022,8.71,12173312,9.07
2025-05-13 18:16:29,0.022,8.71,12173312,9.07
2025-05-13 18:16:35,0.028,11.32,12173312,9.07
2025-05-13 18:16:40,0.028,11.32,12251136,9.13
2025-05-13 18:16:45,0.028,11.32,12251136,9.13
2025-05-13 18:16:50,0.028,11.32,12251136,9.13
2025-05-13 18:16:55,0.028,11.32,12251136,9.13
2025-05-13 18:17:00,0.033,13.02,12251136,9.13
2025-05-13 18:17:06,0.033,13.02,12251136,9.13
2025-05-13 18:17:11,0.033,13.02,12611584,9.40
2025-05-13 18:17:16,0.033,13.02,12611584,9.40
2025-05-13 18:17:21,0.033,13.02,12611584,9.40
2025-05-13 18:17:26,0.033,13.02,12611584,9.40
2025-05-13 18:17:31,0.037,14.94,12611584,9.40
2025-05-13 18:17:37,0.037,14.94,12611584,9.40
2025-05-13 18:17:42,0.037,14.94,12353536,9.20
2025-05-13 18:17:47,0.037,14.94,12353536,9.20
2025-05-13 18:17:52,0.037,14.94,12353536,9.20
2025-05-13 18:17:57,0.037,14.94,12353536,9.20
2025-05-13 18:18:02,0.032,12.99,12353536,9.20
2025-05-13 18:18:08,0.032,12.99,13000704,9.69
2025-05-13 18:18:13,0.032,12.99,13000704,9.69
2025-05-13 18:18:18,0.032,12.99,13000704,9.69
2025-05-13 18:18:23,0.032,12.99,13000704,9.69
2025-05-13 18:18:28,0.032,12.99,13000704,9.69
2025-05-13 18:18:33,0.050,19.95,13000704,9.69
2025-05-13 18:18:39,0.050,19.95,13352960,9.95
2025-05-13 18:18:44,0.050,19.95,13352960,9.95
2025-05-13 18:18:49,0.050,19.95,13352960,9.95
2025-05-13 18:18:54,0.050,19.95,13352960,9.95
2025-05-13 18:18:59,0.050,19.95,13352960,9.95
2025-05-13 18:19:04,0.076,30.57,13352960,9.95
2025-05-13 18:19:09,0.076,30.57,14307328,10.66
2025-05-13 18:19:15,0.076,30.57,14307328,10.66
2025-05-13 18:19:20,0.076,30.57,14307328,10.66
2025-05-13 18:19:25,0.076,30.57,14307328,10.66
2025-05-13 18:19:30,0.076,30.57,14307328,10.66
2025-05-13 18:19:35,0.074,29.40,14307328,10.66
2025-05-13 18:19:40,0.074,29.40,14929920,11.12
2025-05-13 18:19:46,0.074,29.40,14929920,11.12
2025-05-13 18:19:51,0.074,29.40,14929920,11.12
2025-05-13 18:19:56,0.074,29.40,14929920,11.12
2025-05-13 18:20:01,0.105,41.99,14929920,11.12
2025-05-13 18:20:06,0.105,41.99,14929920,11.12
2025-05-13 18:20:11,0.105,41.99,15253504,11.36
2025-05-13 18:20:16,0.105,41.99,15253504,11.36
2025-05-13 18:20:22,0.105,41.99,15253504,11.36
2025-05-13 18:20:27,0.105,41.99,15253504,11.36
2025-05-13 18:20:32,0.075,30.08,15253504,11.36
2025-05-13 18:20:37,0.075,30.08,15253504,11.36
2025-05-13 18:20:42,0.075,30.08,15532032,11.57
2025-05-13 18:20:47,0.075,30.08,15532032,11.57
2025-05-13 18:20:52,0.075,30.08,15532032,11.57
2025-05-13 18:20:58,0.075,30.08,15532032,11.57
2025-05-13 18:21:03,0.071,28.45,15532032,11.57
2025-05-13 18:21:08,0.071,28.45,15466496,11.52
2025-05-13 18:21:13,0.071,28.45,15466496,11.52
2025-05-13 18:21:18,0.071,28.45,15466496,11.52
2025-05-13 18:21:23,0.071,28.45,15466496,11.52
2025-05-13 18:21:28,0.071,28.45,15466496,11.52
2025-05-13 18:21:34,0.091,36.54,15466496,11.52
2025-05-13 18:21:39,0.091,36.54,15810560,11.78
2025-05-13 18:21:44,0.091,36.54,15810560,11.78
2025-05-13 18:21:49,0.091,36.54,15810560,11.78
2025-05-13 18:21:54,0.091,36.54,15810560,11.78
2025-05-13 18:22:00,0.091,36.54,15810560,11.78
2025-05-13 18:22:05,0.066,26.34,15810560,11.78
2025-05-13 18:22:10,0.066,26.34,15560704,11.59
2025-05-13 18:22:15,0.066,26.34,15560704,11.59
2025-05-13 18:22:20,0.066,26.34,15560704,11.59
2025-05-13 18:22:26,0.066,26.34,15560704,11.59
2025-05-13 18:22:31,0.043,17.08,15560704,11.59
2025-05-13 18:22:36,0.043,17.08,15560704,11.59
2025-05-13 18:22:41,0.043,17.08,15556608,11.59
2025-05-13 18:22:46,0.043,17.08,15556608,11.59
2025-05-13 18:22:52,0.043,17.08,15556608,11.59
2025-05-13 18:22:57,0.043,17.08,15556608,11.59
2025-05-13 18:23:02,0.089,35.46,15556608,11.59
2025-05-13 18:23:07,0.089,35.46,15556608,11.59
