timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 17:37:05,0.031,12.43,21180416,15.78
2025-05-13 17:37:11,0.031,12.43,20262912,15.10
2025-05-13 17:37:16,0.031,12.43,20262912,15.10
2025-05-13 17:37:21,0.031,12.43,20262912,15.10
2025-05-13 17:37:26,0.031,12.43,20262912,15.10
2025-05-13 17:37:31,0.051,20.29,20262912,15.10
2025-05-13 17:37:37,0.051,20.29,20901888,15.57
2025-05-13 17:37:42,0.051,20.29,20901888,15.57
2025-05-13 17:37:47,0.051,20.29,20901888,15.57
2025-05-13 17:37:52,0.051,20.29,20901888,15.57
2025-05-13 17:37:57,0.051,20.29,20901888,15.57
2025-05-13 17:38:03,0.048,19.37,20901888,15.57
2025-05-13 17:38:08,0.048,19.37,21884928,16.31
2025-05-13 17:38:13,0.048,19.37,21884928,16.31
2025-05-13 17:38:18,0.048,19.37,21884928,16.31
2025-05-13 17:38:24,0.048,19.37,21884928,16.31
2025-05-13 17:38:29,0.048,19.37,21884928,16.31
2025-05-13 17:38:34,0.040,16.16,21884928,16.31
2025-05-13 17:38:39,0.040,16.16,20754432,15.46
2025-05-13 17:38:45,0.040,16.16,20754432,15.46
2025-05-13 17:38:50,0.040,16.16,20754432,15.46
2025-05-13 17:38:55,0.040,16.16,20754432,15.46
2025-05-13 17:39:00,0.040,16.16,20754432,15.46
2025-05-13 17:39:06,0.040,16.14,20754432,15.46
2025-05-13 17:39:11,0.040,16.14,20946944,15.61
2025-05-13 17:39:16,0.040,16.14,20946944,15.61
2025-05-13 17:39:21,0.040,16.14,20946944,15.61
2025-05-13 17:39:26,0.040,16.14,20946944,15.61
2025-05-13 17:39:32,0.038,15.06,20946944,15.61
2025-05-13 17:39:37,0.038,15.06,21299200,15.87
2025-05-13 17:39:42,0.038,15.06,21299200,15.87
2025-05-13 17:39:47,0.038,15.06,21299200,15.87
2025-05-13 17:39:52,0.038,15.06,21299200,15.87
