timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 19:04:32,0.011,4.32,7303168,5.44
2025-05-13 19:04:37,0.011,4.32,7303168,5.44
2025-05-13 19:04:42,0.011,4.32,7303168,5.44
2025-05-13 19:04:47,0.011,4.32,7344128,5.47
2025-05-13 19:04:52,0.011,4.32,7344128,5.47
2025-05-13 19:04:57,0.011,4.32,7344128,5.47
2025-05-13 19:05:03,0.023,9.00,7344128,5.47
2025-05-13 19:05:08,0.023,9.00,7344128,5.47
2025-05-13 19:05:13,0.023,9.00,7528448,5.61
2025-05-13 19:05:18,0.023,9.00,7528448,5.61
2025-05-13 19:05:23,0.023,9.00,7528448,5.61
2025-05-13 19:05:29,0.023,9.00,7528448,5.61
2025-05-13 19:05:34,0.034,13.47,7528448,5.61
2025-05-13 19:05:39,0.034,13.47,7528448,5.61
2025-05-13 19:05:44,0.034,13.47,7741440,5.77
2025-05-13 19:05:49,0.034,13.47,7741440,5.77
2025-05-13 19:05:54,0.034,13.47,7741440,5.77
2025-05-13 19:06:00,0.034,13.47,7741440,5.77
2025-05-13 19:06:05,0.032,12.91,7741440,5.77
2025-05-13 19:06:10,0.032,12.91,7741440,5.77
2025-05-13 19:06:15,0.032,12.91,7856128,5.85
2025-05-13 19:06:20,0.032,12.91,7856128,5.85
2025-05-13 19:06:26,0.032,12.91,7856128,5.85
2025-05-13 19:06:31,0.037,14.70,7856128,5.85
2025-05-13 19:06:36,0.037,14.70,7856128,5.85
2025-05-13 19:06:41,0.037,14.70,7856128,5.85
2025-05-13 19:06:46,0.037,14.70,8568832,6.38
2025-05-13 19:06:51,0.037,14.70,8568832,6.38
2025-05-13 19:06:56,0.037,14.70,8568832,6.38
2025-05-13 19:07:02,0.044,17.72,8568832,6.38
2025-05-13 19:07:07,0.044,17.72,8568832,6.38
2025-05-13 19:07:12,0.044,17.72,8568832,6.38
2025-05-13 19:07:17,0.044,17.72,8572928,6.39
2025-05-13 19:07:22,0.044,17.72,8572928,6.39
2025-05-13 19:07:27,0.044,17.72,8572928,6.39
2025-05-13 19:07:32,0.034,13.65,8572928,6.39
2025-05-13 19:07:38,0.034,13.65,8572928,6.39
2025-05-13 19:07:43,0.034,13.65,8859648,6.60
2025-05-13 19:07:48,0.034,13.65,8859648,6.60
2025-05-13 19:07:53,0.034,13.65,8859648,6.60
2025-05-13 19:07:58,0.034,13.65,8859648,6.60
2025-05-13 19:08:03,0.019,7.62,8859648,6.60
2025-05-13 19:08:08,0.019,7.62,8859648,6.60
2025-05-13 19:08:14,0.019,7.62,8679424,6.47
2025-05-13 19:08:19,0.019,7.62,8679424,6.47
2025-05-13 19:08:24,0.019,7.62,8679424,6.47
2025-05-13 19:08:29,0.019,7.62,8679424,6.47
2025-05-13 19:08:34,0.027,10.67,8679424,6.47
2025-05-13 19:08:39,0.027,10.67,8679424,6.47
2025-05-13 19:08:44,0.027,10.67,9183232,6.84
2025-05-13 19:08:49,0.027,10.67,9183232,6.84
2025-05-13 19:08:54,0.027,10.67,9183232,6.84
