timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 19:11:03,0.041,16.45,8908800,6.64
2025-05-13 19:11:08,0.041,16.45,8908800,6.64
2025-05-13 19:11:14,0.041,16.45,9330688,6.95
2025-05-13 19:11:19,0.041,16.45,9330688,6.95
2025-05-13 19:11:24,0.041,16.45,9330688,6.95
2025-05-13 19:11:29,0.041,16.45,9330688,6.95
2025-05-13 19:11:35,0.052,20.81,9330688,6.95
2025-05-13 19:11:40,0.052,20.81,9330688,6.95
2025-05-13 19:11:45,0.052,20.81,9478144,7.06
2025-05-13 19:11:50,0.052,20.81,9478144,7.06
2025-05-13 19:11:55,0.052,20.81,9478144,7.06
2025-05-13 19:12:00,0.052,20.81,9478144,7.06
2025-05-13 19:12:06,0.030,12.18,9478144,7.06
2025-05-13 19:12:11,0.030,12.18,9478144,7.06
2025-05-13 19:12:16,0.030,12.18,9895936,7.37
2025-05-13 19:12:21,0.030,12.18,9895936,7.37
2025-05-13 19:12:26,0.030,12.18,9895936,7.37
2025-05-13 19:12:31,0.085,34.12,9895936,7.37
2025-05-13 19:12:37,0.085,34.12,9895936,7.37
2025-05-13 19:12:42,0.085,34.12,9895936,7.37
2025-05-13 19:12:47,0.085,34.12,10244096,7.63
2025-05-13 19:12:52,0.085,34.12,10244096,7.63
2025-05-13 19:12:57,0.085,34.12,10244096,7.63
2025-05-13 19:13:03,0.088,35.20,10244096,7.63
2025-05-13 19:13:08,0.088,35.20,10244096,7.63
2025-05-13 19:13:13,0.088,35.20,10792960,8.04
2025-05-13 19:13:18,0.088,35.20,10792960,8.04
2025-05-13 19:13:23,0.088,35.20,10792960,8.04
2025-05-13 19:13:28,0.088,35.20,10792960,8.04
2025-05-13 19:13:34,0.099,39.79,10792960,8.04
2025-05-13 19:13:39,0.099,39.79,10792960,8.04
2025-05-13 19:13:44,0.099,39.79,10936320,8.15
2025-05-13 19:13:49,0.099,39.79,10936320,8.15
2025-05-13 19:13:54,0.099,39.79,10936320,8.15
2025-05-13 19:13:59,0.099,39.79,10936320,8.15
2025-05-13 19:14:05,0.088,35.17,10936320,8.15
2025-05-13 19:14:10,0.088,35.17,10936320,8.15
2025-05-13 19:14:15,0.088,35.17,10911744,8.13
2025-05-13 19:14:20,0.088,35.17,10911744,8.13
2025-05-13 19:14:25,0.088,35.17,10911744,8.13
2025-05-13 19:14:30,0.108,43.19,10911744,8.13
2025-05-13 19:14:36,0.108,43.19,10911744,8.13
2025-05-13 19:14:41,0.108,43.19,10911744,8.13
2025-05-13 19:14:46,0.108,43.19,10756096,8.01
2025-05-13 19:14:51,0.108,43.19,10756096,8.01
2025-05-13 19:14:57,0.108,43.19,10756096,8.01
2025-05-13 19:15:02,0.099,39.58,10756096,8.01
2025-05-13 19:15:08,0.099,39.58,10756096,8.01
2025-05-13 19:15:13,0.099,39.58,10801152,8.05
2025-05-13 19:15:18,0.099,39.58,10801152,8.05
2025-05-13 19:15:23,0.099,39.58,10801152,8.05
2025-05-13 19:15:29,0.099,39.58,10801152,8.05
2025-05-13 19:15:34,0.086,34.25,10801152,8.05
2025-05-13 19:15:39,0.086,34.25,10801152,8.05
2025-05-13 19:15:44,0.086,34.25,10678272,7.96
2025-05-13 19:15:49,0.086,34.25,10678272,7.96
2025-05-13 19:15:55,0.086,34.25,10678272,7.96
2025-05-13 19:16:00,0.086,34.25,10678272,7.96
2025-05-13 19:16:05,0.036,14.30,10678272,7.96
