timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 17:23:36,0.016,6.46,5087232,3.79
2025-05-13 17:23:41,0.016,6.46,5087232,3.79
2025-05-13 17:23:46,0.016,6.46,5087232,3.79
2025-05-13 17:23:51,0.016,6.46,5087232,3.79
2025-05-13 17:23:56,0.016,6.46,5087232,3.79
2025-05-13 17:24:01,0.015,5.98,5382144,4.01
2025-05-13 17:24:06,0.015,5.98,5382144,4.01
2025-05-13 17:24:11,0.015,5.98,5382144,4.01
2025-05-13 17:24:17,0.015,5.98,5382144,4.01
2025-05-13 17:24:22,0.015,5.98,5382144,4.01
2025-05-13 17:24:27,0.015,5.98,5382144,4.01
2025-05-13 17:24:32,0.034,13.79,5951488,4.43
2025-05-13 17:24:37,0.034,13.79,5951488,4.43
2025-05-13 17:24:42,0.034,13.79,5951488,4.43
2025-05-13 17:24:47,0.034,13.79,5951488,4.43
2025-05-13 17:24:52,0.034,13.79,5951488,4.43
2025-05-13 17:24:58,0.034,13.79,5951488,4.43
2025-05-13 17:25:03,0.051,20.38,6733824,5.02
2025-05-13 17:25:08,0.051,20.38,6733824,5.02
2025-05-13 17:25:13,0.051,20.38,6733824,5.02
2025-05-13 17:25:18,0.051,20.38,6733824,5.02
2025-05-13 17:25:23,0.051,20.38,6733824,5.02
2025-05-13 17:25:28,0.051,20.38,6733824,5.02
2025-05-13 17:25:34,0.105,41.84,6979584,5.20
2025-05-13 17:25:39,0.105,41.84,6979584,5.20
2025-05-13 17:25:44,0.105,41.84,6979584,5.20
2025-05-13 17:25:49,0.105,41.84,6979584,5.20
2025-05-13 17:25:54,0.105,41.84,6979584,5.20
2025-05-13 17:25:59,0.105,41.84,6979584,5.20
2025-05-13 17:26:04,0.094,37.77,7032832,5.24
2025-05-13 17:26:10,0.094,37.77,7032832,5.24
2025-05-13 17:26:15,0.094,37.77,7032832,5.24
2025-05-13 17:26:20,0.094,37.77,7032832,5.24
2025-05-13 17:26:25,0.094,37.77,7032832,5.24
2025-05-13 17:26:30,0.094,37.77,7118848,5.30
2025-05-13 17:26:35,0.087,34.64,7118848,5.30
2025-05-13 17:26:40,0.087,34.64,7118848,5.30
2025-05-13 17:26:46,0.087,34.64,7118848,5.30
2025-05-13 17:26:51,0.087,34.64,7118848,5.30
2025-05-13 17:26:56,0.087,34.64,7118848,5.30
2025-05-13 17:27:01,0.086,34.51,7196672,5.36
2025-05-13 17:27:06,0.086,34.51,7196672,5.36
2025-05-13 17:27:11,0.086,34.51,7196672,5.36
2025-05-13 17:27:16,0.086,34.51,7196672,5.36
2025-05-13 17:27:22,0.086,34.51,7196672,5.36
2025-05-13 17:27:27,0.086,34.51,7196672,5.36
2025-05-13 17:27:32,0.048,19.38,7266304,5.41
2025-05-13 17:27:37,0.048,19.38,7266304,5.41
2025-05-13 17:27:42,0.048,19.38,7266304,5.41
2025-05-13 17:27:47,0.048,19.38,7266304,5.41
2025-05-13 17:27:53,0.048,19.38,7266304,5.41
2025-05-13 17:27:58,0.048,19.38,7266304,5.41
2025-05-13 17:28:03,0.105,41.85,7389184,5.51
2025-05-13 17:28:08,0.105,41.85,7389184,5.51
2025-05-13 17:28:13,0.105,41.85,7389184,5.51
2025-05-13 17:28:18,0.105,41.85,7389184,5.51
2025-05-13 17:28:23,0.105,41.85,7389184,5.51
2025-05-13 17:28:29,0.105,41.85,7389184,5.51
2025-05-13 17:28:34,0.036,14.56,7409664,5.52
2025-05-13 17:28:39,0.036,14.56,7409664,5.52
2025-05-13 17:28:44,0.036,14.56,7409664,5.52
2025-05-13 17:28:49,0.036,14.56,7409664,5.52
2025-05-13 17:28:54,0.036,14.56,7409664,5.52
2025-05-13 17:28:59,0.036,14.56,7409664,5.52
2025-05-13 17:29:05,0.063,25.25,7385088,5.50
2025-05-13 17:29:10,0.063,25.25,7385088,5.50
2025-05-13 17:29:15,0.063,25.25,7385088,5.50
2025-05-13 17:29:20,0.063,25.25,7385088,5.50
