timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 17:22:03,0.000,0.03,25755648,19.19
2025-05-13 17:22:08,0.000,0.03,25755648,19.19
2025-05-13 17:22:14,0.000,0.03,25755648,19.19
2025-05-13 17:22:19,0.000,0.03,25755648,19.19
2025-05-13 17:22:24,0.000,0.03,25755648,19.19
2025-05-13 17:22:29,0.000,0.03,25755648,19.19
2025-05-13 17:22:34,0.000,0.03,25755648,19.19
2025-05-13 17:22:39,0.000,0.03,25755648,19.19
2025-05-13 17:22:44,0.000,0.03,25755648,19.19
2025-05-13 17:22:49,0.000,0.03,25755648,19.19
2025-05-13 17:22:55,0.000,0.03,25755648,19.19
2025-05-13 17:23:00,0.000,0.03,25755648,19.19
2025-05-13 17:23:05,0.000,0.01,25915392,19.31
2025-05-13 17:23:10,0.000,0.01,25915392,19.31
2025-05-13 17:23:15,0.000,0.01,25915392,19.31
2025-05-13 17:23:20,0.000,0.01,25915392,19.31
2025-05-13 17:23:25,0.000,0.01,25915392,19.31
2025-05-13 17:23:30,0.000,0.01,25915392,19.31
2025-05-13 17:23:36,0.004,1.66,26324992,19.61
2025-05-13 17:23:41,0.004,1.66,26324992,19.61
2025-05-13 17:23:46,0.004,1.66,26324992,19.61
2025-05-13 17:23:51,0.004,1.66,26324992,19.61
2025-05-13 17:23:56,0.004,1.66,26324992,19.61
2025-05-13 17:24:01,0.026,10.57,26324992,19.61
2025-05-13 17:24:06,0.026,10.57,26599424,19.82
2025-05-13 17:24:11,0.026,10.57,26599424,19.82
2025-05-13 17:24:17,0.026,10.57,26599424,19.82
2025-05-13 17:24:22,0.026,10.57,26599424,19.82
2025-05-13 17:24:27,0.026,10.57,26599424,19.82
2025-05-13 17:24:32,0.036,14.33,26599424,19.82
2025-05-13 17:24:37,0.036,14.33,27738112,20.67
2025-05-13 17:24:42,0.036,14.33,27738112,20.67
2025-05-13 17:24:47,0.036,14.33,27738112,20.67
2025-05-13 17:24:52,0.036,14.33,27738112,20.67
2025-05-13 17:24:58,0.036,14.33,27738112,20.67
2025-05-13 17:25:03,0.142,56.88,27738112,20.67
2025-05-13 17:25:08,0.142,56.88,28160000,20.98
2025-05-13 17:25:13,0.142,56.88,28160000,20.98
2025-05-13 17:25:18,0.142,56.88,28160000,20.98
2025-05-13 17:25:23,0.142,56.88,28160000,20.98
2025-05-13 17:25:28,0.142,56.88,28160000,20.98
2025-05-13 17:25:34,0.071,28.27,28823552,21.48
2025-05-13 17:25:39,0.071,28.27,28823552,21.48
2025-05-13 17:25:44,0.071,28.27,28823552,21.48
2025-05-13 17:25:49,0.071,28.27,28823552,21.48
2025-05-13 17:25:54,0.071,28.27,28823552,21.48
2025-05-13 17:25:59,0.071,28.27,28823552,21.48
2025-05-13 17:26:04,0.170,68.04,28905472,21.54
2025-05-13 17:26:10,0.170,68.04,28905472,21.54
2025-05-13 17:26:15,0.170,68.04,28905472,21.54
2025-05-13 17:26:20,0.170,68.04,28905472,21.54
2025-05-13 17:26:25,0.170,68.04,28905472,21.54
2025-05-13 17:26:30,0.170,68.04,28905472,21.54
2025-05-13 17:26:35,0.189,75.78,29134848,21.71
2025-05-13 17:26:40,0.189,75.78,29134848,21.71
2025-05-13 17:26:46,0.189,75.78,29134848,21.71
2025-05-13 17:26:51,0.189,75.78,29134848,21.71
2025-05-13 17:26:56,0.189,75.78,29134848,21.71
2025-05-13 17:27:01,0.119,47.47,29134848,21.71
2025-05-13 17:27:06,0.119,47.47,29396992,21.90
2025-05-13 17:27:11,0.119,47.47,29396992,21.90
2025-05-13 17:27:16,0.119,47.47,29396992,21.90
2025-05-13 17:27:22,0.119,47.47,29396992,21.90
2025-05-13 17:27:27,0.119,47.47,29396992,21.90
2025-05-13 17:27:32,0.154,61.73,29396992,21.90
2025-05-13 17:27:37,0.154,61.73,29073408,21.66
2025-05-13 17:27:42,0.154,61.73,29073408,21.66
2025-05-13 17:27:47,0.154,61.73,29073408,21.66
2025-05-13 17:27:53,0.154,61.73,29073408,21.66
2025-05-13 17:27:58,0.154,61.73,29073408,21.66
2025-05-13 17:28:03,0.089,35.66,29073408,21.66
2025-05-13 17:28:08,0.089,35.66,29212672,21.77
2025-05-13 17:28:13,0.089,35.66,29212672,21.77
2025-05-13 17:28:18,0.089,35.66,29212672,21.77
2025-05-13 17:28:23,0.089,35.66,29212672,21.77
2025-05-13 17:28:29,0.089,35.66,29212672,21.77
2025-05-13 17:28:34,0.070,28.16,29179904,21.74
2025-05-13 17:28:39,0.070,28.16,29179904,21.74
2025-05-13 17:28:44,0.070,28.16,29179904,21.74
2025-05-13 17:28:49,0.070,28.16,29179904,21.74
2025-05-13 17:28:54,0.070,28.16,29179904,21.74
2025-05-13 17:28:59,0.070,28.16,29179904,21.74
2025-05-13 17:29:05,0.043,17.38,29417472,21.92
2025-05-13 17:29:10,0.043,17.38,29417472,21.92
2025-05-13 17:29:15,0.043,17.38,29417472,21.92
2025-05-13 17:29:20,0.043,17.38,29417472,21.92
2025-05-13 17:29:25,0.043,17.38,29417472,21.92
2025-05-13 17:29:30,0.043,17.38,29417472,21.92
2025-05-13 17:29:35,0.042,16.83,29376512,21.89
2025-05-13 17:29:40,0.042,16.83,29376512,21.89
2025-05-13 17:29:46,0.042,16.83,29376512,21.89
2025-05-13 17:29:51,0.042,16.83,29376512,21.89
2025-05-13 17:29:56,0.042,16.83,29376512,21.89
2025-05-13 17:30:01,0.048,19.34,29376512,21.89
2025-05-13 17:30:06,0.048,19.34,29589504,22.05
2025-05-13 17:30:11,0.048,19.34,29589504,22.05
2025-05-13 17:30:16,0.048,19.34,29589504,22.05
2025-05-13 17:30:21,0.048,19.34,29589504,22.05
2025-05-13 17:30:27,0.048,19.34,29589504,22.05
2025-05-13 17:30:32,0.044,17.44,29589504,22.05
2025-05-13 17:30:37,0.044,17.44,29954048,22.32
2025-05-13 17:30:42,0.044,17.44,29954048,22.32
2025-05-13 17:30:47,0.044,17.44,29954048,22.32
2025-05-13 17:30:52,0.044,17.44,29954048,22.32
2025-05-13 17:30:57,0.044,17.44,29954048,22.32
2025-05-13 17:31:03,0.044,17.74,29954048,22.32
2025-05-13 17:31:08,0.044,17.74,29536256,22.01
2025-05-13 17:31:13,0.044,17.74,29536256,22.01
2025-05-13 17:31:18,0.044,17.74,29536256,22.01
2025-05-13 17:31:23,0.044,17.74,29536256,22.01
2025-05-13 17:31:28,0.044,17.74,29536256,22.01
2025-05-13 17:31:33,0.044,17.64,29536256,22.01
2025-05-13 17:31:39,0.044,17.64,29536256,22.01
2025-05-13 17:31:44,0.044,17.64,29536256,22.01
2025-05-13 17:31:49,0.044,17.64,29536256,22.01
2025-05-13 17:31:54,0.044,17.64,29536256,22.01
2025-05-13 17:31:59,0.044,17.64,29536256,22.01
2025-05-13 17:32:04,0.035,14.05,29876224,22.26
2025-05-13 17:32:09,0.035,14.05,29876224,22.26
2025-05-13 17:32:14,0.035,14.05,29876224,22.26
2025-05-13 17:32:20,0.035,14.05,29876224,22.26
2025-05-13 17:32:25,0.035,14.05,29876224,22.26
2025-05-13 17:32:30,0.035,14.05,29876224,22.26
2025-05-13 17:32:35,0.081,32.48,31232000,23.27
2025-05-13 17:32:40,0.081,32.48,31232000,23.27
2025-05-13 17:32:45,0.081,32.48,31232000,23.27
2025-05-13 17:32:50,0.081,32.48,31232000,23.27
2025-05-13 17:32:56,0.081,32.48,31232000,23.27
2025-05-13 17:33:01,0.130,51.96,31232000,23.27
2025-05-13 17:33:06,0.130,51.96,31936512,23.79
2025-05-13 17:33:11,0.130,51.96,31936512,23.79
2025-05-13 17:33:16,0.130,51.96,31936512,23.79
2025-05-13 17:33:21,0.130,51.96,31936512,23.79
2025-05-13 17:33:27,0.130,51.96,31936512,23.79
2025-05-13 17:33:32,0.159,63.71,31936512,23.79
2025-05-13 17:33:37,0.159,63.71,32423936,24.16
2025-05-13 17:33:42,0.159,63.71,32423936,24.16
2025-05-13 17:33:47,0.159,63.71,32423936,24.16
2025-05-13 17:33:52,0.159,63.71,32423936,24.16
2025-05-13 17:33:57,0.159,63.71,32423936,24.16
2025-05-13 17:34:03,0.198,79.22,32423936,24.16
2025-05-13 17:34:08,0.198,79.22,33873920,25.24
2025-05-13 17:34:13,0.198,79.22,33873920,25.24
2025-05-13 17:34:18,0.198,79.22,33873920,25.24
2025-05-13 17:34:23,0.198,79.22,33873920,25.24
2025-05-13 17:34:28,0.198,79.22,33873920,25.24
2025-05-13 17:34:34,0.289,115.78,34009088,25.34
2025-05-13 17:34:39,0.289,115.78,34009088,25.34
2025-05-13 17:34:44,0.289,115.78,34009088,25.34
2025-05-13 17:34:49,0.289,115.78,34009088,25.34
2025-05-13 17:34:54,0.289,115.78,34009088,25.34
2025-05-13 17:35:00,0.289,115.78,34009088,25.34
2025-05-13 17:35:05,0.244,97.62,33615872,25.05
2025-05-13 17:35:10,0.244,97.62,33615872,25.05
2025-05-13 17:35:15,0.244,97.62,33615872,25.05
2025-05-13 17:35:20,0.244,97.62,33615872,25.05
2025-05-13 17:35:25,0.244,97.62,33615872,25.05
2025-05-13 17:35:31,0.273,109.23,33615872,25.05
2025-05-13 17:35:36,0.273,109.23,34320384,25.57
2025-05-13 17:35:41,0.273,109.23,34320384,25.57
2025-05-13 17:35:46,0.273,109.23,34320384,25.57
2025-05-13 17:35:52,0.273,109.23,34320384,25.57
2025-05-13 17:35:57,0.273,109.23,34320384,25.57
2025-05-13 17:36:02,0.121,48.52,34320384,25.57
2025-05-13 17:36:07,0.121,48.52,33660928,25.08
2025-05-13 17:36:13,0.121,48.52,33660928,25.08
2025-05-13 17:36:18,0.121,48.52,33660928,25.08
2025-05-13 17:36:23,0.121,48.52,33660928,25.08
2025-05-13 17:36:28,0.121,48.52,33660928,25.08
2025-05-13 17:36:34,0.330,131.96,33566720,25.01
2025-05-13 17:36:39,0.330,131.96,33566720,25.01
2025-05-13 17:36:44,0.330,131.96,33566720,25.01
2025-05-13 17:36:50,0.330,131.96,33566720,25.01
2025-05-13 17:36:55,0.330,131.96,33566720,25.01
2025-05-13 17:37:00,0.330,131.96,33566720,25.01
2025-05-13 17:37:05,0.216,86.24,33914880,25.27
