timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 17:36:34,0.009,3.46,11972608,8.92
2025-05-13 17:36:39,0.009,3.46,11972608,8.92
2025-05-13 17:36:44,0.009,3.46,11972608,8.92
2025-05-13 17:36:50,0.009,3.46,11972608,8.92
2025-05-13 17:36:55,0.009,3.46,11972608,8.92
2025-05-13 17:37:00,0.009,3.46,11972608,8.92
2025-05-13 17:37:05,0.027,10.81,12251136,9.13
2025-05-13 17:37:11,0.027,10.81,12251136,9.13
2025-05-13 17:37:16,0.027,10.81,12251136,9.13
2025-05-13 17:37:21,0.027,10.81,12251136,9.13
2025-05-13 17:37:26,0.027,10.81,12251136,9.13
2025-05-13 17:37:31,0.046,18.59,12251136,9.13
2025-05-13 17:37:37,0.046,18.59,12271616,9.14
2025-05-13 17:37:42,0.046,18.59,12271616,9.14
2025-05-13 17:37:47,0.046,18.59,12271616,9.14
2025-05-13 17:37:52,0.046,18.59,12271616,9.14
2025-05-13 17:37:57,0.046,18.59,12271616,9.14
2025-05-13 17:38:03,0.058,23.35,12271616,9.14
2025-05-13 17:38:08,0.058,23.35,12369920,9.22
2025-05-13 17:38:13,0.058,23.35,12369920,9.22
2025-05-13 17:38:18,0.058,23.35,12369920,9.22
2025-05-13 17:38:24,0.058,23.35,12369920,9.22
2025-05-13 17:38:29,0.058,23.35,12369920,9.22
2025-05-13 17:38:34,0.059,23.46,12685312,9.45
2025-05-13 17:38:39,0.059,23.46,12685312,9.45
2025-05-13 17:38:45,0.059,23.46,12685312,9.45
2025-05-13 17:38:50,0.059,23.46,12685312,9.45
2025-05-13 17:38:55,0.059,23.46,12685312,9.45
2025-05-13 17:39:00,0.059,23.46,12685312,9.45
2025-05-13 17:39:06,0.051,20.29,12595200,9.38
2025-05-13 17:39:11,0.051,20.29,12595200,9.38
2025-05-13 17:39:16,0.051,20.29,12595200,9.38
2025-05-13 17:39:21,0.051,20.29,12595200,9.38
2025-05-13 17:39:26,0.051,20.29,12595200,9.38
2025-05-13 17:39:32,0.047,18.64,12595200,9.38
2025-05-13 17:39:37,0.047,18.64,12537856,9.34
2025-05-13 17:39:42,0.047,18.64,12537856,9.34
2025-05-13 17:39:47,0.047,18.64,12537856,9.34
2025-05-13 17:39:52,0.047,18.64,12537856,9.34
2025-05-13 17:39:58,0.047,18.64,12537856,9.34
2025-05-13 17:40:03,0.046,18.49,12615680,9.40
2025-05-13 17:40:08,0.046,18.49,12615680,9.40
2025-05-13 17:40:13,0.046,18.49,12615680,9.40
2025-05-13 17:40:19,0.046,18.49,12615680,9.40
2025-05-13 17:40:24,0.046,18.49,12615680,9.40
2025-05-13 17:40:29,0.046,18.49,12615680,9.40
2025-05-13 17:40:34,0.044,17.74,12701696,9.46
2025-05-13 17:40:40,0.044,17.74,12701696,9.46
2025-05-13 17:40:45,0.044,17.74,12701696,9.46
2025-05-13 17:40:50,0.044,17.74,12701696,9.46
2025-05-13 17:40:55,0.044,17.74,12701696,9.46
