timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 19:02:33,0.010,4.12,7008256,5.22
2025-05-13 19:02:38,0.010,4.12,7008256,5.22
2025-05-13 19:02:43,0.010,4.12,7008256,5.22
2025-05-13 19:02:48,0.010,4.12,7008256,5.22
2025-05-13 19:02:54,0.010,4.12,7008256,5.22
2025-05-13 19:02:59,0.010,4.12,7008256,5.22
2025-05-13 19:03:04,0.007,2.66,7008256,5.22
2025-05-13 19:03:09,0.007,2.66,7008256,5.22
2025-05-13 19:03:14,0.007,2.66,7389184,5.51
2025-05-13 19:03:19,0.007,2.66,7389184,5.51
2025-05-13 19:03:24,0.007,2.66,7389184,5.51
2025-05-13 19:03:30,0.007,2.66,7389184,5.51
2025-05-13 19:03:35,0.014,5.50,7389184,5.51
2025-05-13 19:03:40,0.014,5.50,7389184,5.51
2025-05-13 19:03:45,0.014,5.50,7761920,5.78
2025-05-13 19:03:50,0.014,5.50,7761920,5.78
2025-05-13 19:03:55,0.014,5.50,7761920,5.78
2025-05-13 19:04:01,0.021,8.44,7761920,5.78
2025-05-13 19:04:06,0.021,8.44,7761920,5.78
2025-05-13 19:04:11,0.021,8.44,7761920,5.78
2025-05-13 19:04:16,0.021,8.44,8187904,6.10
2025-05-13 19:04:21,0.021,8.44,8187904,6.10
2025-05-13 19:04:26,0.021,8.44,8187904,6.10
2025-05-13 19:04:32,0.041,16.43,8187904,6.10
2025-05-13 19:04:37,0.041,16.43,8187904,6.10
2025-05-13 19:04:42,0.041,16.43,8187904,6.10
2025-05-13 19:04:47,0.041,16.43,8269824,6.16
2025-05-13 19:04:52,0.041,16.43,8269824,6.16
2025-05-13 19:04:57,0.041,16.43,8269824,6.16
2025-05-13 19:05:03,0.050,20.17,8269824,6.16
2025-05-13 19:05:08,0.050,20.17,8269824,6.16
2025-05-13 19:05:13,0.050,20.17,8273920,6.16
2025-05-13 19:05:18,0.050,20.17,8273920,6.16
2025-05-13 19:05:23,0.050,20.17,8273920,6.16
2025-05-13 19:05:29,0.050,20.17,8273920,6.16
2025-05-13 19:05:34,0.067,26.71,8273920,6.16
2025-05-13 19:05:39,0.067,26.71,8273920,6.16
2025-05-13 19:05:44,0.067,26.71,8724480,6.50
2025-05-13 19:05:49,0.067,26.71,8724480,6.50
2025-05-13 19:05:54,0.067,26.71,8724480,6.50
2025-05-13 19:06:00,0.067,26.71,8724480,6.50
2025-05-13 19:06:05,0.052,20.67,8724480,6.50
2025-05-13 19:06:10,0.052,20.67,8724480,6.50
2025-05-13 19:06:15,0.052,20.67,8626176,6.43
2025-05-13 19:06:20,0.052,20.67,8626176,6.43
2025-05-13 19:06:26,0.052,20.67,8626176,6.43
2025-05-13 19:06:31,0.051,20.38,8626176,6.43
2025-05-13 19:06:36,0.051,20.38,8626176,6.43
2025-05-13 19:06:41,0.051,20.38,8626176,6.43
2025-05-13 19:06:46,0.051,20.38,9187328,6.85
2025-05-13 19:06:51,0.051,20.38,9187328,6.85
2025-05-13 19:06:56,0.051,20.38,9187328,6.85
2025-05-13 19:07:02,0.060,23.93,9187328,6.85
2025-05-13 19:07:07,0.060,23.93,9187328,6.85
2025-05-13 19:07:12,0.060,23.93,9187328,6.85
2025-05-13 19:07:17,0.060,23.93,9584640,7.14
2025-05-13 19:07:22,0.060,23.93,9584640,7.14
2025-05-13 19:07:27,0.060,23.93,9584640,7.14
2025-05-13 19:07:32,0.042,16.69,9584640,7.14
2025-05-13 19:07:38,0.042,16.69,9584640,7.14
2025-05-13 19:07:43,0.042,16.69,9515008,7.09
2025-05-13 19:07:48,0.042,16.69,9515008,7.09
2025-05-13 19:07:53,0.042,16.69,9515008,7.09
2025-05-13 19:07:58,0.042,16.69,9515008,7.09
2025-05-13 19:08:03,0.033,13.10,9515008,7.09
2025-05-13 19:08:08,0.033,13.10,9515008,7.09
2025-05-13 19:08:14,0.033,13.10,9609216,7.16
2025-05-13 19:08:19,0.033,13.10,9609216,7.16
2025-05-13 19:08:24,0.033,13.10,9609216,7.16
2025-05-13 19:08:29,0.033,13.10,9609216,7.16
2025-05-13 19:08:34,0.034,13.54,9609216,7.16
2025-05-13 19:08:39,0.034,13.54,9609216,7.16
2025-05-13 19:08:44,0.034,13.54,9641984,7.18
2025-05-13 19:08:49,0.034,13.54,9641984,7.18
2025-05-13 19:08:54,0.034,13.54,9641984,7.18
2025-05-13 19:09:00,0.034,13.54,9641984,7.18
2025-05-13 19:09:05,0.033,13.03,9641984,7.18
2025-05-13 19:09:10,0.033,13.03,9641984,7.18
2025-05-13 19:09:15,0.033,13.03,9154560,6.82
2025-05-13 19:09:20,0.033,13.03,9154560,6.82
2025-05-13 19:09:25,0.033,13.03,9154560,6.82
2025-05-13 19:09:30,0.068,27.21,9154560,6.82
2025-05-13 19:09:36,0.068,27.21,9154560,6.82
2025-05-13 19:09:41,0.068,27.21,9154560,6.82
2025-05-13 19:09:46,0.068,27.21,9306112,6.93
2025-05-13 19:09:51,0.068,27.21,9306112,6.93
2025-05-13 19:09:56,0.068,27.21,9306112,6.93
2025-05-13 19:10:01,0.032,12.84,9306112,6.93
2025-05-13 19:10:06,0.032,12.84,9306112,6.93
2025-05-13 19:10:12,0.032,12.84,9306112,6.93
2025-05-13 19:10:17,0.032,12.84,9891840,7.37
2025-05-13 19:10:22,0.032,12.84,9891840,7.37
2025-05-13 19:10:27,0.032,12.84,9891840,7.37
2025-05-13 19:10:32,0.041,16.27,9891840,7.37
2025-05-13 19:10:37,0.041,16.27,9891840,7.37
2025-05-13 19:10:43,0.041,16.27,10682368,7.96
2025-05-13 19:10:48,0.041,16.27,10682368,7.96
2025-05-13 19:10:53,0.041,16.27,10682368,7.96
2025-05-13 19:10:58,0.041,16.27,10682368,7.96
2025-05-13 19:11:03,0.065,26.03,10682368,7.96
2025-05-13 19:11:08,0.065,26.03,10682368,7.96
2025-05-13 19:11:14,0.065,26.03,10997760,8.19
2025-05-13 19:11:19,0.065,26.03,10997760,8.19
2025-05-13 19:11:24,0.065,26.03,10997760,8.19
