timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 17:26:35,1.254,39.19,382935040,71.33
2025-05-13 17:26:40,1.254,39.19,382935040,71.33
2025-05-13 17:26:46,1.254,39.19,382935040,71.33
2025-05-13 17:26:51,1.254,39.19,382935040,71.33
2025-05-13 17:26:56,1.254,39.19,431034368,80.29
2025-05-13 17:27:01,1.961,61.28,431034368,80.29
2025-05-13 17:27:06,1.961,61.28,431034368,80.29
2025-05-13 17:27:11,1.961,61.28,431034368,80.29
2025-05-13 17:27:16,1.961,61.28,431034368,80.29
2025-05-13 17:27:22,1.961,61.28,431034368,80.29
2025-05-13 17:27:27,1.961,61.28,58855424,10.96
2025-05-13 17:27:32,1.261,39.41,58855424,10.96
2025-05-13 17:27:37,1.261,39.41,58855424,10.96
2025-05-13 17:27:42,1.261,39.41,58855424,10.96
2025-05-13 17:27:47,1.261,39.41,58855424,10.96
2025-05-13 17:27:53,1.261,39.41,58855424,10.96
2025-05-13 17:27:58,1.261,39.41,430485504,80.18
2025-05-13 17:28:03,1.766,55.19,430485504,80.18
2025-05-13 17:28:08,1.766,55.19,430485504,80.18
2025-05-13 17:28:13,1.766,55.19,430485504,80.18
2025-05-13 17:28:18,1.766,55.19,430485504,80.18
2025-05-13 17:28:23,1.766,55.19,430485504,80.18
2025-05-13 17:28:29,1.766,55.19,441061376,82.15
2025-05-13 17:28:34,2.018,63.07,441061376,82.15
2025-05-13 17:28:39,2.018,63.07,441061376,82.15
2025-05-13 17:28:44,2.018,63.07,441061376,82.15
2025-05-13 17:28:49,2.018,63.07,441061376,82.15
2025-05-13 17:28:54,2.018,63.07,441061376,82.15
2025-05-13 17:28:59,2.018,63.07,399028224,74.32
2025-05-13 17:29:05,1.908,59.62,399028224,74.32
2025-05-13 17:29:10,1.908,59.62,399028224,74.32
2025-05-13 17:29:15,1.908,59.62,399028224,74.32
2025-05-13 17:29:20,1.908,59.62,399028224,74.32
2025-05-13 17:29:25,1.908,59.62,436236288,81.26
2025-05-13 17:29:30,1.908,59.62,436236288,81.26
2025-05-13 17:29:35,1.622,50.70,436236288,81.26
2025-05-13 17:29:40,1.622,50.70,436236288,81.26
2025-05-13 17:29:46,1.622,50.70,436236288,81.26
2025-05-13 17:29:51,1.622,50.70,436236288,81.26
2025-05-13 17:29:56,1.622,50.70,141004800,26.26
2025-05-13 17:30:01,1.410,44.06,141004800,26.26
2025-05-13 17:30:06,1.410,44.06,141004800,26.26
2025-05-13 17:30:11,1.410,44.06,141004800,26.26
2025-05-13 17:30:16,1.410,44.06,141004800,26.26
2025-05-13 17:30:21,1.410,44.06,141004800,26.26
2025-05-13 17:30:27,1.410,44.06,438386688,81.66
2025-05-13 17:30:32,1.812,56.62,438386688,81.66
2025-05-13 17:30:37,1.812,56.62,438386688,81.66
2025-05-13 17:30:42,1.812,56.62,438386688,81.66
2025-05-13 17:30:47,1.812,56.62,438386688,81.66
2025-05-13 17:30:52,1.812,56.62,438386688,81.66
2025-05-13 17:30:57,1.812,56.62,433074176,80.67
2025-05-13 17:31:03,1.958,61.18,433074176,80.67
2025-05-13 17:31:08,1.958,61.18,433074176,80.67
2025-05-13 17:31:13,1.958,61.18,433074176,80.67
2025-05-13 17:31:18,1.958,61.18,433074176,80.67
2025-05-13 17:31:23,1.958,61.18,433074176,80.67
2025-05-13 17:31:28,1.958,61.18,415682560,77.43
2025-05-13 17:31:33,2.256,70.49,415682560,77.43
2025-05-13 17:31:39,2.256,70.49,415682560,77.43
2025-05-13 17:31:44,2.256,70.49,415682560,77.43
2025-05-13 17:31:49,2.256,70.49,415682560,77.43
2025-05-13 17:31:54,2.256,70.49,415682560,77.43
2025-05-13 17:31:59,2.256,70.49,432889856,80.63
2025-05-13 17:32:04,1.495,46.73,432889856,80.63
2025-05-13 17:32:09,1.495,46.73,432889856,80.63
2025-05-13 17:32:14,1.495,46.73,432889856,80.63
2025-05-13 17:32:20,1.495,46.73,432889856,80.63
2025-05-13 17:32:25,1.495,46.73,149491712,27.85
2025-05-13 17:32:30,1.495,46.73,149491712,27.85
2025-05-13 17:32:35,1.373,42.91,149491712,27.85
2025-05-13 17:32:40,1.373,42.91,149491712,27.85
