timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 19:00:04,0.318,53.04,57393152,42.76
2025-05-13 19:00:09,0.318,53.04,57393152,42.76
2025-05-13 19:00:14,0.318,53.04,57393152,42.76
2025-05-13 19:00:19,0.318,53.04,57393152,42.76
2025-05-13 19:00:24,0.318,53.04,57393152,42.76
2025-05-13 19:00:30,0.318,53.04,57393152,42.76
2025-05-13 19:00:35,0.424,70.69,57470976,42.82
2025-05-13 19:00:40,0.424,70.69,57470976,42.82
2025-05-13 19:00:45,0.424,70.69,57470976,42.82
2025-05-13 19:00:50,0.424,70.69,57470976,42.82
2025-05-13 19:00:55,0.424,70.69,57470976,42.82
2025-05-13 19:01:00,0.424,70.69,57470976,42.82
2025-05-13 19:01:05,0.355,59.25,57511936,42.85
2025-05-13 19:01:11,0.355,59.25,57511936,42.85
2025-05-13 19:01:16,0.355,59.25,57511936,42.85
2025-05-13 19:01:21,0.355,59.25,57511936,42.85
2025-05-13 19:01:26,0.355,59.25,57511936,42.85
2025-05-13 19:01:31,0.341,56.80,57511936,42.85
2025-05-13 19:01:36,0.341,56.80,58531840,43.61
2025-05-13 19:01:41,0.341,56.80,58531840,43.61
2025-05-13 19:01:47,0.341,56.80,58531840,43.61
2025-05-13 19:01:52,0.341,56.80,58531840,43.61
2025-05-13 19:01:57,0.341,56.80,58531840,43.61
2025-05-13 19:02:02,0.442,73.67,58531840,43.61
2025-05-13 19:02:07,0.442,73.67,58314752,43.45
2025-05-13 19:02:12,0.442,73.67,58314752,43.45
2025-05-13 19:02:18,0.442,73.67,58314752,43.45
2025-05-13 19:02:23,0.442,73.67,58314752,43.45
2025-05-13 19:02:28,0.442,73.67,58314752,43.45
2025-05-13 19:02:33,0.521,86.80,59158528,44.08
2025-05-13 19:02:38,0.521,86.80,59158528,44.08
2025-05-13 19:02:43,0.521,86.80,59158528,44.08
2025-05-13 19:02:48,0.521,86.80,59158528,44.08
2025-05-13 19:02:54,0.521,86.80,59158528,44.08
2025-05-13 19:02:59,0.521,86.80,59158528,44.08
2025-05-13 19:03:04,0.475,79.23,58654720,43.70
2025-05-13 19:03:09,0.475,79.23,58654720,43.70
2025-05-13 19:03:14,0.475,79.23,58654720,43.70
2025-05-13 19:03:19,0.475,79.23,58654720,43.70
2025-05-13 19:03:24,0.475,79.23,58654720,43.70
2025-05-13 19:03:30,0.475,79.23,58654720,43.70
2025-05-13 19:03:35,0.463,77.11,58519552,43.60
2025-05-13 19:03:40,0.463,77.11,58519552,43.60
2025-05-13 19:03:45,0.463,77.11,58519552,43.60
2025-05-13 19:03:50,0.463,77.11,58519552,43.60
2025-05-13 19:03:55,0.463,77.11,58519552,43.60
2025-05-13 19:04:01,0.322,53.65,58519552,43.60
2025-05-13 19:04:06,0.322,53.65,58277888,43.42
2025-05-13 19:04:11,0.322,53.65,58277888,43.42
2025-05-13 19:04:16,0.322,53.65,58277888,43.42
2025-05-13 19:04:21,0.322,53.65,58277888,43.42
2025-05-13 19:04:26,0.322,53.65,58277888,43.42
2025-05-13 19:04:32,0.381,63.47,58277888,43.42
2025-05-13 19:04:37,0.381,63.47,58150912,43.33
2025-05-13 19:04:42,0.381,63.47,58150912,43.33
2025-05-13 19:04:47,0.381,63.47,58150912,43.33
2025-05-13 19:04:52,0.381,63.47,58150912,43.33
2025-05-13 19:04:57,0.381,63.47,58150912,43.33
2025-05-13 19:05:03,0.484,80.67,58150912,43.33
2025-05-13 19:05:08,0.484,80.67,58167296,43.34
2025-05-13 19:05:13,0.484,80.67,58167296,43.34
2025-05-13 19:05:18,0.484,80.67,58167296,43.34
2025-05-13 19:05:23,0.484,80.67,58167296,43.34
2025-05-13 19:05:29,0.484,80.67,58167296,43.34
2025-05-13 19:05:34,0.306,50.95,58068992,43.26
2025-05-13 19:05:39,0.306,50.95,58068992,43.26
2025-05-13 19:05:44,0.306,50.95,58068992,43.26
2025-05-13 19:05:49,0.306,50.95,58068992,43.26
2025-05-13 19:05:54,0.306,50.95,58068992,43.26
2025-05-13 19:06:00,0.306,50.95,58068992,43.26
2025-05-13 19:06:05,0.196,32.61,58241024,43.39
2025-05-13 19:06:10,0.196,32.61,58241024,43.39
2025-05-13 19:06:15,0.196,32.61,58241024,43.39
2025-05-13 19:06:20,0.196,32.61,58241024,43.39
2025-05-13 19:06:26,0.196,32.61,58241024,43.39
2025-05-13 19:06:31,0.262,43.67,58241024,43.39
2025-05-13 19:06:36,0.262,43.67,57929728,43.16
2025-05-13 19:06:41,0.262,43.67,57929728,43.16
2025-05-13 19:06:46,0.262,43.67,57929728,43.16
2025-05-13 19:06:51,0.262,43.67,57929728,43.16
2025-05-13 19:06:56,0.262,43.67,57929728,43.16
2025-05-13 19:07:02,0.113,18.76,57929728,43.16
2025-05-13 19:07:07,0.113,18.76,58691584,43.73
2025-05-13 19:07:12,0.113,18.76,58691584,43.73
2025-05-13 19:07:17,0.113,18.76,58691584,43.73
2025-05-13 19:07:22,0.113,18.76,58691584,43.73
2025-05-13 19:07:27,0.113,18.76,58691584,43.73
2025-05-13 19:07:32,0.209,34.86,58691584,43.73
2025-05-13 19:07:38,0.209,34.86,58703872,43.74
2025-05-13 19:07:43,0.209,34.86,58703872,43.74
2025-05-13 19:07:48,0.209,34.86,58703872,43.74
2025-05-13 19:07:53,0.209,34.86,58703872,43.74
2025-05-13 19:07:58,0.209,34.86,58703872,43.74
2025-05-13 19:08:03,0.133,22.14,58634240,43.69
2025-05-13 19:08:08,0.133,22.14,58634240,43.69
2025-05-13 19:08:14,0.133,22.14,58634240,43.69
2025-05-13 19:08:19,0.133,22.14,58634240,43.69
2025-05-13 19:08:24,0.133,22.14,58634240,43.69
2025-05-13 19:08:29,0.133,22.14,58634240,43.69
2025-05-13 19:08:34,0.265,44.12,57937920,43.17
2025-05-13 19:08:39,0.265,44.12,57937920,43.17
2025-05-13 19:08:44,0.265,44.12,57937920,43.17
2025-05-13 19:08:49,0.265,44.12,57937920,43.17
2025-05-13 19:08:54,0.265,44.12,57937920,43.17
2025-05-13 19:09:00,0.265,44.12,57937920,43.17
2025-05-13 19:09:05,0.261,43.42,57921536,43.15
2025-05-13 19:09:10,0.261,43.42,57921536,43.15
2025-05-13 19:09:15,0.261,43.42,57921536,43.15
2025-05-13 19:09:20,0.261,43.42,57921536,43.15
2025-05-13 19:09:25,0.261,43.42,57921536,43.15
2025-05-13 19:09:30,0.229,38.20,57921536,43.15
2025-05-13 19:09:36,0.229,38.20,58118144,43.30
2025-05-13 19:09:41,0.229,38.20,58118144,43.30
2025-05-13 19:09:46,0.229,38.20,58118144,43.30
2025-05-13 19:09:51,0.229,38.20,58118144,43.30
2025-05-13 19:09:56,0.229,38.20,58118144,43.30
2025-05-13 19:10:01,0.258,42.92,58118144,43.30
2025-05-13 19:10:06,0.258,42.92,58314752,43.45
2025-05-13 19:10:12,0.258,42.92,58314752,43.45
2025-05-13 19:10:17,0.258,42.92,58314752,43.45
2025-05-13 19:10:22,0.258,42.92,58314752,43.45
2025-05-13 19:10:27,0.258,42.92,58314752,43.45
2025-05-13 19:10:32,0.308,51.37,58314752,43.45
2025-05-13 19:10:37,0.308,51.37,58753024,43.77
2025-05-13 19:10:43,0.308,51.37,58753024,43.77
2025-05-13 19:10:48,0.308,51.37,58753024,43.77
2025-05-13 19:10:53,0.308,51.37,58753024,43.77
2025-05-13 19:10:58,0.308,51.37,58753024,43.77
2025-05-13 19:11:03,0.206,34.33,59195392,44.10
2025-05-13 19:11:08,0.206,34.33,59195392,44.10
2025-05-13 19:11:14,0.206,34.33,59195392,44.10
2025-05-13 19:11:19,0.206,34.33,59195392,44.10
2025-05-13 19:11:24,0.206,34.33,59195392,44.10
2025-05-13 19:11:29,0.206,34.33,59195392,44.10
