timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 18:15:02,0.256,42.62,60022784,44.72
2025-05-13 18:15:07,0.256,42.62,60022784,44.72
2025-05-13 18:15:12,0.256,42.62,60022784,44.72
2025-05-13 18:15:17,0.256,42.62,60022784,44.72
2025-05-13 18:15:22,0.256,42.62,60928000,45.39
2025-05-13 18:15:28,0.256,42.62,60928000,45.39
2025-05-13 18:15:33,0.299,49.84,60928000,45.39
2025-05-13 18:15:38,0.299,49.84,60928000,45.39
2025-05-13 18:15:43,0.299,49.84,60928000,45.39
2025-05-13 18:15:48,0.299,49.84,60928000,45.39
2025-05-13 18:15:53,0.299,49.84,63504384,47.31
2025-05-13 18:15:58,0.299,49.84,63504384,47.31
2025-05-13 18:16:04,0.229,38.22,63504384,47.31
2025-05-13 18:16:09,0.229,38.22,63504384,47.31
2025-05-13 18:16:14,0.229,38.22,63504384,47.31
2025-05-13 18:16:19,0.229,38.22,63504384,47.31
2025-05-13 18:16:24,0.229,38.22,63410176,47.24
2025-05-13 18:16:29,0.229,38.22,63410176,47.24
2025-05-13 18:16:35,0.362,60.26,63410176,47.24
2025-05-13 18:16:40,0.362,60.26,63410176,47.24
2025-05-13 18:16:45,0.362,60.26,63410176,47.24
2025-05-13 18:16:50,0.362,60.26,63410176,47.24
2025-05-13 18:16:55,0.362,60.26,63053824,46.98
2025-05-13 18:17:00,0.331,55.22,63053824,46.98
2025-05-13 18:17:06,0.331,55.22,63053824,46.98
2025-05-13 18:17:11,0.331,55.22,63053824,46.98
2025-05-13 18:17:16,0.331,55.22,63053824,46.98
2025-05-13 18:17:21,0.331,55.22,63053824,46.98
2025-05-13 18:17:26,0.331,55.22,63496192,47.31
2025-05-13 18:17:31,0.368,61.32,63496192,47.31
2025-05-13 18:17:37,0.368,61.32,63496192,47.31
2025-05-13 18:17:42,0.368,61.32,63496192,47.31
2025-05-13 18:17:47,0.368,61.32,63496192,47.31
2025-05-13 18:17:52,0.368,61.32,63496192,47.31
2025-05-13 18:17:57,0.368,61.32,63164416,47.06
2025-05-13 18:18:02,0.213,35.45,63164416,47.06
2025-05-13 18:18:08,0.213,35.45,63164416,47.06
2025-05-13 18:18:13,0.213,35.45,63164416,47.06
2025-05-13 18:18:18,0.213,35.45,63164416,47.06
2025-05-13 18:18:23,0.213,35.45,63057920,46.98
2025-05-13 18:18:28,0.213,35.45,63057920,46.98
2025-05-13 18:18:33,0.397,66.23,63057920,46.98
2025-05-13 18:18:39,0.397,66.23,63057920,46.98
2025-05-13 18:18:44,0.397,66.23,63057920,46.98
2025-05-13 18:18:49,0.397,66.23,63057920,46.98
2025-05-13 18:18:54,0.397,66.23,62963712,46.91
2025-05-13 18:18:59,0.397,66.23,62963712,46.91
2025-05-13 18:19:04,0.324,53.92,62963712,46.91
2025-05-13 18:19:09,0.324,53.92,62963712,46.91
2025-05-13 18:19:15,0.324,53.92,62963712,46.91
2025-05-13 18:19:20,0.324,53.92,62963712,46.91
2025-05-13 18:19:25,0.324,53.92,63041536,46.97
2025-05-13 18:19:30,0.324,53.92,63041536,46.97
2025-05-13 18:19:35,0.323,53.78,63041536,46.97
2025-05-13 18:19:40,0.323,53.78,63041536,46.97
2025-05-13 18:19:46,0.323,53.78,63041536,46.97
2025-05-13 18:19:51,0.323,53.78,63041536,46.97
2025-05-13 18:19:56,0.323,53.78,62586880,46.63
2025-05-13 18:20:01,0.242,40.29,62586880,46.63
2025-05-13 18:20:06,0.242,40.29,62586880,46.63
2025-05-13 18:20:11,0.242,40.29,62586880,46.63
2025-05-13 18:20:16,0.242,40.29,62586880,46.63
2025-05-13 18:20:22,0.242,40.29,62586880,46.63
2025-05-13 18:20:27,0.242,40.29,62734336,46.74
2025-05-13 18:20:32,0.216,35.93,62734336,46.74
2025-05-13 18:20:37,0.216,35.93,62734336,46.74
2025-05-13 18:20:42,0.216,35.93,62734336,46.74
2025-05-13 18:20:47,0.216,35.93,62734336,46.74
2025-05-13 18:20:52,0.216,35.93,62763008,46.76
2025-05-13 18:20:58,0.216,35.93,62763008,46.76
