timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 18:51:35,0.545,90.78,61677568,45.95
2025-05-13 18:51:40,0.545,90.78,61677568,45.95
2025-05-13 18:51:45,0.545,90.78,61677568,45.95
2025-05-13 18:51:50,0.545,90.78,61677568,45.95
2025-05-13 18:51:55,0.545,90.78,61677568,45.95
2025-05-13 18:52:00,0.545,90.78,61677568,45.95
2025-05-13 18:52:06,0.496,82.67,61403136,45.75
2025-05-13 18:52:11,0.496,82.67,61403136,45.75
2025-05-13 18:52:16,0.496,82.67,61403136,45.75
2025-05-13 18:52:21,0.496,82.67,61403136,45.75
2025-05-13 18:52:26,0.496,82.67,61403136,45.75
2025-05-13 18:52:31,0.660,110.04,61403136,45.75
2025-05-13 18:52:36,0.660,110.04,61059072,45.49
2025-05-13 18:52:42,0.660,110.04,61059072,45.49
2025-05-13 18:52:47,0.660,110.04,61059072,45.49
2025-05-13 18:52:52,0.660,110.04,61059072,45.49
2025-05-13 18:52:57,0.660,110.04,61059072,45.49
2025-05-13 18:53:03,0.359,59.75,61059072,45.49
2025-05-13 18:53:08,0.359,59.75,61202432,45.60
2025-05-13 18:53:13,0.359,59.75,61202432,45.60
2025-05-13 18:53:18,0.359,59.75,61202432,45.60
2025-05-13 18:53:23,0.359,59.75,61202432,45.60
2025-05-13 18:53:28,0.359,59.75,61202432,45.60
2025-05-13 18:53:33,0.483,80.47,61165568,45.57
2025-05-13 18:53:39,0.483,80.47,61165568,45.57
2025-05-13 18:53:44,0.483,80.47,61165568,45.57
2025-05-13 18:53:49,0.483,80.47,61165568,45.57
2025-05-13 18:53:54,0.483,80.47,61165568,45.57
2025-05-13 18:54:00,0.483,80.47,61165568,45.57
2025-05-13 18:54:05,0.672,111.95,61009920,45.46
2025-05-13 18:54:11,0.672,111.95,61009920,45.46
2025-05-13 18:54:16,0.672,111.95,61009920,45.46
2025-05-13 18:54:21,0.672,111.95,61009920,45.46
2025-05-13 18:54:26,0.672,111.95,61009920,45.46
2025-05-13 18:54:31,0.517,86.15,61009920,45.46
2025-05-13 18:54:36,0.517,86.15,61071360,45.50
2025-05-13 18:54:41,0.517,86.15,61071360,45.50
2025-05-13 18:54:47,0.517,86.15,61071360,45.50
2025-05-13 18:54:52,0.517,86.15,61071360,45.50
2025-05-13 18:54:57,0.517,86.15,61071360,45.50
2025-05-13 18:55:02,0.347,57.85,61071360,45.50
2025-05-13 18:55:07,0.347,57.85,61026304,45.47
2025-05-13 18:55:12,0.347,57.85,61026304,45.47
2025-05-13 18:55:17,0.347,57.85,61026304,45.47
2025-05-13 18:55:22,0.347,57.85,61026304,45.47
2025-05-13 18:55:28,0.347,57.85,61026304,45.47
2025-05-13 18:55:33,0.348,57.92,61026304,45.47
2025-05-13 18:55:38,0.348,57.92,60882944,45.36
2025-05-13 18:55:43,0.348,57.92,60882944,45.36
2025-05-13 18:55:48,0.348,57.92,60882944,45.36
2025-05-13 18:55:53,0.348,57.92,60882944,45.36
2025-05-13 18:55:58,0.348,57.92,60882944,45.36
2025-05-13 18:56:03,0.157,26.13,61546496,45.86
2025-05-13 18:56:09,0.157,26.13,61546496,45.86
2025-05-13 18:56:14,0.157,26.13,61546496,45.86
2025-05-13 18:56:19,0.157,26.13,61546496,45.86
2025-05-13 18:56:24,0.157,26.13,61546496,45.86
2025-05-13 18:56:29,0.157,26.13,61546496,45.86
2025-05-13 18:56:34,0.300,49.93,61558784,45.86
2025-05-13 18:56:39,0.300,49.93,61558784,45.86
2025-05-13 18:56:44,0.300,49.93,61558784,45.86
2025-05-13 18:56:49,0.300,49.93,61558784,45.86
2025-05-13 18:56:54,0.300,49.93,61558784,45.86
2025-05-13 18:57:00,0.300,49.93,61558784,45.86
2025-05-13 18:57:05,0.120,20.03,60203008,44.85
2025-05-13 18:57:10,0.120,20.03,60203008,44.85
2025-05-13 18:57:15,0.120,20.03,60203008,44.85
2025-05-13 18:57:20,0.120,20.03,60203008,44.85
2025-05-13 18:57:25,0.120,20.03,60203008,44.85
2025-05-13 18:57:30,0.120,20.03,60203008,44.85
2025-05-13 18:57:35,0.249,41.48,59813888,44.56
2025-05-13 18:57:40,0.249,41.48,59813888,44.56
2025-05-13 18:57:46,0.249,41.48,59813888,44.56
2025-05-13 18:57:51,0.249,41.48,59813888,44.56
2025-05-13 18:57:56,0.249,41.48,59813888,44.56
2025-05-13 18:58:01,0.143,23.91,59813888,44.56
2025-05-13 18:58:06,0.143,23.91,59748352,44.52
2025-05-13 18:58:11,0.143,23.91,59748352,44.52
2025-05-13 18:58:16,0.143,23.91,59748352,44.52
2025-05-13 18:58:21,0.143,23.91,59748352,44.52
2025-05-13 18:58:26,0.143,23.91,59748352,44.52
2025-05-13 18:58:32,0.124,20.63,59748352,44.52
2025-05-13 18:58:37,0.124,20.63,59355136,44.22
2025-05-13 18:58:42,0.124,20.63,59355136,44.22
2025-05-13 18:58:47,0.124,20.63,59355136,44.22
2025-05-13 18:58:52,0.124,20.63,59355136,44.22
2025-05-13 18:58:57,0.124,20.63,59355136,44.22
2025-05-13 18:59:02,0.130,21.71,59355136,44.22
2025-05-13 18:59:07,0.130,21.71,59842560,44.59
2025-05-13 18:59:12,0.130,21.71,59842560,44.59
2025-05-13 18:59:18,0.130,21.71,59842560,44.59
2025-05-13 18:59:23,0.130,21.71,59842560,44.59
2025-05-13 18:59:28,0.130,21.71,59842560,44.59
2025-05-13 18:59:33,0.146,24.37,59539456,44.36
2025-05-13 18:59:38,0.146,24.37,59539456,44.36
2025-05-13 18:59:43,0.146,24.37,59539456,44.36
2025-05-13 18:59:48,0.146,24.37,59539456,44.36
2025-05-13 18:59:54,0.146,24.37,59539456,44.36
2025-05-13 18:59:59,0.146,24.37,59539456,44.36
2025-05-13 19:00:04,0.116,19.32,59535360,44.36
2025-05-13 19:00:09,0.116,19.32,59535360,44.36
2025-05-13 19:00:14,0.116,19.32,59535360,44.36
2025-05-13 19:00:19,0.116,19.32,59535360,44.36
2025-05-13 19:00:24,0.116,19.32,59535360,44.36
2025-05-13 19:00:30,0.116,19.32,59535360,44.36
2025-05-13 19:00:35,0.317,52.77,60178432,44.84
2025-05-13 19:00:40,0.317,52.77,60178432,44.84
2025-05-13 19:00:45,0.317,52.77,60178432,44.84
2025-05-13 19:00:50,0.317,52.77,60178432,44.84
2025-05-13 19:00:55,0.317,52.77,60178432,44.84
2025-05-13 19:01:00,0.317,52.77,60178432,44.84
2025-05-13 19:01:05,0.316,52.63,60231680,44.88
2025-05-13 19:01:11,0.316,52.63,60231680,44.88
2025-05-13 19:01:16,0.316,52.63,60231680,44.88
2025-05-13 19:01:21,0.316,52.63,60231680,44.88
2025-05-13 19:01:26,0.316,52.63,60231680,44.88
2025-05-13 19:01:31,0.323,53.84,60231680,44.88
2025-05-13 19:01:36,0.323,53.84,59846656,44.59
2025-05-13 19:01:41,0.323,53.84,59846656,44.59
2025-05-13 19:01:47,0.323,53.84,59846656,44.59
2025-05-13 19:01:52,0.323,53.84,59846656,44.59
2025-05-13 19:01:57,0.323,53.84,59846656,44.59
2025-05-13 19:02:02,0.341,56.75,59846656,44.59
2025-05-13 19:02:07,0.341,56.75,60157952,44.82
2025-05-13 19:02:12,0.341,56.75,60157952,44.82
2025-05-13 19:02:18,0.341,56.75,60157952,44.82
2025-05-13 19:02:23,0.341,56.75,60157952,44.82
2025-05-13 19:02:28,0.341,56.75,60157952,44.82
2025-05-13 19:02:33,0.556,92.60,60436480,45.03
2025-05-13 19:02:38,0.556,92.60,60436480,45.03
2025-05-13 19:02:43,0.556,92.60,60436480,45.03
2025-05-13 19:02:48,0.556,92.60,60436480,45.03
2025-05-13 19:02:54,0.556,92.60,60436480,45.03
2025-05-13 19:02:59,0.556,92.60,60436480,45.03
2025-05-13 19:03:04,0.574,95.70,60571648,45.13
2025-05-13 19:03:09,0.574,95.70,60571648,45.13
2025-05-13 19:03:14,0.574,95.70,60571648,45.13
2025-05-13 19:03:19,0.574,95.70,60571648,45.13
2025-05-13 19:03:24,0.574,95.70,60571648,45.13
2025-05-13 19:03:30,0.574,95.70,60571648,45.13
2025-05-13 19:03:35,0.382,63.61,60284928,44.92
2025-05-13 19:03:40,0.382,63.61,60284928,44.92
2025-05-13 19:03:45,0.382,63.61,60284928,44.92
2025-05-13 19:03:50,0.382,63.61,60284928,44.92
2025-05-13 19:03:55,0.382,63.61,60284928,44.92
2025-05-13 19:04:01,0.428,71.36,60284928,44.92
2025-05-13 19:04:06,0.428,71.36,60313600,44.94
2025-05-13 19:04:11,0.428,71.36,60313600,44.94
2025-05-13 19:04:16,0.428,71.36,60313600,44.94
2025-05-13 19:04:21,0.428,71.36,60313600,44.94
2025-05-13 19:04:26,0.428,71.36,60313600,44.94
2025-05-13 19:04:32,0.398,66.34,60313600,44.94
2025-05-13 19:04:37,0.398,66.34,60489728,45.07
2025-05-13 19:04:42,0.398,66.34,60489728,45.07
2025-05-13 19:04:47,0.398,66.34,60489728,45.07
2025-05-13 19:04:52,0.398,66.34,60489728,45.07
2025-05-13 19:04:57,0.398,66.34,60489728,45.07
2025-05-13 19:05:03,0.489,81.48,60489728,45.07
2025-05-13 19:05:08,0.489,81.48,60354560,44.97
2025-05-13 19:05:13,0.489,81.48,60354560,44.97
2025-05-13 19:05:18,0.489,81.48,60354560,44.97
2025-05-13 19:05:23,0.489,81.48,60354560,44.97
2025-05-13 19:05:29,0.489,81.48,60354560,44.97
2025-05-13 19:05:34,0.467,77.76,60403712,45.00
2025-05-13 19:05:39,0.467,77.76,60403712,45.00
2025-05-13 19:05:44,0.467,77.76,60403712,45.00
2025-05-13 19:05:49,0.467,77.76,60403712,45.00
2025-05-13 19:05:54,0.467,77.76,60403712,45.00
2025-05-13 19:06:00,0.467,77.76,60403712,45.00
2025-05-13 19:06:05,0.309,51.45,60633088,45.18
2025-05-13 19:06:10,0.309,51.45,60633088,45.18
2025-05-13 19:06:15,0.309,51.45,60633088,45.18
2025-05-13 19:06:20,0.309,51.45,60633088,45.18
2025-05-13 19:06:26,0.309,51.45,60633088,45.18
2025-05-13 19:06:31,0.356,59.40,60633088,45.18
2025-05-13 19:06:36,0.356,59.40,60248064,44.89
2025-05-13 19:06:41,0.356,59.40,60248064,44.89
2025-05-13 19:06:46,0.356,59.40,60248064,44.89
2025-05-13 19:06:51,0.356,59.40,60248064,44.89
2025-05-13 19:06:56,0.356,59.40,60248064,44.89
2025-05-13 19:07:02,0.158,26.40,60248064,44.89
2025-05-13 19:07:07,0.158,26.40,60260352,44.90
2025-05-13 19:07:12,0.158,26.40,60260352,44.90
2025-05-13 19:07:17,0.158,26.40,60260352,44.90
2025-05-13 19:07:22,0.158,26.40,60260352,44.90
2025-05-13 19:07:27,0.158,26.40,60260352,44.90
2025-05-13 19:07:32,0.304,50.59,60260352,44.90
2025-05-13 19:07:38,0.304,50.59,60350464,44.96
2025-05-13 19:07:43,0.304,50.59,60350464,44.96
2025-05-13 19:07:48,0.304,50.59,60350464,44.96
2025-05-13 19:07:53,0.304,50.59,60350464,44.96
2025-05-13 19:07:58,0.304,50.59,60350464,44.96
2025-05-13 19:08:03,0.111,18.46,60321792,44.94
2025-05-13 19:08:08,0.111,18.46,60321792,44.94
2025-05-13 19:08:14,0.111,18.46,60321792,44.94
2025-05-13 19:08:19,0.111,18.46,60321792,44.94
2025-05-13 19:08:24,0.111,18.46,60321792,44.94
2025-05-13 19:08:29,0.111,18.46,60321792,44.94
2025-05-13 19:08:34,0.146,24.34,60256256,44.89
2025-05-13 19:08:39,0.146,24.34,60256256,44.89
2025-05-13 19:08:44,0.146,24.34,60256256,44.89
2025-05-13 19:08:49,0.146,24.34,60256256,44.89
2025-05-13 19:08:54,0.146,24.34,60256256,44.89
2025-05-13 19:09:00,0.146,24.34,60256256,44.89
2025-05-13 19:09:05,0.263,43.88,59486208,44.32
2025-05-13 19:09:10,0.263,43.88,59486208,44.32
2025-05-13 19:09:15,0.263,43.88,59486208,44.32
2025-05-13 19:09:20,0.263,43.88,59486208,44.32
2025-05-13 19:09:25,0.263,43.88,59486208,44.32
2025-05-13 19:09:30,0.172,28.69,59486208,44.32
2025-05-13 19:09:36,0.172,28.69,59564032,44.38
2025-05-13 19:09:41,0.172,28.69,59564032,44.38
2025-05-13 19:09:46,0.172,28.69,59564032,44.38
2025-05-13 19:09:51,0.172,28.69,59564032,44.38
2025-05-13 19:09:56,0.172,28.69,59564032,44.38
2025-05-13 19:10:01,0.208,34.64,59564032,44.38
2025-05-13 19:10:06,0.208,34.64,59617280,44.42
2025-05-13 19:10:12,0.208,34.64,59617280,44.42
2025-05-13 19:10:17,0.208,34.64,59617280,44.42
2025-05-13 19:10:22,0.208,34.64,59617280,44.42
2025-05-13 19:10:27,0.208,34.64,59617280,44.42
2025-05-13 19:10:32,0.187,31.12,59617280,44.42
2025-05-13 19:10:37,0.187,31.12,59949056,44.67
