timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 18:48:03,0.498,83.06,60604416,45.15
2025-05-13 18:48:09,0.498,83.06,60432384,45.03
2025-05-13 18:48:14,0.498,83.06,60432384,45.03
2025-05-13 18:48:19,0.498,83.06,60432384,45.03
2025-05-13 18:48:24,0.498,83.06,60432384,45.03
2025-05-13 18:48:29,0.498,83.06,60432384,45.03
2025-05-13 18:48:34,0.271,45.12,60432384,45.03
2025-05-13 18:48:40,0.271,45.12,60366848,44.98
2025-05-13 18:48:45,0.271,45.12,60366848,44.98
2025-05-13 18:48:50,0.271,45.12,60366848,44.98
2025-05-13 18:48:55,0.271,45.12,60366848,44.98
2025-05-13 18:49:00,0.271,45.12,60366848,44.98
2025-05-13 18:49:05,0.493,82.17,60366848,44.98
2025-05-13 18:49:10,0.493,82.17,60391424,45.00
2025-05-13 18:49:16,0.493,82.17,60391424,45.00
2025-05-13 18:49:21,0.493,82.17,60391424,45.00
2025-05-13 18:49:26,0.493,82.17,60391424,45.00
2025-05-13 18:49:31,0.308,51.33,60391424,45.00
2025-05-13 18:49:36,0.308,51.33,60391424,45.00
2025-05-13 18:49:41,0.308,51.33,60157952,44.82
2025-05-13 18:49:47,0.308,51.33,60157952,44.82
2025-05-13 18:49:52,0.308,51.33,60157952,44.82
2025-05-13 18:49:57,0.308,51.33,60157952,44.82
2025-05-13 18:50:02,0.554,92.36,60157952,44.82
2025-05-13 18:50:07,0.554,92.36,59949056,44.67
2025-05-13 18:50:12,0.554,92.36,59949056,44.67
2025-05-13 18:50:17,0.554,92.36,59949056,44.67
2025-05-13 18:50:22,0.554,92.36,59949056,44.67
2025-05-13 18:50:28,0.554,92.36,59949056,44.67
2025-05-13 18:50:33,0.308,51.34,59949056,44.67
2025-05-13 18:50:38,0.308,51.34,60051456,44.74
2025-05-13 18:50:43,0.308,51.34,60051456,44.74
2025-05-13 18:50:48,0.308,51.34,60051456,44.74
2025-05-13 18:50:53,0.308,51.34,60051456,44.74
2025-05-13 18:50:59,0.308,51.34,60051456,44.74
2025-05-13 18:51:04,0.179,29.85,60051456,44.74
2025-05-13 18:51:09,0.179,29.85,60039168,44.73
2025-05-13 18:51:14,0.179,29.85,60039168,44.73
2025-05-13 18:51:19,0.179,29.85,60039168,44.73
2025-05-13 18:51:24,0.179,29.85,60039168,44.73
2025-05-13 18:51:29,0.179,29.85,60039168,44.73
2025-05-13 18:51:35,0.260,43.40,60039168,44.73
2025-05-13 18:51:40,0.260,43.40,59326464,44.20
2025-05-13 18:51:45,0.260,43.40,59326464,44.20
2025-05-13 18:51:50,0.260,43.40,59326464,44.20
2025-05-13 18:51:55,0.260,43.40,59326464,44.20
2025-05-13 18:52:00,0.260,43.40,59326464,44.20
2025-05-13 18:52:06,0.105,17.52,59326464,44.20
2025-05-13 18:52:11,0.105,17.52,59383808,44.24
2025-05-13 18:52:16,0.105,17.52,59383808,44.24
2025-05-13 18:52:21,0.105,17.52,59383808,44.24
2025-05-13 18:52:26,0.105,17.52,59383808,44.24
2025-05-13 18:52:31,0.240,39.96,59383808,44.24
2025-05-13 18:52:36,0.240,39.96,59383808,44.24
2025-05-13 18:52:42,0.240,39.96,59662336,44.45
2025-05-13 18:52:47,0.240,39.96,59662336,44.45
2025-05-13 18:52:52,0.240,39.96,59662336,44.45
2025-05-13 18:52:57,0.240,39.96,59662336,44.45
2025-05-13 18:53:03,0.177,29.50,59662336,44.45
2025-05-13 18:53:08,0.177,29.50,59392000,44.25
2025-05-13 18:53:13,0.177,29.50,59392000,44.25
2025-05-13 18:53:18,0.177,29.50,59392000,44.25
2025-05-13 18:53:23,0.177,29.50,59392000,44.25
2025-05-13 18:53:28,0.177,29.50,59392000,44.25
2025-05-13 18:53:33,0.128,21.40,59392000,44.25
2025-05-13 18:53:39,0.128,21.40,59441152,44.29
2025-05-13 18:53:44,0.128,21.40,59441152,44.29
2025-05-13 18:53:49,0.128,21.40,59441152,44.29
2025-05-13 18:53:54,0.128,21.40,59441152,44.29
2025-05-13 18:54:00,0.128,21.40,59441152,44.29
2025-05-13 18:54:05,0.288,47.93,59441152,44.29
2025-05-13 18:54:11,0.288,47.93,59494400,44.33
2025-05-13 18:54:16,0.288,47.93,59494400,44.33
2025-05-13 18:54:21,0.288,47.93,59494400,44.33
2025-05-13 18:54:26,0.288,47.93,59494400,44.33
2025-05-13 18:54:31,0.265,44.24,59494400,44.33
2025-05-13 18:54:36,0.265,44.24,59494400,44.33
2025-05-13 18:54:41,0.265,44.24,59637760,44.43
2025-05-13 18:54:47,0.265,44.24,59637760,44.43
2025-05-13 18:54:52,0.265,44.24,59637760,44.43
2025-05-13 18:54:57,0.265,44.24,59637760,44.43
2025-05-13 18:55:02,0.210,35.03,59637760,44.43
2025-05-13 18:55:07,0.210,35.03,58822656,43.83
2025-05-13 18:55:12,0.210,35.03,58822656,43.83
2025-05-13 18:55:17,0.210,35.03,58822656,43.83
2025-05-13 18:55:22,0.210,35.03,58822656,43.83
2025-05-13 18:55:28,0.210,35.03,58822656,43.83
2025-05-13 18:55:33,0.168,27.96,58822656,43.83
2025-05-13 18:55:38,0.168,27.96,58925056,43.90
2025-05-13 18:55:43,0.168,27.96,58925056,43.90
2025-05-13 18:55:48,0.168,27.96,58925056,43.90
2025-05-13 18:55:53,0.168,27.96,58925056,43.90
2025-05-13 18:55:58,0.168,27.96,58925056,43.90
2025-05-13 18:56:03,0.089,14.84,58925056,43.90
2025-05-13 18:56:09,0.089,14.84,59097088,44.03
2025-05-13 18:56:14,0.089,14.84,59097088,44.03
2025-05-13 18:56:19,0.089,14.84,59097088,44.03
2025-05-13 18:56:24,0.089,14.84,59097088,44.03
2025-05-13 18:56:29,0.089,14.84,59097088,44.03
2025-05-13 18:56:34,0.199,33.17,59097088,44.03
2025-05-13 18:56:39,0.199,33.17,59142144,44.06
2025-05-13 18:56:44,0.199,33.17,59142144,44.06
2025-05-13 18:56:49,0.199,33.17,59142144,44.06
2025-05-13 18:56:54,0.199,33.17,59142144,44.06
2025-05-13 18:57:00,0.199,33.17,59142144,44.06
2025-05-13 18:57:05,0.081,13.57,59142144,44.06
2025-05-13 18:57:10,0.081,13.57,59371520,44.24
2025-05-13 18:57:15,0.081,13.57,59371520,44.24
2025-05-13 18:57:20,0.081,13.57,59371520,44.24
2025-05-13 18:57:25,0.081,13.57,59371520,44.24
2025-05-13 18:57:30,0.081,13.57,59371520,44.24
2025-05-13 18:57:35,0.167,27.89,59371520,44.24
2025-05-13 18:57:40,0.167,27.89,59162624,44.08
2025-05-13 18:57:46,0.167,27.89,59162624,44.08
2025-05-13 18:57:51,0.167,27.89,59162624,44.08
2025-05-13 18:57:56,0.167,27.89,59162624,44.08
2025-05-13 18:58:01,0.193,32.23,59162624,44.08
2025-05-13 18:58:06,0.193,32.23,59162624,44.08
2025-05-13 18:58:11,0.193,32.23,59133952,44.06
2025-05-13 18:58:16,0.193,32.23,59133952,44.06
2025-05-13 18:58:21,0.193,32.23,59133952,44.06
2025-05-13 18:58:26,0.193,32.23,59133952,44.06
2025-05-13 18:58:32,0.201,33.58,59133952,44.06
2025-05-13 18:58:37,0.201,33.58,59572224,44.38
2025-05-13 18:58:42,0.201,33.58,59572224,44.38
2025-05-13 18:58:47,0.201,33.58,59572224,44.38
2025-05-13 18:58:52,0.201,33.58,59572224,44.38
2025-05-13 18:58:57,0.201,33.58,59572224,44.38
2025-05-13 18:59:02,0.075,12.42,59572224,44.38
2025-05-13 18:59:07,0.075,12.42,59191296,44.10
2025-05-13 18:59:12,0.075,12.42,59191296,44.10
2025-05-13 18:59:18,0.075,12.42,59191296,44.10
2025-05-13 18:59:23,0.075,12.42,59191296,44.10
