timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 17:15:04,0.253,42.24,70524928,52.55
2025-05-13 17:15:09,0.253,42.24,70524928,52.55
2025-05-13 17:15:14,0.253,42.24,70483968,52.51
2025-05-13 17:15:19,0.253,42.24,70483968,52.51
2025-05-13 17:15:24,0.253,42.24,70483968,52.51
2025-05-13 17:15:29,0.253,42.24,70483968,52.51
2025-05-13 17:15:34,0.512,85.39,70483968,52.51
2025-05-13 17:15:39,0.512,85.39,70508544,52.53
2025-05-13 17:15:45,0.512,85.39,70508544,52.53
2025-05-13 17:15:50,0.512,85.39,70508544,52.53
2025-05-13 17:15:55,0.512,85.39,70508544,52.53
2025-05-13 17:16:00,0.512,85.39,70508544,52.53
2025-05-13 17:16:05,0.502,83.75,70508544,52.53
2025-05-13 17:16:10,0.502,83.75,71077888,52.96
2025-05-13 17:16:15,0.502,83.75,71077888,52.96
2025-05-13 17:16:20,0.502,83.75,71077888,52.96
2025-05-13 17:16:25,0.502,83.75,71077888,52.96
2025-05-13 17:16:31,0.668,111.34,71077888,52.96
2025-05-13 17:16:36,0.668,111.34,71077888,52.96
2025-05-13 17:16:41,0.668,111.34,70217728,52.32
2025-05-13 17:16:46,0.668,111.34,70217728,52.32
2025-05-13 17:16:51,0.668,111.34,70217728,52.32
2025-05-13 17:16:56,0.668,111.34,70217728,52.32
2025-05-13 17:17:01,0.503,83.87,70217728,52.32
2025-05-13 17:17:06,0.503,83.87,70217728,52.32
2025-05-13 17:17:12,0.503,83.87,70217728,52.32
2025-05-13 17:17:17,0.503,83.87,70217728,52.32
2025-05-13 17:17:22,0.503,83.87,70217728,52.32
2025-05-13 17:17:27,0.503,83.87,70217728,52.32
2025-05-13 17:17:32,0.391,65.20,70217728,52.32
2025-05-13 17:17:37,0.391,65.20,70217728,52.32
2025-05-13 17:17:42,0.391,65.20,70889472,52.82
2025-05-13 17:17:47,0.391,65.20,70889472,52.82
2025-05-13 17:17:52,0.391,65.20,70889472,52.82
2025-05-13 17:17:58,0.391,65.20,70889472,52.82
2025-05-13 17:18:03,0.473,78.75,70889472,52.82
2025-05-13 17:18:08,0.473,78.75,70889472,52.82
2025-05-13 17:18:13,0.473,78.75,69922816,52.10
2025-05-13 17:18:18,0.473,78.75,69922816,52.10
2025-05-13 17:18:23,0.473,78.75,69922816,52.10
2025-05-13 17:18:28,0.473,78.75,69922816,52.10
2025-05-13 17:18:33,0.350,58.31,69922816,52.10
2025-05-13 17:18:38,0.350,58.31,69922816,52.10
2025-05-13 17:18:44,0.350,58.31,69971968,52.13
2025-05-13 17:18:49,0.350,58.31,69971968,52.13
2025-05-13 17:18:54,0.350,58.31,69971968,52.13
2025-05-13 17:18:59,0.350,58.31,69971968,52.13
2025-05-13 17:19:04,0.332,55.35,69971968,52.13
2025-05-13 17:19:09,0.332,55.35,69398528,51.71
2025-05-13 17:19:14,0.332,55.35,69398528,51.71
2025-05-13 17:19:19,0.332,55.35,69398528,51.71
2025-05-13 17:19:25,0.332,55.35,69398528,51.71
2025-05-13 17:19:30,0.332,55.35,69398528,51.71
2025-05-13 17:19:35,0.308,51.32,69398528,51.71
2025-05-13 17:19:40,0.308,51.32,68968448,51.39
2025-05-13 17:19:45,0.308,51.32,68968448,51.39
2025-05-13 17:19:50,0.308,51.32,68968448,51.39
2025-05-13 17:19:55,0.308,51.32,68968448,51.39
2025-05-13 17:20:00,0.308,51.32,68968448,51.39
2025-05-13 17:20:05,0.189,31.56,68968448,51.39
2025-05-13 17:20:11,0.189,31.56,68804608,51.26
2025-05-13 17:20:16,0.189,31.56,68804608,51.26
2025-05-13 17:20:21,0.189,31.56,68804608,51.26
2025-05-13 17:20:26,0.189,31.56,68804608,51.26
2025-05-13 17:20:31,0.253,42.14,68804608,51.26
2025-05-13 17:20:36,0.253,42.14,68804608,51.26
2025-05-13 17:20:41,0.253,42.14,68558848,51.08
2025-05-13 17:20:46,0.253,42.14,68558848,51.08
2025-05-13 17:20:51,0.253,42.14,68558848,51.08
2025-05-13 17:20:57,0.253,42.14,68558848,51.08
2025-05-13 17:21:02,0.155,25.81,68558848,51.08
2025-05-13 17:21:07,0.155,25.81,68558848,51.08
2025-05-13 17:21:12,0.155,25.81,68706304,51.19
2025-05-13 17:21:17,0.155,25.81,68706304,51.19
2025-05-13 17:21:22,0.155,25.81,68706304,51.19
2025-05-13 17:21:27,0.155,25.81,68706304,51.19
2025-05-13 17:21:32,0.107,17.75,68706304,51.19
2025-05-13 17:21:38,0.107,17.75,68706304,51.19
2025-05-13 17:21:43,0.107,17.75,68702208,51.19
2025-05-13 17:21:48,0.107,17.75,68702208,51.19
2025-05-13 17:21:53,0.107,17.75,68702208,51.19
2025-05-13 17:21:58,0.107,17.75,68702208,51.19
2025-05-13 17:22:03,0.217,36.19,68702208,51.19
2025-05-13 17:22:08,0.217,36.19,68702208,51.19
2025-05-13 17:22:14,0.217,36.19,68501504,51.04
2025-05-13 17:22:19,0.217,36.19,68501504,51.04
2025-05-13 17:22:24,0.217,36.19,68501504,51.04
2025-05-13 17:22:29,0.217,36.19,68501504,51.04
2025-05-13 17:22:34,0.276,45.98,68501504,51.04
2025-05-13 17:22:39,0.276,45.98,68501504,51.04
2025-05-13 17:22:44,0.276,45.98,68501504,51.04
2025-05-13 17:22:49,0.276,45.98,68501504,51.04
2025-05-13 17:22:55,0.276,45.98,68501504,51.04
2025-05-13 17:23:00,0.276,45.98,68501504,51.04
2025-05-13 17:23:05,0.249,41.50,68501504,51.04
2025-05-13 17:23:10,0.249,41.50,68501504,51.04
2025-05-13 17:23:15,0.249,41.50,68501504,51.04
2025-05-13 17:23:20,0.249,41.50,68501504,51.04
2025-05-13 17:23:25,0.249,41.50,68501504,51.04
2025-05-13 17:23:30,0.249,41.50,68501504,51.04
2025-05-13 17:23:36,0.263,43.89,68501504,51.04
2025-05-13 17:23:41,0.263,43.89,68501504,51.04
2025-05-13 17:23:46,0.263,43.89,68501504,51.04
2025-05-13 17:23:51,0.263,43.89,68501504,51.04
2025-05-13 17:23:56,0.263,43.89,68501504,51.04
2025-05-13 17:24:01,0.324,54.04,68501504,51.04
2025-05-13 17:24:06,0.324,54.04,68501504,51.04
2025-05-13 17:24:11,0.324,54.04,68501504,51.04
2025-05-13 17:24:17,0.324,54.04,68501504,51.04
2025-05-13 17:24:22,0.324,54.04,68501504,51.04
2025-05-13 17:24:27,0.324,54.04,68501504,51.04
2025-05-13 17:24:32,0.309,51.49,68501504,51.04
2025-05-13 17:24:37,0.309,51.49,68501504,51.04
2025-05-13 17:24:42,0.309,51.49,69148672,51.52
2025-05-13 17:24:47,0.309,51.49,69148672,51.52
2025-05-13 17:24:52,0.309,51.49,69148672,51.52
2025-05-13 17:24:58,0.309,51.49,69148672,51.52
2025-05-13 17:25:03,0.448,74.59,69148672,51.52
2025-05-13 17:25:08,0.448,74.59,69148672,51.52
2025-05-13 17:25:13,0.448,74.59,68177920,50.80
2025-05-13 17:25:18,0.448,74.59,68177920,50.80
2025-05-13 17:25:23,0.448,74.59,68177920,50.80
2025-05-13 17:25:28,0.448,74.59,68177920,50.80
2025-05-13 17:25:34,0.519,86.58,68177920,50.80
2025-05-13 17:25:39,0.519,86.58,68177920,50.80
2025-05-13 17:25:44,0.519,86.58,68853760,51.30
