timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 17:47:36,0.403,67.21,56885248,42.38
2025-05-13 17:47:41,0.403,67.21,56885248,42.38
2025-05-13 17:47:46,0.403,67.21,56885248,42.38
2025-05-13 17:47:51,0.403,67.21,56885248,42.38
2025-05-13 17:47:56,0.403,67.21,56885248,42.38
2025-05-13 17:48:01,0.439,73.22,56250368,41.91
2025-05-13 17:48:07,0.439,73.22,56250368,41.91
2025-05-13 17:48:12,0.439,73.22,56250368,41.91
2025-05-13 17:48:17,0.439,73.22,56250368,41.91
2025-05-13 17:48:22,0.439,73.22,56250368,41.91
2025-05-13 17:48:28,0.439,73.22,56250368,41.91
2025-05-13 17:48:33,0.377,62.89,56459264,42.07
2025-05-13 17:48:38,0.377,62.89,56459264,42.07
2025-05-13 17:48:43,0.377,62.89,56459264,42.07
2025-05-13 17:48:48,0.377,62.89,56459264,42.07
2025-05-13 17:48:54,0.377,62.89,56459264,42.07
2025-05-13 17:48:59,0.377,62.89,56422400,42.04
2025-05-13 17:49:04,0.425,70.75,56422400,42.04
2025-05-13 17:49:10,0.425,70.75,56422400,42.04
2025-05-13 17:49:15,0.425,70.75,56422400,42.04
2025-05-13 17:49:20,0.425,70.75,56422400,42.04
2025-05-13 17:49:25,0.425,70.75,56422400,42.04
2025-05-13 17:49:31,0.369,61.48,57425920,42.79
2025-05-13 17:49:36,0.369,61.48,57425920,42.79
2025-05-13 17:49:41,0.369,61.48,57425920,42.79
2025-05-13 17:49:46,0.369,61.48,57425920,42.79
2025-05-13 17:49:51,0.369,61.48,57425920,42.79
2025-05-13 17:49:56,0.369,61.48,57425920,42.79
2025-05-13 17:50:02,0.161,26.85,57610240,42.92
2025-05-13 17:50:07,0.161,26.85,57610240,42.92
2025-05-13 17:50:12,0.161,26.85,57610240,42.92
2025-05-13 17:50:17,0.161,26.85,57610240,42.92
2025-05-13 17:50:22,0.161,26.85,57610240,42.92
2025-05-13 17:50:27,0.161,26.85,57610240,42.92
2025-05-13 17:50:33,0.335,55.80,56963072,42.44
2025-05-13 17:50:38,0.335,55.80,56963072,42.44
2025-05-13 17:50:43,0.335,55.80,56963072,42.44
2025-05-13 17:50:48,0.335,55.80,56963072,42.44
2025-05-13 17:50:53,0.335,55.80,56963072,42.44
2025-05-13 17:50:59,0.335,55.80,57249792,42.65
2025-05-13 17:51:04,0.312,52.03,57249792,42.65
2025-05-13 17:51:09,0.312,52.03,57249792,42.65
2025-05-13 17:51:14,0.312,52.03,57249792,42.65
2025-05-13 17:51:19,0.312,52.03,57249792,42.65
2025-05-13 17:51:25,0.312,52.03,57249792,42.65
2025-05-13 17:51:30,0.312,52.03,56766464,42.29
2025-05-13 17:51:35,0.252,41.97,56766464,42.29
2025-05-13 17:51:40,0.252,41.97,56766464,42.29
2025-05-13 17:51:45,0.252,41.97,56766464,42.29
2025-05-13 17:51:51,0.252,41.97,56766464,42.29
2025-05-13 17:51:56,0.252,41.97,56766464,42.29
2025-05-13 17:52:01,0.196,32.75,56897536,42.39
2025-05-13 17:52:06,0.196,32.75,56897536,42.39
2025-05-13 17:52:12,0.196,32.75,56897536,42.39
2025-05-13 17:52:17,0.196,32.75,56897536,42.39
2025-05-13 17:52:22,0.196,32.75,56897536,42.39
2025-05-13 17:52:27,0.196,32.75,56897536,42.39
2025-05-13 17:52:32,0.167,27.76,56860672,42.36
2025-05-13 17:52:38,0.167,27.76,56860672,42.36
2025-05-13 17:52:43,0.167,27.76,56860672,42.36
2025-05-13 17:52:48,0.167,27.76,56860672,42.36
2025-05-13 17:52:53,0.167,27.76,56860672,42.36
2025-05-13 17:52:58,0.167,27.76,56958976,42.44
2025-05-13 17:53:04,0.162,26.92,56958976,42.44
2025-05-13 17:53:09,0.162,26.92,56958976,42.44
2025-05-13 17:53:14,0.162,26.92,56958976,42.44
2025-05-13 17:53:19,0.162,26.92,56958976,42.44
2025-05-13 17:53:24,0.162,26.92,56958976,42.44
2025-05-13 17:53:30,0.162,26.92,56516608,42.11
2025-05-13 17:53:35,0.115,19.16,56516608,42.11
