timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 19:12:06,0.369,61.54,54767616,40.81
2025-05-13 19:12:11,0.369,61.54,55877632,41.63
2025-05-13 19:12:16,0.369,61.54,55877632,41.63
2025-05-13 19:12:21,0.369,61.54,55877632,41.63
2025-05-13 19:12:26,0.369,61.54,55877632,41.63
2025-05-13 19:12:31,0.318,53.00,55877632,41.63
2025-05-13 19:12:37,0.318,53.00,55578624,41.41
2025-05-13 19:12:42,0.318,53.00,55578624,41.41
2025-05-13 19:12:47,0.318,53.00,55578624,41.41
2025-05-13 19:12:52,0.318,53.00,55578624,41.41
2025-05-13 19:12:57,0.318,53.00,55578624,41.41
2025-05-13 19:13:03,0.469,78.17,55578624,41.41
2025-05-13 19:13:08,0.469,78.17,57262080,42.66
2025-05-13 19:13:13,0.469,78.17,57262080,42.66
2025-05-13 19:13:18,0.469,78.17,57262080,42.66
2025-05-13 19:13:23,0.469,78.17,57262080,42.66
2025-05-13 19:13:28,0.469,78.17,57262080,42.66
2025-05-13 19:13:34,0.466,77.69,57262080,42.66
2025-05-13 19:13:39,0.466,77.69,57237504,42.65
2025-05-13 19:13:44,0.466,77.69,57237504,42.65
2025-05-13 19:13:49,0.466,77.69,57237504,42.65
2025-05-13 19:13:54,0.466,77.69,57237504,42.65
2025-05-13 19:13:59,0.466,77.69,57237504,42.65
2025-05-13 19:14:05,0.417,69.43,57237504,42.65
2025-05-13 19:14:10,0.417,69.43,57282560,42.68
2025-05-13 19:14:15,0.417,69.43,57282560,42.68
2025-05-13 19:14:20,0.417,69.43,57282560,42.68
2025-05-13 19:14:25,0.417,69.43,57282560,42.68
2025-05-13 19:14:30,0.369,61.46,57282560,42.68
2025-05-13 19:14:36,0.369,61.46,57282560,42.68
2025-05-13 19:14:41,0.369,61.46,57196544,42.61
2025-05-13 19:14:46,0.369,61.46,57196544,42.61
2025-05-13 19:14:51,0.369,61.46,57196544,42.61
2025-05-13 19:14:57,0.369,61.46,57196544,42.61
2025-05-13 19:15:02,0.367,61.13,57196544,42.61
2025-05-13 19:15:08,0.367,61.13,57192448,42.61
2025-05-13 19:15:13,0.367,61.13,57192448,42.61
2025-05-13 19:15:18,0.367,61.13,57192448,42.61
2025-05-13 19:15:23,0.367,61.13,57192448,42.61
2025-05-13 19:15:29,0.367,61.13,57192448,42.61
2025-05-13 19:15:34,0.437,72.86,57192448,42.61
2025-05-13 19:15:39,0.437,72.86,57458688,42.81
2025-05-13 19:15:44,0.437,72.86,57458688,42.81
2025-05-13 19:15:49,0.437,72.86,57458688,42.81
2025-05-13 19:15:55,0.437,72.86,57458688,42.81
2025-05-13 19:16:00,0.437,72.86,57458688,42.81
2025-05-13 19:16:05,0.208,34.69,57458688,42.81
2025-05-13 19:16:10,0.208,34.69,56995840,42.47
2025-05-13 19:16:15,0.208,34.69,56995840,42.47
2025-05-13 19:16:20,0.208,34.69,56995840,42.47
2025-05-13 19:16:26,0.208,34.69,56995840,42.47
2025-05-13 19:16:31,0.284,47.30,56995840,42.47
2025-05-13 19:16:36,0.284,47.30,56995840,42.47
2025-05-13 19:16:41,0.284,47.30,59731968,44.50
2025-05-13 19:16:46,0.284,47.30,59731968,44.50
2025-05-13 19:16:51,0.284,47.30,59731968,44.50
2025-05-13 19:16:56,0.284,47.30,59731968,44.50
2025-05-13 19:17:02,0.226,37.59,59731968,44.50
2025-05-13 19:17:07,0.226,37.59,59428864,44.28
2025-05-13 19:17:12,0.226,37.59,59428864,44.28
2025-05-13 19:17:17,0.226,37.59,59428864,44.28
2025-05-13 19:17:22,0.226,37.59,59428864,44.28
2025-05-13 19:17:27,0.226,37.59,59428864,44.28
2025-05-13 19:17:33,0.192,32.03,59428864,44.28
2025-05-13 19:17:38,0.192,32.03,59125760,44.05
2025-05-13 19:17:43,0.192,32.03,59125760,44.05
2025-05-13 19:17:48,0.192,32.03,59125760,44.05
2025-05-13 19:17:53,0.192,32.03,59125760,44.05
2025-05-13 19:17:58,0.192,32.03,59125760,44.05
2025-05-13 19:18:03,0.156,26.01,59125760,44.05
2025-05-13 19:18:09,0.156,26.01,58753024,43.77
2025-05-13 19:18:14,0.156,26.01,58753024,43.77
2025-05-13 19:18:19,0.156,26.01,58753024,43.77
2025-05-13 19:18:24,0.156,26.01,58753024,43.77
2025-05-13 19:18:29,0.156,26.01,58753024,43.77
2025-05-13 19:18:34,0.123,20.54,58753024,43.77
2025-05-13 19:18:39,0.123,20.54,58675200,43.72
