timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 18:10:04,0.264,43.98,55746560,41.53
2025-05-13 18:10:09,0.264,43.98,55746560,41.53
2025-05-13 18:10:14,0.264,43.98,55746560,41.53
2025-05-13 18:10:19,0.264,43.98,55746560,41.53
2025-05-13 18:10:24,0.264,43.98,55746560,41.53
2025-05-13 18:10:29,0.264,43.98,55746560,41.53
2025-05-13 18:10:35,0.310,51.63,57200640,42.62
2025-05-13 18:10:40,0.310,51.63,57200640,42.62
2025-05-13 18:10:45,0.310,51.63,57200640,42.62
2025-05-13 18:10:50,0.310,51.63,57200640,42.62
2025-05-13 18:10:55,0.310,51.63,57200640,42.62
2025-05-13 18:11:00,0.310,51.63,57200640,42.62
2025-05-13 18:11:05,0.453,75.46,57118720,42.56
2025-05-13 18:11:10,0.453,75.46,57118720,42.56
2025-05-13 18:11:16,0.453,75.46,57118720,42.56
2025-05-13 18:11:21,0.453,75.46,57118720,42.56
2025-05-13 18:11:26,0.453,75.46,57118720,42.56
2025-05-13 18:11:31,0.356,59.33,57118720,42.56
2025-05-13 18:11:36,0.356,59.33,58068992,43.26
2025-05-13 18:11:41,0.356,59.33,58068992,43.26
2025-05-13 18:11:46,0.356,59.33,58068992,43.26
2025-05-13 18:11:52,0.356,59.33,58068992,43.26
2025-05-13 18:11:57,0.356,59.33,58068992,43.26
2025-05-13 18:12:02,0.501,83.42,58068992,43.26
2025-05-13 18:12:07,0.501,83.42,58134528,43.31
2025-05-13 18:12:12,0.501,83.42,58134528,43.31
2025-05-13 18:12:17,0.501,83.42,58134528,43.31
2025-05-13 18:12:22,0.501,83.42,58134528,43.31
2025-05-13 18:12:28,0.501,83.42,58134528,43.31
2025-05-13 18:12:33,0.492,81.94,58134528,43.31
2025-05-13 18:12:38,0.492,81.94,58109952,43.30
2025-05-13 18:12:43,0.492,81.94,58109952,43.30
2025-05-13 18:12:48,0.492,81.94,58109952,43.30
2025-05-13 18:12:53,0.492,81.94,58109952,43.30
2025-05-13 18:12:58,0.492,81.94,58109952,43.30
2025-05-13 18:13:03,0.456,75.96,58122240,43.30
2025-05-13 18:13:09,0.456,75.96,58122240,43.30
2025-05-13 18:13:14,0.456,75.96,58122240,43.30
2025-05-13 18:13:19,0.456,75.96,58122240,43.30
2025-05-13 18:13:24,0.456,75.96,58122240,43.30
2025-05-13 18:13:29,0.456,75.96,58122240,43.30
2025-05-13 18:13:34,0.353,58.83,58159104,43.33
2025-05-13 18:13:39,0.353,58.83,58159104,43.33
2025-05-13 18:13:45,0.353,58.83,58159104,43.33
2025-05-13 18:13:50,0.353,58.83,58159104,43.33
2025-05-13 18:13:55,0.353,58.83,58159104,43.33
2025-05-13 18:14:00,0.353,58.83,58159104,43.33
2025-05-13 18:14:05,0.254,42.33,58265600,43.41
2025-05-13 18:14:10,0.254,42.33,58265600,43.41
2025-05-13 18:14:15,0.254,42.33,58265600,43.41
2025-05-13 18:14:21,0.254,42.33,58265600,43.41
2025-05-13 18:14:26,0.254,42.33,58265600,43.41
2025-05-13 18:14:31,0.477,79.49,58265600,43.41
2025-05-13 18:14:36,0.477,79.49,57913344,43.15
2025-05-13 18:14:41,0.477,79.49,57913344,43.15
2025-05-13 18:14:46,0.477,79.49,57913344,43.15
2025-05-13 18:14:51,0.477,79.49,57913344,43.15
2025-05-13 18:14:57,0.477,79.49,57913344,43.15
2025-05-13 18:15:02,0.353,58.84,57913344,43.15
2025-05-13 18:15:07,0.353,58.84,57868288,43.12
2025-05-13 18:15:12,0.353,58.84,57868288,43.12
2025-05-13 18:15:17,0.353,58.84,57868288,43.12
2025-05-13 18:15:22,0.353,58.84,57868288,43.12
2025-05-13 18:15:28,0.353,58.84,57868288,43.12
2025-05-13 18:15:33,0.324,53.95,57868288,43.12
2025-05-13 18:15:38,0.324,53.95,57753600,43.03
2025-05-13 18:15:43,0.324,53.95,57753600,43.03
2025-05-13 18:15:48,0.324,53.95,57753600,43.03
2025-05-13 18:15:53,0.324,53.95,57753600,43.03
2025-05-13 18:15:58,0.324,53.95,57753600,43.03
2025-05-13 18:16:04,0.318,52.93,57745408,43.02
2025-05-13 18:16:09,0.318,52.93,57745408,43.02
2025-05-13 18:16:14,0.318,52.93,57745408,43.02
2025-05-13 18:16:19,0.318,52.93,57745408,43.02
2025-05-13 18:16:24,0.318,52.93,57745408,43.02
2025-05-13 18:16:29,0.318,52.93,57745408,43.02
2025-05-13 18:16:35,0.230,38.32,57561088,42.89
2025-05-13 18:16:40,0.230,38.32,57561088,42.89
2025-05-13 18:16:45,0.230,38.32,57561088,42.89
2025-05-13 18:16:50,0.230,38.32,57561088,42.89
2025-05-13 18:16:55,0.230,38.32,57561088,42.89
2025-05-13 18:17:00,0.186,30.96,57561088,42.89
2025-05-13 18:17:06,0.186,30.96,57589760,42.91
2025-05-13 18:17:11,0.186,30.96,57589760,42.91
2025-05-13 18:17:16,0.186,30.96,57589760,42.91
2025-05-13 18:17:21,0.186,30.96,57589760,42.91
2025-05-13 18:17:26,0.186,30.96,57589760,42.91
2025-05-13 18:17:31,0.212,35.28,57589760,42.91
2025-05-13 18:17:37,0.212,35.28,57565184,42.89
2025-05-13 18:17:42,0.212,35.28,57565184,42.89
2025-05-13 18:17:47,0.212,35.28,57565184,42.89
2025-05-13 18:17:52,0.212,35.28,57565184,42.89
2025-05-13 18:17:57,0.212,35.28,57565184,42.89
2025-05-13 18:18:02,0.113,18.87,57565184,42.89
2025-05-13 18:18:08,0.113,18.87,57507840,42.85
2025-05-13 18:18:13,0.113,18.87,57507840,42.85
2025-05-13 18:18:18,0.113,18.87,57507840,42.85
2025-05-13 18:18:23,0.113,18.87,57507840,42.85
2025-05-13 18:18:28,0.113,18.87,57507840,42.85
2025-05-13 18:18:33,0.305,50.83,57618432,42.93
2025-05-13 18:18:39,0.305,50.83,57618432,42.93
