timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 18:10:04,0.243,40.52,61730816,45.99
2025-05-13 18:10:09,0.243,40.52,61730816,45.99
2025-05-13 18:10:14,0.243,40.52,61730816,45.99
2025-05-13 18:10:19,0.243,40.52,61730816,45.99
2025-05-13 18:10:24,0.243,40.52,61374464,45.73
2025-05-13 18:10:29,0.243,40.52,61374464,45.73
2025-05-13 18:10:35,0.127,21.17,61374464,45.73
2025-05-13 18:10:40,0.127,21.17,61374464,45.73
2025-05-13 18:10:45,0.127,21.17,61374464,45.73
2025-05-13 18:10:50,0.127,21.17,61374464,45.73
2025-05-13 18:10:55,0.127,21.17,61452288,45.79
2025-05-13 18:11:00,0.127,21.17,61452288,45.79
2025-05-13 18:11:05,0.155,25.88,61452288,45.79
2025-05-13 18:11:10,0.155,25.88,61452288,45.79
2025-05-13 18:11:16,0.155,25.88,61452288,45.79
2025-05-13 18:11:21,0.155,25.88,61452288,45.79
2025-05-13 18:11:26,0.155,25.88,61562880,45.87
2025-05-13 18:11:31,0.166,27.61,61562880,45.87
2025-05-13 18:11:36,0.166,27.61,61562880,45.87
2025-05-13 18:11:41,0.166,27.61,61562880,45.87
2025-05-13 18:11:46,0.166,27.61,61562880,45.87
2025-05-13 18:11:52,0.166,27.61,61562880,45.87
2025-05-13 18:11:57,0.166,27.61,61366272,45.72
2025-05-13 18:12:02,0.195,32.49,61366272,45.72
2025-05-13 18:12:07,0.195,32.49,61366272,45.72
2025-05-13 18:12:12,0.195,32.49,61366272,45.72
2025-05-13 18:12:17,0.195,32.49,61366272,45.72
2025-05-13 18:12:22,0.195,32.49,61366272,45.72
2025-05-13 18:12:28,0.195,32.49,61427712,45.77
2025-05-13 18:12:33,0.126,21.05,61427712,45.77
2025-05-13 18:12:38,0.126,21.05,61427712,45.77
2025-05-13 18:12:43,0.126,21.05,61427712,45.77
2025-05-13 18:12:48,0.126,21.05,61427712,45.77
2025-05-13 18:12:53,0.126,21.05,61464576,45.79
2025-05-13 18:12:58,0.126,21.05,61464576,45.79
2025-05-13 18:13:03,0.164,27.36,61464576,45.79
2025-05-13 18:13:09,0.164,27.36,61464576,45.79
2025-05-13 18:13:14,0.164,27.36,61464576,45.79
2025-05-13 18:13:19,0.164,27.36,61464576,45.79
2025-05-13 18:13:24,0.164,27.36,61493248,45.82
2025-05-13 18:13:29,0.164,27.36,61493248,45.82
2025-05-13 18:13:34,0.159,26.51,61493248,45.82
2025-05-13 18:13:39,0.159,26.51,61493248,45.82
2025-05-13 18:13:45,0.159,26.51,61493248,45.82
2025-05-13 18:13:50,0.159,26.51,61493248,45.82
2025-05-13 18:13:55,0.159,26.51,61046784,45.48
2025-05-13 18:14:00,0.159,26.51,61046784,45.48
2025-05-13 18:14:05,0.176,29.32,61046784,45.48
2025-05-13 18:14:10,0.176,29.32,61046784,45.48
2025-05-13 18:14:15,0.176,29.32,61046784,45.48
2025-05-13 18:14:21,0.176,29.32,61046784,45.48
2025-05-13 18:14:26,0.176,29.32,61353984,45.71
2025-05-13 18:14:31,0.193,32.20,61353984,45.71
2025-05-13 18:14:36,0.193,32.20,61353984,45.71
2025-05-13 18:14:41,0.193,32.20,61353984,45.71
2025-05-13 18:14:46,0.193,32.20,61353984,45.71
2025-05-13 18:14:51,0.193,32.20,61353984,45.71
2025-05-13 18:14:57,0.193,32.20,60768256,45.28
2025-05-13 18:15:02,0.307,51.10,60768256,45.28
2025-05-13 18:15:07,0.307,51.10,60768256,45.28
2025-05-13 18:15:12,0.307,51.10,60768256,45.28
2025-05-13 18:15:17,0.307,51.10,60768256,45.28
2025-05-13 18:15:22,0.307,51.10,60768256,45.28
2025-05-13 18:15:28,0.307,51.10,61005824,45.45
2025-05-13 18:15:33,0.211,35.25,61005824,45.45
2025-05-13 18:15:38,0.211,35.25,61005824,45.45
2025-05-13 18:15:43,0.211,35.25,61005824,45.45
2025-05-13 18:15:48,0.211,35.25,61005824,45.45
2025-05-13 18:15:53,0.211,35.25,61075456,45.50
2025-05-13 18:15:58,0.211,35.25,61075456,45.50
2025-05-13 18:16:04,0.430,71.65,61075456,45.50
2025-05-13 18:16:09,0.430,71.65,61075456,45.50
2025-05-13 18:16:14,0.430,71.65,61075456,45.50
2025-05-13 18:16:19,0.430,71.65,61075456,45.50
2025-05-13 18:16:24,0.430,71.65,60694528,45.22
2025-05-13 18:16:29,0.430,71.65,60694528,45.22
2025-05-13 18:16:35,0.089,14.84,60694528,45.22
2025-05-13 18:16:40,0.089,14.84,60694528,45.22
2025-05-13 18:16:45,0.089,14.84,60694528,45.22
2025-05-13 18:16:50,0.089,14.84,60694528,45.22
2025-05-13 18:16:55,0.089,14.84,60141568,44.81
2025-05-13 18:17:00,0.178,29.59,60141568,44.81
2025-05-13 18:17:06,0.178,29.59,60141568,44.81
2025-05-13 18:17:11,0.178,29.59,60141568,44.81
2025-05-13 18:17:16,0.178,29.59,60141568,44.81
2025-05-13 18:17:21,0.178,29.59,60141568,44.81
2025-05-13 18:17:26,0.178,29.59,59858944,44.60
2025-05-13 18:17:31,0.159,26.51,59858944,44.60
2025-05-13 18:17:37,0.159,26.51,59858944,44.60
2025-05-13 18:17:42,0.159,26.51,59858944,44.60
2025-05-13 18:17:47,0.159,26.51,59858944,44.60
2025-05-13 18:17:52,0.159,26.51,59858944,44.60
2025-05-13 18:17:57,0.159,26.51,60198912,44.85
2025-05-13 18:18:02,0.233,38.88,60198912,44.85
2025-05-13 18:18:08,0.233,38.88,60198912,44.85
2025-05-13 18:18:13,0.233,38.88,60198912,44.85
2025-05-13 18:18:18,0.233,38.88,60198912,44.85
2025-05-13 18:18:23,0.233,38.88,60211200,44.86
2025-05-13 18:18:28,0.233,38.88,60211200,44.86
2025-05-13 18:18:33,0.247,41.11,60211200,44.86
2025-05-13 18:18:39,0.247,41.11,60211200,44.86
2025-05-13 18:18:44,0.247,41.11,60211200,44.86
2025-05-13 18:18:49,0.247,41.11,60211200,44.86
2025-05-13 18:18:54,0.247,41.11,60338176,44.96
2025-05-13 18:18:59,0.247,41.11,60338176,44.96
2025-05-13 18:19:04,0.175,29.13,60338176,44.96
2025-05-13 18:19:09,0.175,29.13,60338176,44.96
2025-05-13 18:19:15,0.175,29.13,60338176,44.96
2025-05-13 18:19:20,0.175,29.13,60338176,44.96
2025-05-13 18:19:25,0.175,29.13,60624896,45.17
2025-05-13 18:19:30,0.175,29.13,60624896,45.17
2025-05-13 18:19:35,0.247,41.15,60624896,45.17
2025-05-13 18:19:40,0.247,41.15,60624896,45.17
2025-05-13 18:19:46,0.247,41.15,60624896,45.17
2025-05-13 18:19:51,0.247,41.15,60624896,45.17
