timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 18:12:02,0.237,39.48,57380864,42.75
2025-05-13 18:12:07,0.237,39.48,57380864,42.75
2025-05-13 18:12:12,0.237,39.48,59293696,44.18
2025-05-13 18:12:17,0.237,39.48,59293696,44.18
2025-05-13 18:12:22,0.237,39.48,59293696,44.18
2025-05-13 18:12:28,0.237,39.48,59293696,44.18
2025-05-13 18:12:33,0.333,55.55,59293696,44.18
2025-05-13 18:12:38,0.333,55.55,59133952,44.06
2025-05-13 18:12:43,0.333,55.55,59133952,44.06
2025-05-13 18:12:48,0.333,55.55,59133952,44.06
2025-05-13 18:12:53,0.333,55.55,59133952,44.06
2025-05-13 18:12:58,0.333,55.55,59133952,44.06
2025-05-13 18:13:03,0.298,49.75,59133952,44.06
2025-05-13 18:13:09,0.298,49.75,59174912,44.09
2025-05-13 18:13:14,0.298,49.75,59174912,44.09
2025-05-13 18:13:19,0.298,49.75,59174912,44.09
2025-05-13 18:13:24,0.298,49.75,59174912,44.09
2025-05-13 18:13:29,0.298,49.75,59174912,44.09
2025-05-13 18:13:34,0.392,65.32,59174912,44.09
2025-05-13 18:13:39,0.392,65.32,60203008,44.85
2025-05-13 18:13:45,0.392,65.32,60203008,44.85
2025-05-13 18:13:50,0.392,65.32,60203008,44.85
2025-05-13 18:13:55,0.392,65.32,60203008,44.85
2025-05-13 18:14:00,0.392,65.32,60203008,44.85
2025-05-13 18:14:05,0.249,41.48,60203008,44.85
2025-05-13 18:14:10,0.249,41.48,59265024,44.16
2025-05-13 18:14:15,0.249,41.48,59265024,44.16
2025-05-13 18:14:21,0.249,41.48,59265024,44.16
2025-05-13 18:14:26,0.249,41.48,59265024,44.16
2025-05-13 18:14:31,0.284,47.30,59265024,44.16
2025-05-13 18:14:36,0.284,47.30,59265024,44.16
2025-05-13 18:14:41,0.284,47.30,59408384,44.26
2025-05-13 18:14:46,0.284,47.30,59408384,44.26
2025-05-13 18:14:51,0.284,47.30,59408384,44.26
2025-05-13 18:14:57,0.284,47.30,59408384,44.26
2025-05-13 18:15:02,0.266,44.28,59408384,44.26
2025-05-13 18:15:07,0.266,44.28,59408384,44.26
2025-05-13 18:15:12,0.266,44.28,58884096,43.87
2025-05-13 18:15:17,0.266,44.28,58884096,43.87
2025-05-13 18:15:22,0.266,44.28,58884096,43.87
2025-05-13 18:15:28,0.266,44.28,58884096,43.87
2025-05-13 18:15:33,0.221,36.85,58884096,43.87
2025-05-13 18:15:38,0.221,36.85,58753024,43.77
2025-05-13 18:15:43,0.221,36.85,58753024,43.77
2025-05-13 18:15:48,0.221,36.85,58753024,43.77
