timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-13 19:00:04,0.243,40.57,56930304,42.42
2025-05-13 19:00:09,0.243,40.57,56930304,42.42
2025-05-13 19:00:14,0.243,40.57,56930304,42.42
2025-05-13 19:00:19,0.243,40.57,56930304,42.42
2025-05-13 19:00:24,0.243,40.57,56930304,42.42
2025-05-13 19:00:30,0.243,40.57,56930304,42.42
2025-05-13 19:00:35,0.346,57.65,57147392,42.58
2025-05-13 19:00:40,0.346,57.65,57147392,42.58
2025-05-13 19:00:45,0.346,57.65,57147392,42.58
2025-05-13 19:00:50,0.346,57.65,57147392,42.58
2025-05-13 19:00:55,0.346,57.65,57147392,42.58
2025-05-13 19:01:00,0.346,57.65,57147392,42.58
2025-05-13 19:01:05,0.476,79.41,57647104,42.95
2025-05-13 19:01:11,0.476,79.41,57647104,42.95
2025-05-13 19:01:16,0.476,79.41,57647104,42.95
2025-05-13 19:01:21,0.476,79.41,57647104,42.95
2025-05-13 19:01:26,0.476,79.41,57647104,42.95
2025-05-13 19:01:31,0.456,76.06,57647104,42.95
2025-05-13 19:01:36,0.456,76.06,58073088,43.27
2025-05-13 19:01:41,0.456,76.06,58073088,43.27
2025-05-13 19:01:47,0.456,76.06,58073088,43.27
2025-05-13 19:01:52,0.456,76.06,58073088,43.27
2025-05-13 19:01:57,0.456,76.06,58073088,43.27
2025-05-13 19:02:02,0.533,88.78,58073088,43.27
2025-05-13 19:02:07,0.533,88.78,59187200,44.10
2025-05-13 19:02:12,0.533,88.78,59187200,44.10
2025-05-13 19:02:18,0.533,88.78,59187200,44.10
2025-05-13 19:02:23,0.533,88.78,59187200,44.10
2025-05-13 19:02:28,0.533,88.78,59187200,44.10
2025-05-13 19:02:33,0.513,85.52,58810368,43.82
2025-05-13 19:02:38,0.513,85.52,58810368,43.82
2025-05-13 19:02:43,0.513,85.52,58810368,43.82
2025-05-13 19:02:48,0.513,85.52,58810368,43.82
2025-05-13 19:02:54,0.513,85.52,58810368,43.82
2025-05-13 19:02:59,0.513,85.52,58810368,43.82
2025-05-13 19:03:04,0.446,74.27,58208256,43.37
2025-05-13 19:03:09,0.446,74.27,58208256,43.37
2025-05-13 19:03:14,0.446,74.27,58208256,43.37
2025-05-13 19:03:19,0.446,74.27,58208256,43.37
