timestamp,non2xx_count,non2xx_percent,total_requests,slow_count_50ms,slow_percent_50ms,slow_count_100ms,slow_percent_100ms,slow_count_200ms,slow_percent_200ms
2025-05-13 17:13:12,63342,79.11,80068,8267,10.33,6858,8.57,4065,5.08
2025-05-13 17:13:18,78743,79.08,99574,9927,9.97,8108,8.14,4671,4.69
2025-05-13 17:13:23,94163,79.07,119084,11591,9.73,9365,7.86,5280,4.43
2025-05-13 17:13:28,106409,78.69,135218,20690,15.30,19259,14.24,12056,8.92
2025-05-13 17:13:33,121319,78.68,154192,23532,15.26,21881,14.19,13640,8.85
2025-05-13 17:13:38,136241,78.68,173166,26379,15.23,24515,14.16,15233,8.80
2025-05-13 17:13:43,149752,73.14,204740,31383,15.33,25610,12.51,13716,6.70
2025-05-13 17:13:48,164506,72.67,226389,34452,15.22,28069,12.40,14969,6.61
2025-05-13 17:13:53,172925,72.00,240171,36035,15.00,28840,12.01,14684,6.11
2025-05-13 17:13:59,173522,71.51,242650,40908,16.86,30250,12.47,12861,5.30
2025-05-13 17:14:04,173522,70.73,245321,40911,16.68,30250,12.33,12861,5.24
2025-05-13 17:14:09,173522,69.97,247995,40914,16.50,30250,12.20,12861,5.19
2025-05-13 17:14:14,162458,67.60,240331,46109,19.19,34509,14.36,20384,8.48
2025-05-13 17:14:19,163830,67.08,244233,46869,19.19,35192,14.41,20861,8.54
2025-05-13 17:14:24,180473,67.91,265753,47760,17.97,35847,13.49,21638,8.14
2025-05-13 17:14:29,161144,65.37,246519,37314,15.14,29236,11.86,20317,8.24
2025-05-13 17:14:34,164679,65.86,250053,38438,15.37,30348,12.14,21413,8.56
2025-05-13 17:14:40,177930,66.08,269281,35851,13.31,27909,10.36,19616,7.28
2025-05-13 17:14:45,156901,63.17,248385,28172,11.34,24038,9.68,20862,8.40
2025-05-13 17:14:50,162673,64.01,254151,28172,11.08,24038,9.46,20862,8.21
2025-05-13 17:14:55,171493,64.64,265295,19462,7.34,16026,6.04,15273,5.76
2025-05-13 17:15:00,179808,65.16,275933,7034,2.55,2892,1.05,2430,0.88
2025-05-13 17:15:05,179808,65.16,275933,7034,2.55,2892,1.05,2430,0.88
2025-05-13 17:15:10,181236,65.29,277584,4425,1.59,312,0.11,212,0.08
2025-05-13 17:15:15,180857,65.34,276785,5328,1.92,106,0.04,0,0.00
2025-05-13 17:15:21,180857,65.34,276785,5328,1.92,106,0.04,0,0.00
2025-05-13 17:15:26,181174,65.39,277064,6826,2.46,194,0.07,0,0.00
2025-05-13 17:15:31,180381,65.27,276361,8966,3.24,826,0.30,0,0.00
2025-05-13 17:15:36,180381,65.27,276361,8966,3.24,826,0.30,0,0.00
2025-05-13 17:15:41,178186,64.99,274158,11206,4.09,1222,0.45,0,0.00
2025-05-13 17:15:46,177416,64.88,273470,10102,3.69,900,0.33,0,0.00
2025-05-13 17:15:51,177416,64.88,273470,10102,3.69,900,0.33,0,0.00
2025-05-13 17:15:56,173185,64.30,269337,9177,3.41,793,0.29,0,0.00
2025-05-13 17:16:02,173185,64.30,269337,9177,3.41,793,0.29,0,0.00
2025-05-13 17:16:07,173185,64.30,269337,9177,3.41,793,0.29,0,0.00
2025-05-13 17:16:12,166786,63.44,262890,5476,2.08,73,0.03,0,0.00
2025-05-13 17:16:17,166786,63.44,262890,5476,2.08,73,0.03,0,0.00
2025-05-13 17:16:22,166786,63.44,262890,5476,2.08,73,0.03,0,0.00
2025-05-13 17:16:27,158006,62.24,253872,3842,1.51,0,0.00,0,0.00
2025-05-13 17:16:32,158006,62.24,253872,3842,1.51,0,0.00,0,0.00
2025-05-13 17:16:37,158006,62.24,253872,3842,1.51,0,0.00,0,0.00
2025-05-13 17:16:43,148196,60.69,244192,2154,0.88,0,0.00,0,0.00
2025-05-13 17:16:48,148196,60.69,244191,2154,0.88,0,0.00,0,0.00
2025-05-13 17:16:53,148196,60.69,244191,2154,0.88,0,0.00,0,0.00
2025-05-13 17:16:58,136270,58.69,232188,1293,0.56,0,0.00,0,0.00
2025-05-13 17:17:03,136270,58.69,232188,1293,0.56,0,0.00,0,0.00
2025-05-13 17:17:08,136270,58.69,232188,1293,0.56,0,0.00,0,0.00
2025-05-13 17:17:13,124042,56.34,220170,648,0.29,0,0.00,0,0.00
2025-05-13 17:17:19,124042,56.34,220170,648,0.29,0,0.00,0,0.00
2025-05-13 17:17:24,120854,55.71,216943,622,0.29,0,0.00,0,0.00
2025-05-13 17:17:29,110159,53.44,206128,329,0.16,0,0.00,0,0.00
2025-05-13 17:17:34,110159,53.44,206128,329,0.16,0,0.00,0,0.00
2025-05-13 17:17:39,103578,51.90,199585,321,0.16,0,0.00,0,0.00
2025-05-13 17:17:44,95846,49.96,191842,182,0.10,0,0.00,0,0.00
2025-05-13 17:17:49,95846,49.96,191842,182,0.10,0,0.00,0,0.00
2025-05-13 17:17:54,89305,48.20,185270,169,0.09,0,0.00,0,0.00
2025-05-13 17:18:00,81322,45.86,177340,169,0.10,0,0.00,0,0.00
2025-05-13 17:18:05,81322,45.86,177340,169,0.10,0,0.00,0,0.00
2025-05-13 17:18:10,74280,43.62,170276,169,0.10,0,0.00,0,0.00
2025-05-13 17:18:15,67077,41.12,163112,90,0.06,0,0.00,0,0.00
2025-05-13 17:18:20,67077,41.12,163112,90,0.06,0,0.00,0,0.00
2025-05-13 17:18:25,60459,38.62,156569,90,0.06,0,0.00,0,0.00
2025-05-13 17:18:30,53701,35.84,149828,44,0.03,0,0.00,0,0.00
2025-05-13 17:18:35,53701,35.84,149828,44,0.03,0,0.00,0,0.00
2025-05-13 17:18:41,47010,32.89,142920,44,0.03,0,0.00,0,0.00
2025-05-13 17:18:46,41030,29.98,136853,8,0.01,0,0.00,0,0.00
2025-05-13 17:18:51,41030,29.98,136853,8,0.01,0,0.00,0,0.00
2025-05-13 17:18:56,32643,25.40,128497,10,0.01,0,0.00,0,0.00
2025-05-13 17:19:01,29859,23.77,125620,6,0.01,0,0.00,0,0.00
2025-05-13 17:19:06,29859,23.77,125620,6,0.01,0,0.00,0,0.00
2025-05-13 17:19:11,20626,17.85,115576,6,0.01,0,0.00,0,0.00
2025-05-13 17:19:16,20626,17.85,115576,6,0.01,0,0.00,0,0.00
2025-05-13 17:19:22,20626,17.85,115576,6,0.01,0,0.00,0,0.00
2025-05-13 17:19:27,14074,13.08,107565,0,0.00,0,0.00,0,0.00
2025-05-13 17:19:32,14074,13.08,107565,0,0.00,0,0.00,0,0.00
2025-05-13 17:19:37,14074,13.08,107565,0,0.00,0,0.00,0,0.00
2025-05-13 17:19:42,9970,9.83,101420,0,0.00,0,0.00,0,0.00
2025-05-13 17:19:47,9970,9.83,101420,0,0.00,0,0.00,0,0.00
2025-05-13 17:19:52,9970,9.83,101420,0,0.00,0,0.00,0,0.00
2025-05-13 17:19:57,7604,7.80,97485,0,0.00,0,0.00,0,0.00
2025-05-13 17:20:03,7604,7.80,97485,0,0.00,0,0.00,0,0.00
2025-05-13 17:20:08,7604,7.80,97485,0,0.00,0,0.00,0,0.00
2025-05-13 17:20:13,6498,6.79,95720,0,0.00,0,0.00,0,0.00
2025-05-13 17:20:18,6498,6.79,95720,0,0.00,0,0.00,0,0.00
2025-05-13 17:20:23,6498,6.79,95720,0,0.00,0,0.00,0,0.00
2025-05-13 17:20:28,6701,6.97,96202,0,0.00,0,0.00,0,0.00
2025-05-13 17:20:33,6701,6.97,96202,0,0.00,0,0.00,0,0.00
2025-05-13 17:20:38,6701,6.97,96202,0,0.00,0,0.00,0,0.00
2025-05-13 17:20:44,8358,8.44,99062,0,0.00,0,0.00,0,0.00
2025-05-13 17:20:49,8358,8.44,99062,0,0.00,0,0.00,0,0.00
2025-05-13 17:20:54,8358,8.29,100886,0,0.00,0,0.00,0,0.00
