timestamp,cpu_usage(core),cpu_capacity(core),cpu_util_percent,memory_usage_bytes,memory_total_bytes,memory_util_percent
2025-05-14 04:19:29,0.555,2.0,91.7,876535808,4102348800,21.4
2025-05-14 04:19:34,0.673,2.0,89.9,876535808,4102348800,21.4
2025-05-14 04:19:40,0.792,2.0,88.1,876535808,4102348800,21.4
2025-05-14 04:19:45,0.642,2.0,70.4,906153984,4102348800,22.1
2025-05-14 04:19:50,0.726,2.0,66.6,906153984,4102348800,22.1
2025-05-14 04:19:55,0.810,2.0,62.7,906153984,4102348800,22.1
2025-05-14 04:20:00,1.036,2.0,55.4,3041816576,4102348800,74.1
2025-05-14 04:20:05,1.036,2.0,55.4,3041816576,4102348800,74.1
2025-05-14 04:20:10,1.036,2.0,55.4,3041816576,4102348800,74.1
2025-05-14 04:20:15,0.946,2.0,48.1,3058298880,4102348800,74.5
2025-05-14 04:20:20,0.946,2.0,48.1,3058298880,4102348800,74.5
2025-05-14 04:20:25,0.946,2.0,48.1,3058298880,4102348800,74.5
2025-05-14 04:20:30,1.136,2.0,57.3,3053600768,4102348800,74.4
2025-05-14 04:20:36,1.136,2.0,57.3,3053600768,4102348800,74.4
2025-05-14 04:20:41,1.136,2.0,57.3,3053600768,4102348800,74.4
2025-05-14 04:20:46,1.154,2.0,58.3,913051648,4102348800,22.3
2025-05-14 04:20:51,1.154,2.0,58.3,913051648,4102348800,22.3
2025-05-14 04:20:56,1.154,2.0,58.3,913051648,4102348800,22.3
2025-05-14 04:21:01,0.950,2.0,48.1,3068583936,4102348800,74.8
2025-05-14 04:21:06,0.950,2.0,48.1,3068583936,4102348800,74.8
2025-05-14 04:21:11,0.950,2.0,48.1,3068583936,4102348800,74.8
2025-05-14 04:21:16,1.111,2.0,56.1,3087495168,4102348800,75.3
2025-05-14 04:21:21,1.111,2.0,56.1,3087495168,4102348800,75.3
2025-05-14 04:21:27,1.111,2.0,56.1,3087495168,4102348800,75.3
2025-05-14 04:21:32,1.238,2.0,60.9,3069857792,4102348800,74.8
2025-05-14 04:21:37,1.238,2.0,60.9,3069857792,4102348800,74.8
2025-05-14 04:21:42,1.238,2.0,60.9,3069857792,4102348800,74.8
2025-05-14 04:21:47,1.451,2.0,73.0,1234300928,4102348800,30.1
2025-05-14 04:21:52,1.451,2.0,73.0,1234300928,4102348800,30.1
2025-05-14 04:21:57,1.451,2.0,73.0,1234300928,4102348800,30.1
2025-05-14 04:22:02,1.428,2.0,71.9,3065921536,4102348800,74.7
2025-05-14 04:22:08,1.428,2.0,71.9,3065921536,4102348800,74.7
2025-05-14 04:22:13,1.428,2.0,71.9,3065921536,4102348800,74.7
2025-05-14 04:22:18,1.306,2.0,67.2,3079880704,4102348800,75.1
2025-05-14 04:22:23,1.306,2.0,67.2,3079880704,4102348800,75.1
2025-05-14 04:22:28,1.379,2.0,69.5,3079880704,4102348800,75.1
2025-05-14 04:22:34,1.388,2.0,70.0,902721536,4102348800,22.0
2025-05-14 04:22:39,1.388,2.0,70.0,902721536,4102348800,22.0
2025-05-14 04:22:44,1.328,2.0,67.0,3046567936,4102348800,74.3
2025-05-14 04:22:49,1.328,2.0,67.0,3046567936,4102348800,74.3
2025-05-14 04:22:54,1.328,2.0,67.0,3046567936,4102348800,74.3
2025-05-14 04:23:00,1.223,2.0,61.8,902086656,4102348800,22.0
2025-05-14 04:23:05,1.223,2.0,61.8,902086656,4102348800,22.0
2025-05-14 04:23:10,1.223,2.0,61.8,902086656,4102348800,22.0
2025-05-14 04:23:15,0.927,2.0,47.0,3043340288,4102348800,74.2
2025-05-14 04:23:21,0.927,2.0,47.0,3043340288,4102348800,74.2
