timestamp,action,pod
2025-05-14 05:41:25,ADD,step-load-7d6dd98f99-5qgpc
2025-05-14 05:41:40,ADD,mbw-ptcxm
2025-05-14 05:41:46,ADD,nginx-7b6d77bd77-bwxvp
2025-05-14 05:51:45,DEL,mbw-ptcxm
2025-05-14 05:54:14,ADD,mbw-ntpp4
2025-05-14 06:04:18,DEL,mbw-ntpp4
2025-05-14 06:05:05,ADD,mbw-8vwq8
2025-05-14 06:15:10,DEL,mbw-8vwq8
2025-05-14 06:17:44,ADD,mbw-b9jdq
2025-05-14 06:27:49,DEL,mbw-b9jdq
2025-05-14 06:29:06,ADD,mbw-68zsv
2025-05-14 06:39:08,DEL,mbw-68zsv
2025-05-14 06:41:57,DEL,nginx-7b6d77bd77-bwxvp
2025-05-14 06:41:57,DEL,step-load-7d6dd98f99-5qgpc
