timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 05:03:03,0.915,91.49,2183794688,86.78
2025-05-14 05:03:08,0.915,91.49,2183794688,86.78
2025-05-14 05:03:13,0.915,91.49,32923648,1.31
2025-05-14 05:03:19,0.915,91.49,32923648,1.31
2025-05-14 05:03:24,0.915,91.49,32923648,1.31
2025-05-14 05:03:29,0.915,91.49,32923648,1.31
2025-05-14 05:03:34,0.564,56.43,32923648,1.31
2025-05-14 05:03:39,0.564,56.43,2185089024,86.83
2025-05-14 05:03:45,0.564,56.43,2185089024,86.83
2025-05-14 05:03:50,0.564,56.43,2185089024,86.83
2025-05-14 05:03:55,0.564,56.43,2185089024,86.83
2025-05-14 05:04:00,0.564,56.43,2185089024,86.83
2025-05-14 05:04:05,0.628,62.77,2185089024,86.83
2025-05-14 05:04:11,0.628,62.77,2185084928,86.83
2025-05-14 05:04:16,0.628,62.77,2185084928,86.83
2025-05-14 05:04:21,0.628,62.77,2185084928,86.83
2025-05-14 05:04:26,0.628,62.77,2185084928,86.83
2025-05-14 05:04:31,0.639,63.85,2185084928,86.83
2025-05-14 05:04:37,0.639,63.85,2185084928,86.83
2025-05-14 05:04:42,0.639,63.85,30347264,1.21
2025-05-14 05:04:47,0.639,63.85,30347264,1.21
2025-05-14 05:04:52,0.639,63.85,30347264,1.21
2025-05-14 05:04:57,0.639,63.85,30347264,1.21
2025-05-14 05:05:03,0.797,79.72,30347264,1.21
2025-05-14 05:05:08,0.797,79.72,30347264,1.21
2025-05-14 05:05:13,0.797,79.72,2182586368,86.73
2025-05-14 05:05:18,0.797,79.72,2182586368,86.73
2025-05-14 05:05:23,0.797,79.72,2182586368,86.73
2025-05-14 05:05:29,0.797,79.72,2182586368,86.73
2025-05-14 05:05:34,0.487,48.67,2182586368,86.73
2025-05-14 05:05:39,0.487,48.67,33538048,1.33
2025-05-14 05:05:44,0.487,48.67,33538048,1.33
2025-05-14 05:05:49,0.487,48.67,33538048,1.33
2025-05-14 05:05:55,0.487,48.67,33538048,1.33
2025-05-14 05:06:00,0.487,48.67,33538048,1.33
2025-05-14 05:06:05,1.002,100.19,33538048,1.33
2025-05-14 05:06:10,1.002,100.19,2186174464,86.87
2025-05-14 05:06:16,1.002,100.19,2186174464,86.87
2025-05-14 05:06:21,1.002,100.19,2186174464,86.87
2025-05-14 05:06:26,1.002,100.19,2186174464,86.87
2025-05-14 05:06:31,0.389,38.93,2186174464,86.87
2025-05-14 05:06:36,0.389,38.93,2186174464,86.87
2025-05-14 05:06:41,0.389,38.93,34074624,1.35
2025-05-14 05:06:47,0.389,38.93,34074624,1.35
2025-05-14 05:06:52,0.389,38.93,34074624,1.35
2025-05-14 05:06:57,0.389,38.93,34074624,1.35
2025-05-14 05:07:02,0.968,96.78,34074624,1.35
2025-05-14 05:07:07,0.968,96.78,34074624,1.35
2025-05-14 05:07:13,0.968,96.78,37871616,1.50
2025-05-14 05:07:18,0.968,96.78,37871616,1.50
2025-05-14 05:07:23,0.968,96.78,37871616,1.50
2025-05-14 05:07:28,0.968,96.78,37871616,1.50
2025-05-14 05:07:33,0.683,68.28,37871616,1.50
2025-05-14 05:07:39,0.683,68.28,44146688,1.75
2025-05-14 05:07:44,0.683,68.28,44146688,1.75
2025-05-14 05:07:49,0.683,68.28,44146688,1.75
2025-05-14 05:07:54,0.683,68.28,44146688,1.75
2025-05-14 05:07:59,0.683,68.28,44146688,1.75
2025-05-14 05:08:05,0.506,50.56,44146688,1.75
2025-05-14 05:08:10,0.506,50.56,44281856,1.76
2025-05-14 05:08:15,0.506,50.56,44281856,1.76
2025-05-14 05:08:20,0.506,50.56,44281856,1.76
2025-05-14 05:08:26,0.506,50.56,44281856,1.76
2025-05-14 05:08:31,0.969,96.89,44281856,1.76
2025-05-14 05:08:36,0.969,96.89,44281856,1.76
2025-05-14 05:08:41,0.969,96.89,2198818816,87.37
2025-05-14 05:08:47,0.969,96.89,2198818816,87.37
2025-05-14 05:08:52,0.969,96.89,2198818816,87.37
2025-05-14 05:08:57,0.969,96.89,2198818816,87.37
2025-05-14 05:09:02,0.542,54.18,2198818816,87.37
2025-05-14 05:09:07,0.542,54.18,2198818816,87.37
2025-05-14 05:09:13,0.542,54.18,2198798336,87.37
2025-05-14 05:09:18,0.542,54.18,2198798336,87.37
2025-05-14 05:09:23,0.542,54.18,2198798336,87.37
2025-05-14 05:09:29,0.542,54.18,2198798336,87.37
2025-05-14 05:09:34,0.746,74.58,2198798336,87.37
2025-05-14 05:09:39,0.746,74.58,2198798336,87.37
2025-05-14 05:09:45,0.746,74.58,2198798336,87.37
2025-05-14 05:09:50,0.746,74.58,2198798336,87.37
2025-05-14 05:09:55,0.746,74.58,2198798336,87.37
2025-05-14 05:10:00,0.949,94.94,2198798336,87.37
2025-05-14 05:10:06,0.949,94.94,2198798336,87.37
2025-05-14 05:10:11,0.949,94.94,44027904,1.75
2025-05-14 05:10:16,0.949,94.94,44027904,1.75
2025-05-14 05:10:21,0.949,94.94,44027904,1.75
2025-05-14 05:10:27,0.949,94.94,44027904,1.75
2025-05-14 05:10:32,0.449,44.86,44027904,1.75
2025-05-14 05:10:37,0.449,44.86,44027904,1.75
2025-05-14 05:10:42,0.449,44.86,2196295680,87.27
2025-05-14 05:10:48,0.449,44.86,2196295680,87.27
2025-05-14 05:10:53,0.449,44.86,2196295680,87.27
2025-05-14 05:10:58,0.449,44.86,2196295680,87.27
2025-05-14 05:11:03,0.786,78.63,2196295680,87.27
2025-05-14 05:11:08,0.786,78.63,2196283392,87.27
2025-05-14 05:11:14,0.786,78.63,2196283392,87.27
2025-05-14 05:11:19,0.786,78.63,2196283392,87.27
2025-05-14 05:11:24,0.786,78.63,2196283392,87.27
2025-05-14 05:11:30,0.786,78.63,2196283392,87.27
2025-05-14 05:11:35,0.437,43.69,2196283392,87.27
2025-05-14 05:11:40,0.437,43.69,2198814720,87.37
2025-05-14 05:11:45,0.437,43.69,2198814720,87.37
2025-05-14 05:11:50,0.437,43.69,2198814720,87.37
2025-05-14 05:11:55,0.437,43.69,2198814720,87.37
