timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 06:06:02,0.179,17.90,2184720384,86.81
2025-05-14 06:06:07,0.179,17.90,2184720384,86.81
2025-05-14 06:06:12,0.179,17.90,2184708096,86.81
2025-05-14 06:06:17,0.179,17.90,2184708096,86.81
2025-05-14 06:06:23,0.179,17.90,2184708096,86.81
2025-05-14 06:06:28,0.179,17.90,2184708096,86.81
2025-05-14 06:06:33,1.067,106.70,2184708096,86.81
2025-05-14 06:06:38,1.067,106.70,2184708096,86.81
2025-05-14 06:06:43,1.067,106.70,32587776,1.29
2025-05-14 06:06:49,1.067,106.70,32587776,1.29
2025-05-14 06:06:54,1.067,106.70,32587776,1.29
2025-05-14 06:06:59,1.067,106.70,32587776,1.29
2025-05-14 06:07:04,0.823,82.28,32587776,1.29
2025-05-14 06:07:09,0.823,82.28,32587776,1.29
2025-05-14 06:07:14,0.823,82.28,2184712192,86.81
2025-05-14 06:07:19,0.823,82.28,2184712192,86.81
2025-05-14 06:07:25,0.823,82.28,2184712192,86.81
2025-05-14 06:07:30,0.823,82.28,2184712192,86.81
2025-05-14 06:07:35,0.772,77.17,2184712192,86.81
2025-05-14 06:07:40,0.772,77.17,2184712192,86.81
2025-05-14 06:07:45,0.772,77.17,2184716288,86.81
2025-05-14 06:07:51,0.772,77.17,2184716288,86.81
2025-05-14 06:07:56,0.772,77.17,2184716288,86.81
2025-05-14 06:08:01,0.836,83.60,2184716288,86.81
2025-05-14 06:08:06,0.836,83.60,2184716288,86.81
2025-05-14 06:08:11,0.836,83.60,2184716288,86.81
2025-05-14 06:08:16,0.836,83.60,32583680,1.29
2025-05-14 06:08:22,0.836,83.60,32583680,1.29
2025-05-14 06:08:27,0.836,83.60,32583680,1.29
2025-05-14 06:08:32,0.910,90.99,32583680,1.29
2025-05-14 06:08:37,0.910,90.99,32583680,1.29
2025-05-14 06:08:42,0.910,90.99,2182242304,86.71
2025-05-14 06:08:47,0.910,90.99,2182242304,86.71
2025-05-14 06:08:53,0.910,90.99,2182242304,86.71
2025-05-14 06:08:58,0.910,90.99,2182242304,86.71
2025-05-14 06:09:03,0.437,43.73,2182242304,86.71
2025-05-14 06:09:08,0.437,43.73,2182242304,86.71
2025-05-14 06:09:13,0.437,43.73,2182262784,86.72
2025-05-14 06:09:19,0.437,43.73,2182262784,86.72
2025-05-14 06:09:24,0.437,43.73,2182262784,86.72
2025-05-14 06:09:29,0.437,43.73,2182262784,86.72
2025-05-14 06:09:34,0.522,52.21,2182262784,86.72
2025-05-14 06:09:39,0.522,52.21,2182262784,86.72
2025-05-14 06:09:44,0.522,52.21,2184765440,86.81
2025-05-14 06:09:49,0.522,52.21,2184765440,86.81
2025-05-14 06:09:55,0.522,52.21,2184765440,86.81
2025-05-14 06:10:00,0.522,52.21,2184765440,86.81
2025-05-14 06:10:05,0.557,55.66,2184765440,86.81
2025-05-14 06:10:10,0.557,55.66,2184765440,86.81
2025-05-14 06:10:15,0.557,55.66,2184794112,86.82
2025-05-14 06:10:20,0.557,55.66,2184794112,86.82
2025-05-14 06:10:26,0.557,55.66,2184794112,86.82
2025-05-14 06:10:31,0.875,87.51,2184794112,86.82
2025-05-14 06:10:36,0.875,87.51,2184794112,86.82
2025-05-14 06:10:41,0.875,87.51,2184794112,86.82
2025-05-14 06:10:46,0.875,87.51,32665600,1.30
2025-05-14 06:10:52,0.875,87.51,32665600,1.30
2025-05-14 06:10:57,0.875,87.51,32665600,1.30
2025-05-14 06:11:02,0.935,93.53,32665600,1.30
2025-05-14 06:11:07,0.935,93.53,32665600,1.30
2025-05-14 06:11:12,0.935,93.53,2182303744,86.72
