timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 05:14:01,0.228,22.84,2183462912,86.76
2025-05-14 05:14:07,0.228,22.84,2183462912,86.76
2025-05-14 05:14:12,0.228,22.84,2183483392,86.76
2025-05-14 05:14:17,0.228,22.84,2183483392,86.76
2025-05-14 05:14:22,0.228,22.84,2183483392,86.76
2025-05-14 05:14:28,0.228,22.84,2183483392,86.76
2025-05-14 05:14:33,0.988,98.80,2183483392,86.76
2025-05-14 05:14:38,0.988,98.80,2183483392,86.76
2025-05-14 05:14:43,0.988,98.80,2184736768,86.81
2025-05-14 05:14:49,0.988,98.80,2184736768,86.81
2025-05-14 05:14:54,0.988,98.80,2184736768,86.81
2025-05-14 05:14:59,0.988,98.80,2184736768,86.81
2025-05-14 05:15:04,0.544,54.41,2184736768,86.81
2025-05-14 05:15:09,0.544,54.41,0,0.00
2025-05-14 05:15:15,0.544,54.41,0,0.00
2025-05-14 05:15:20,0.544,54.41,0,0.00
2025-05-14 05:15:25,0.544,54.41,0,0.00
