timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 05:55:32,0.238,23.78,2183577600,86.77
2025-05-14 05:55:37,0.238,23.78,2183602176,86.77
2025-05-14 05:55:42,0.238,23.78,2183602176,86.77
2025-05-14 05:55:47,0.238,23.78,2183602176,86.77
2025-05-14 05:55:53,0.238,23.78,2183602176,86.77
2025-05-14 05:55:58,0.238,23.78,2183602176,86.77
2025-05-14 05:56:03,1.202,120.15,2183602176,86.77
2025-05-14 05:56:08,1.202,120.15,2183610368,86.77
2025-05-14 05:56:13,1.202,120.15,2183610368,86.77
2025-05-14 05:56:18,1.202,120.15,2183610368,86.77
2025-05-14 05:56:23,1.202,120.15,2183610368,86.77
2025-05-14 05:56:29,1.202,120.15,2183610368,86.77
2025-05-14 05:56:34,0.746,74.58,2184863744,86.82
2025-05-14 05:56:39,0.746,74.58,2184863744,86.82
2025-05-14 05:56:44,0.746,74.58,2184863744,86.82
2025-05-14 05:56:49,0.746,74.58,2184863744,86.82
2025-05-14 05:56:54,0.746,74.58,2184863744,86.82
2025-05-14 05:57:00,0.746,74.58,2184863744,86.82
2025-05-14 05:57:05,0.455,45.46,2184884224,86.82
2025-05-14 05:57:10,0.455,45.46,2184884224,86.82
2025-05-14 05:57:15,0.455,45.46,2184884224,86.82
2025-05-14 05:57:20,0.455,45.46,2184884224,86.82
2025-05-14 05:57:26,0.455,45.46,2184884224,86.82
2025-05-14 05:57:31,0.940,94.01,2184884224,86.82
2025-05-14 05:57:36,0.940,94.01,2184884224,86.82
2025-05-14 05:57:41,0.940,94.01,2184884224,86.82
2025-05-14 05:57:46,0.940,94.01,2184884224,86.82
2025-05-14 05:57:51,0.940,94.01,2184884224,86.82
2025-05-14 05:57:57,0.940,94.01,2184884224,86.82
2025-05-14 05:58:02,0.691,69.07,2184884224,86.82
2025-05-14 05:58:07,0.691,69.07,2182369280,86.72
2025-05-14 05:58:12,0.691,69.07,2182369280,86.72
2025-05-14 05:58:17,0.691,69.07,2182369280,86.72
2025-05-14 05:58:23,0.691,69.07,2182369280,86.72
2025-05-14 05:58:28,0.691,69.07,2182369280,86.72
2025-05-14 05:58:33,0.789,78.85,2182369280,86.72
2025-05-14 05:58:38,0.789,78.85,2182369280,86.72
2025-05-14 05:58:43,0.789,78.85,2182369280,86.72
2025-05-14 05:58:48,0.789,78.85,2182369280,86.72
2025-05-14 05:58:54,0.789,78.85,2182369280,86.72
2025-05-14 05:58:59,0.789,78.85,2182369280,86.72
2025-05-14 05:59:04,0.482,48.21,52002816,2.07
2025-05-14 05:59:09,0.482,48.21,52002816,2.07
2025-05-14 05:59:14,0.482,48.21,52002816,2.07
2025-05-14 05:59:19,0.482,48.21,52002816,2.07
2025-05-14 05:59:25,0.482,48.21,52002816,2.07
2025-05-14 05:59:30,0.482,48.21,52002816,2.07
2025-05-14 05:59:35,0.885,88.49,32763904,1.30
2025-05-14 05:59:40,0.885,88.49,32763904,1.30
2025-05-14 05:59:45,0.885,88.49,32763904,1.30
2025-05-14 05:59:51,0.885,88.49,32763904,1.30
2025-05-14 05:59:56,0.885,88.49,32763904,1.30
2025-05-14 06:00:01,0.779,77.88,32763904,1.30
2025-05-14 06:00:06,0.779,77.88,2184908800,86.82
2025-05-14 06:00:11,0.779,77.88,2184908800,86.82
2025-05-14 06:00:16,0.779,77.88,2184908800,86.82
2025-05-14 06:00:22,0.779,77.88,2184908800,86.82
2025-05-14 06:00:27,0.779,77.88,2184908800,86.82
2025-05-14 06:00:32,1.006,100.57,2184908800,86.82
2025-05-14 06:00:37,1.006,100.57,0,0.00
2025-05-14 06:00:42,1.006,100.57,0,0.00
2025-05-14 06:00:47,1.006,100.57,0,0.00
