timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 06:06:02,0.409,40.91,2183389184,86.76
2025-05-14 06:06:07,0.409,40.91,2183389184,86.76
2025-05-14 06:06:12,0.409,40.91,2183417856,86.76
2025-05-14 06:06:17,0.409,40.91,2183417856,86.76
2025-05-14 06:06:23,0.409,40.91,2183417856,86.76
2025-05-14 06:06:28,0.409,40.91,2183417856,86.76
2025-05-14 06:06:33,0.887,88.73,2183417856,86.76
2025-05-14 06:06:38,0.887,88.73,2183417856,86.76
2025-05-14 06:06:43,0.887,88.73,2184671232,86.81
2025-05-14 06:06:49,0.887,88.73,2184671232,86.81
2025-05-14 06:06:54,0.887,88.73,2184671232,86.81
2025-05-14 06:06:59,0.887,88.73,2184671232,86.81
2025-05-14 06:07:04,0.784,78.41,2184671232,86.81
2025-05-14 06:07:09,0.784,78.41,2184667136,86.81
2025-05-14 06:07:14,0.784,78.41,2184667136,86.81
2025-05-14 06:07:19,0.784,78.41,2184667136,86.81
2025-05-14 06:07:25,0.784,78.41,2184667136,86.81
2025-05-14 06:07:30,0.784,78.41,2184667136,86.81
2025-05-14 06:07:35,0.419,41.93,2184667136,86.81
2025-05-14 06:07:40,0.419,41.93,2184683520,86.81
2025-05-14 06:07:45,0.419,41.93,2184683520,86.81
2025-05-14 06:07:51,0.419,41.93,2184683520,86.81
2025-05-14 06:07:56,0.419,41.93,2184683520,86.81
2025-05-14 06:08:01,0.817,81.68,2184683520,86.81
2025-05-14 06:08:06,0.817,81.68,2184683520,86.81
2025-05-14 06:08:11,0.817,81.68,2182176768,86.71
2025-05-14 06:08:16,0.817,81.68,2182176768,86.71
2025-05-14 06:08:22,0.817,81.68,2182176768,86.71
2025-05-14 06:08:27,0.817,81.68,2182176768,86.71
2025-05-14 06:08:32,0.633,63.27,2182176768,86.71
2025-05-14 06:08:37,0.633,63.27,2182176768,86.71
2025-05-14 06:08:42,0.633,63.27,30183424,1.20
2025-05-14 06:08:47,0.633,63.27,30183424,1.20
2025-05-14 06:08:53,0.633,63.27,30183424,1.20
2025-05-14 06:08:58,0.633,63.27,30183424,1.20
2025-05-14 06:09:03,0.994,99.40,30183424,1.20
2025-05-14 06:09:08,0.994,99.40,30183424,1.20
2025-05-14 06:09:13,0.994,99.40,2184716288,86.81
2025-05-14 06:09:19,0.994,99.40,2184716288,86.81
2025-05-14 06:09:24,0.994,99.40,2184716288,86.81
2025-05-14 06:09:29,0.994,99.40,2184716288,86.81
2025-05-14 06:09:34,0.110,10.96,2184716288,86.81
2025-05-14 06:09:39,0.110,10.96,2184740864,86.81
2025-05-14 06:09:44,0.110,10.96,2184740864,86.81
2025-05-14 06:09:49,0.110,10.96,2184740864,86.81
2025-05-14 06:09:55,0.110,10.96,2184740864,86.81
2025-05-14 06:10:00,0.110,10.96,2184740864,86.81
2025-05-14 06:10:05,1.229,122.94,2184740864,86.81
2025-05-14 06:10:10,1.229,122.94,2185113600,86.83
2025-05-14 06:10:15,1.229,122.94,2185113600,86.83
2025-05-14 06:10:20,1.229,122.94,2185113600,86.83
2025-05-14 06:10:26,1.229,122.94,2185113600,86.83
2025-05-14 06:10:31,0.599,59.94,2185113600,86.83
2025-05-14 06:10:36,0.599,59.94,2185113600,86.83
2025-05-14 06:10:41,0.599,59.94,32968704,1.31
