timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 04:21:01,0.837,83.69,2201477120,87.48
2025-05-14 04:21:06,0.837,83.69,2201477120,87.48
2025-05-14 04:21:11,0.837,83.69,2203521024,87.56
2025-05-14 04:21:16,0.837,83.69,2203521024,87.56
2025-05-14 04:21:21,0.837,83.69,2203521024,87.56
2025-05-14 04:21:26,0.837,83.69,2203521024,87.56
2025-05-14 04:21:32,0.421,42.08,2203521024,87.56
2025-05-14 04:21:37,0.421,42.08,2203521024,87.56
2025-05-14 04:21:42,0.421,42.08,2203529216,87.56
2025-05-14 04:21:47,0.421,42.08,2203529216,87.56
2025-05-14 04:21:52,0.421,42.08,2203529216,87.56
2025-05-14 04:21:58,0.421,42.08,2203529216,87.56
2025-05-14 04:22:03,0.924,92.44,2203529216,87.56
2025-05-14 04:22:08,0.924,92.44,2203529216,87.56
2025-05-14 04:22:13,0.924,92.44,2203529216,87.56
2025-05-14 04:22:18,0.924,92.44,2203529216,87.56
2025-05-14 04:22:23,0.924,92.44,2203529216,87.56
2025-05-14 04:22:29,0.924,92.44,2203529216,87.56
2025-05-14 04:22:34,0.798,79.84,2203529216,87.56
2025-05-14 04:22:39,0.798,79.84,2203533312,87.56
2025-05-14 04:22:44,0.798,79.84,2203533312,87.56
2025-05-14 04:22:49,0.798,79.84,2203533312,87.56
2025-05-14 04:22:55,0.798,79.84,2203533312,87.56
2025-05-14 04:23:00,0.798,79.84,2203533312,87.56
2025-05-14 04:23:05,0.860,86.02,2203533312,87.56
2025-05-14 04:23:10,0.860,86.02,93888512,3.73
2025-05-14 04:23:15,0.860,86.02,93888512,3.73
2025-05-14 04:23:21,0.860,86.02,93888512,3.73
2025-05-14 04:23:26,0.860,86.02,93888512,3.73
2025-05-14 04:23:31,0.583,58.30,93888512,3.73
2025-05-14 04:23:36,0.583,58.30,93888512,3.73
2025-05-14 04:23:41,0.583,58.30,783990784,31.15
2025-05-14 04:23:47,0.583,58.30,783990784,31.15
2025-05-14 04:23:52,0.583,58.30,783990784,31.15
2025-05-14 04:23:57,0.583,58.30,783990784,31.15
2025-05-14 04:24:02,0.510,50.96,783990784,31.15
2025-05-14 04:24:08,0.510,50.96,103186432,4.10
2025-05-14 04:24:13,0.510,50.96,103186432,4.10
2025-05-14 04:24:18,0.510,50.96,103186432,4.10
2025-05-14 04:24:23,0.510,50.96,103186432,4.10
2025-05-14 04:24:28,0.510,50.96,103186432,4.10
2025-05-14 04:24:34,0.947,94.69,103186432,4.10
2025-05-14 04:24:39,0.947,94.69,2255339520,89.62
2025-05-14 04:24:44,0.947,94.69,2255339520,89.62
2025-05-14 04:24:49,0.947,94.69,2255339520,89.62
2025-05-14 04:24:55,0.947,94.69,2255339520,89.62
2025-05-14 04:25:00,0.947,94.69,2255339520,89.62
2025-05-14 04:25:05,0.622,62.22,2255339520,89.62
2025-05-14 04:25:10,0.622,62.22,2255355904,89.62
