timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 05:23:01,0.727,72.67,2183524352,86.77
2025-05-14 05:23:06,0.727,72.67,2183524352,86.77
2025-05-14 05:23:11,0.727,72.67,2183524352,86.77
2025-05-14 05:23:16,0.727,72.67,2183557120,86.77
2025-05-14 05:23:21,0.727,72.67,2183557120,86.77
2025-05-14 05:23:26,0.727,72.67,2183557120,86.77
2025-05-14 05:23:32,0.804,80.40,2183557120,86.77
2025-05-14 05:23:37,0.804,80.40,2183557120,86.77
2025-05-14 05:23:42,0.804,80.40,2183557120,86.77
2025-05-14 05:23:47,0.804,80.40,31977472,1.27
2025-05-14 05:23:52,0.804,80.40,31977472,1.27
2025-05-14 05:23:57,0.804,80.40,31977472,1.27
2025-05-14 05:24:02,0.798,79.78,31977472,1.27
2025-05-14 05:24:08,0.798,79.78,31977472,1.27
2025-05-14 05:24:13,0.798,79.78,31977472,1.27
2025-05-14 05:24:18,0.798,79.78,2184826880,86.82
2025-05-14 05:24:23,0.798,79.78,2184826880,86.82
2025-05-14 05:24:28,0.798,79.78,2184826880,86.82
2025-05-14 05:24:33,0.722,72.19,2184826880,86.82
2025-05-14 05:24:39,0.722,72.19,2184826880,86.82
2025-05-14 05:24:44,0.722,72.19,2184826880,86.82
2025-05-14 05:24:49,0.722,72.19,2184822784,86.82
2025-05-14 05:24:54,0.722,72.19,2184822784,86.82
2025-05-14 05:24:59,0.722,72.19,2184822784,86.82
2025-05-14 05:25:04,0.907,90.69,2184822784,86.82
2025-05-14 05:25:10,0.907,90.69,2184822784,86.82
2025-05-14 05:25:15,0.907,90.69,2184822784,86.82
2025-05-14 05:25:20,0.907,90.69,32956416,1.31
2025-05-14 05:25:25,0.907,90.69,32956416,1.31
2025-05-14 05:25:30,0.907,90.69,32956416,1.31
2025-05-14 05:25:35,0.836,83.61,32956416,1.31
2025-05-14 05:25:41,0.836,83.61,32956416,1.31
2025-05-14 05:25:46,0.836,83.61,2182385664,86.72
2025-05-14 05:25:51,0.836,83.61,2182385664,86.72
2025-05-14 05:25:56,0.836,83.61,2182385664,86.72
2025-05-14 05:26:01,0.396,39.60,2182385664,86.72
2025-05-14 05:26:06,0.396,39.60,2182385664,86.72
2025-05-14 05:26:11,0.396,39.60,2182385664,86.72
2025-05-14 05:26:17,0.396,39.60,2182443008,86.72
2025-05-14 05:26:22,0.396,39.60,2182443008,86.72
2025-05-14 05:26:27,0.396,39.60,2182443008,86.72
2025-05-14 05:26:32,0.868,86.82,2182443008,86.72
