timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 06:39:03,0.035,17.29,5562368,4.14
2025-05-14 06:39:08,0.035,17.29,5562368,4.14
2025-05-14 06:39:13,0.035,17.29,5562368,4.14
2025-05-14 06:39:18,0.035,17.29,5750784,4.28
2025-05-14 06:39:23,0.035,17.29,5750784,4.28
2025-05-14 06:39:28,0.035,17.29,5750784,4.28
2025-05-14 06:39:33,0.028,13.94,5750784,4.28
2025-05-14 06:39:39,0.028,13.94,5750784,4.28
2025-05-14 06:39:44,0.028,13.94,5750784,4.28
2025-05-14 06:39:49,0.028,13.94,5775360,4.30
2025-05-14 06:39:54,0.028,13.94,5775360,4.30
2025-05-14 06:39:59,0.028,13.94,5775360,4.30
2025-05-14 06:40:04,0.031,15.53,5775360,4.30
2025-05-14 06:40:10,0.031,15.53,5775360,4.30
2025-05-14 06:40:15,0.031,15.53,6172672,4.60
2025-05-14 06:40:20,0.031,15.53,6172672,4.60
2025-05-14 06:40:25,0.031,15.53,6172672,4.60
2025-05-14 06:40:30,0.031,15.53,6172672,4.60
2025-05-14 06:40:35,0.048,24.03,6172672,4.60
2025-05-14 06:40:40,0.048,24.03,6172672,4.60
2025-05-14 06:40:45,0.048,24.03,6475776,4.82
2025-05-14 06:40:51,0.048,24.03,6475776,4.82
2025-05-14 06:40:56,0.048,24.03,6475776,4.82
2025-05-14 06:41:01,0.041,20.64,6475776,4.82
2025-05-14 06:41:06,0.041,20.64,6475776,4.82
2025-05-14 06:41:11,0.041,20.64,6475776,4.82
2025-05-14 06:41:16,0.041,20.64,6483968,4.83
2025-05-14 06:41:21,0.041,20.64,6483968,4.83
2025-05-14 06:41:27,0.041,20.64,6483968,4.83
2025-05-14 06:41:32,0.044,22.05,6483968,4.83
2025-05-14 06:41:37,0.044,22.05,6483968,4.83
2025-05-14 06:41:42,0.044,22.05,6483968,4.83
2025-05-14 06:41:47,0.044,22.05,6721536,5.01
2025-05-14 06:41:52,0.044,22.05,6721536,5.01
