timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 06:21:00,0.034,16.91,12623872,9.41
2025-05-14 06:21:06,0.034,16.91,12836864,9.56
2025-05-14 06:21:11,0.034,16.91,12836864,9.56
2025-05-14 06:21:16,0.034,16.91,12836864,9.56
2025-05-14 06:21:21,0.034,16.91,12836864,9.56
2025-05-14 06:21:26,0.034,16.91,12836864,9.56
2025-05-14 06:21:31,0.084,42.16,12836864,9.56
2025-05-14 06:21:37,0.084,42.16,12922880,9.63
2025-05-14 06:21:42,0.084,42.16,12922880,9.63
2025-05-14 06:21:47,0.084,42.16,12922880,9.63
2025-05-14 06:21:52,0.084,42.16,12922880,9.63
2025-05-14 06:21:57,0.084,42.16,12922880,9.63
2025-05-14 06:22:02,0.039,19.42,12922880,9.63
2025-05-14 06:22:08,0.039,19.42,13672448,10.19
2025-05-14 06:22:13,0.039,19.42,13672448,10.19
2025-05-14 06:22:18,0.039,19.42,13672448,10.19
2025-05-14 06:22:23,0.039,19.42,13672448,10.19
2025-05-14 06:22:28,0.039,19.42,13672448,10.19
2025-05-14 06:22:34,0.092,46.06,13938688,10.39
2025-05-14 06:22:39,0.092,46.06,13938688,10.39
2025-05-14 06:22:44,0.092,46.06,13938688,10.39
2025-05-14 06:22:49,0.092,46.06,13938688,10.39
2025-05-14 06:22:54,0.092,46.06,13938688,10.39
2025-05-14 06:22:59,0.092,46.06,13938688,10.39
2025-05-14 06:23:05,0.073,36.35,13742080,10.24
2025-05-14 06:23:10,0.073,36.35,13742080,10.24
2025-05-14 06:23:15,0.073,36.35,13742080,10.24
2025-05-14 06:23:20,0.073,36.35,13742080,10.24
2025-05-14 06:23:25,0.073,36.35,13742080,10.24
2025-05-14 06:23:30,0.081,40.58,13742080,10.24
2025-05-14 06:23:36,0.081,40.58,13778944,10.27
2025-05-14 06:23:41,0.081,40.58,13778944,10.27
2025-05-14 06:23:46,0.081,40.58,13778944,10.27
2025-05-14 06:23:51,0.081,40.58,13778944,10.27
2025-05-14 06:23:56,0.081,40.58,13778944,10.27
2025-05-14 06:24:01,0.086,42.90,13778944,10.27
2025-05-14 06:24:07,0.086,42.90,13885440,10.35
2025-05-14 06:24:12,0.086,42.90,13885440,10.35
2025-05-14 06:24:17,0.086,42.90,13885440,10.35
2025-05-14 06:24:22,0.086,42.90,13885440,10.35
2025-05-14 06:24:27,0.086,42.90,13885440,10.35
2025-05-14 06:24:32,0.035,17.32,13885440,10.35
2025-05-14 06:24:38,0.035,17.32,14245888,10.61
2025-05-14 06:24:43,0.035,17.32,14245888,10.61
2025-05-14 06:24:48,0.035,17.32,14245888,10.61
2025-05-14 06:24:53,0.035,17.32,14245888,10.61
2025-05-14 06:24:58,0.035,17.32,14245888,10.61
2025-05-14 06:25:03,0.087,43.37,14245888,10.61
2025-05-14 06:25:08,0.087,43.37,14602240,10.88
2025-05-14 06:25:14,0.087,43.37,14602240,10.88
2025-05-14 06:25:19,0.087,43.37,14602240,10.88
2025-05-14 06:25:24,0.087,43.37,14602240,10.88
2025-05-14 06:25:29,0.087,43.37,14602240,10.88
2025-05-14 06:25:34,0.090,45.21,14979072,11.16
2025-05-14 06:25:39,0.090,45.21,14979072,11.16
2025-05-14 06:25:45,0.090,45.21,14979072,11.16
2025-05-14 06:25:50,0.090,45.21,14979072,11.16
2025-05-14 06:25:55,0.090,45.21,14979072,11.16
2025-05-14 06:26:00,0.090,45.21,14979072,11.16
2025-05-14 06:26:05,0.100,49.85,15163392,11.30
2025-05-14 06:26:10,0.100,49.85,15163392,11.30
2025-05-14 06:26:16,0.100,49.85,15163392,11.30
2025-05-14 06:26:21,0.100,49.85,15163392,11.30
2025-05-14 06:26:26,0.100,49.85,15163392,11.30
2025-05-14 06:26:31,0.054,26.82,15163392,11.30
2025-05-14 06:26:36,0.054,26.82,14667776,10.93
2025-05-14 06:26:42,0.054,26.82,14667776,10.93
2025-05-14 06:26:47,0.054,26.82,14667776,10.93
2025-05-14 06:26:52,0.054,26.82,14667776,10.93
2025-05-14 06:26:57,0.054,26.82,14667776,10.93
2025-05-14 06:27:02,0.081,40.41,14667776,10.93
2025-05-14 06:27:07,0.081,40.41,14979072,11.16
2025-05-14 06:27:12,0.081,40.41,14979072,11.16
2025-05-14 06:27:18,0.081,40.41,14979072,11.16
2025-05-14 06:27:23,0.081,40.41,14979072,11.16
2025-05-14 06:27:28,0.081,40.41,14979072,11.16
2025-05-14 06:27:33,0.065,32.25,14979072,11.16
2025-05-14 06:27:38,0.065,32.25,15618048,11.64
2025-05-14 06:27:43,0.065,32.25,15618048,11.64
2025-05-14 06:27:49,0.065,32.25,15618048,11.64
2025-05-14 06:27:54,0.065,32.25,15618048,11.64
2025-05-14 06:27:59,0.065,32.25,15618048,11.64
2025-05-14 06:28:04,0.086,43.06,14753792,10.99
2025-05-14 06:28:09,0.086,43.06,14753792,10.99
2025-05-14 06:28:14,0.086,43.06,14753792,10.99
2025-05-14 06:28:19,0.086,43.06,14753792,10.99
2025-05-14 06:28:25,0.086,43.06,14753792,10.99
2025-05-14 06:28:30,0.086,43.06,14753792,10.99
2025-05-14 06:28:35,0.090,44.88,15089664,11.24
2025-05-14 06:28:40,0.090,44.88,15089664,11.24
2025-05-14 06:28:45,0.090,44.88,15089664,11.24
2025-05-14 06:28:50,0.090,44.88,15089664,11.24
2025-05-14 06:28:55,0.090,44.88,15089664,11.24
2025-05-14 06:29:01,0.052,25.77,15089664,11.24
2025-05-14 06:29:06,0.052,25.77,14897152,11.10
2025-05-14 06:29:11,0.052,25.77,14897152,11.10
2025-05-14 06:29:16,0.052,25.77,14897152,11.10
2025-05-14 06:29:21,0.052,25.77,14897152,11.10
2025-05-14 06:29:27,0.052,25.77,14897152,11.10
2025-05-14 06:29:32,0.033,16.50,14897152,11.10
2025-05-14 06:29:37,0.033,16.50,15888384,11.84
2025-05-14 06:29:42,0.033,16.50,15888384,11.84
2025-05-14 06:29:47,0.033,16.50,15888384,11.84
2025-05-14 06:29:52,0.033,16.50,15888384,11.84
2025-05-14 06:29:58,0.033,16.50,15888384,11.84
2025-05-14 06:30:03,0.026,13.09,15888384,11.84
2025-05-14 06:30:08,0.026,13.09,15908864,11.85
2025-05-14 06:30:13,0.026,13.09,15908864,11.85
2025-05-14 06:30:18,0.026,13.09,15908864,11.85
2025-05-14 06:30:23,0.026,13.09,15908864,11.85
2025-05-14 06:30:28,0.026,13.09,15908864,11.85
2025-05-14 06:30:34,0.097,48.49,16195584,12.07
2025-05-14 06:30:39,0.097,48.49,16195584,12.07
2025-05-14 06:30:44,0.097,48.49,16195584,12.07
2025-05-14 06:30:49,0.097,48.49,16195584,12.07
2025-05-14 06:30:54,0.097,48.49,16195584,12.07
2025-05-14 06:30:59,0.097,48.49,16195584,12.07
2025-05-14 06:31:05,0.129,64.31,16347136,12.18
2025-05-14 06:31:10,0.129,64.31,16347136,12.18
2025-05-14 06:31:15,0.129,64.31,16347136,12.18
2025-05-14 06:31:20,0.129,64.31,16347136,12.18
2025-05-14 06:31:25,0.129,64.31,16347136,12.18
2025-05-14 06:31:30,0.057,28.73,16347136,12.18
2025-05-14 06:31:36,0.057,28.73,16781312,12.50
2025-05-14 06:31:41,0.057,28.73,16781312,12.50
2025-05-14 06:31:46,0.057,28.73,16781312,12.50
2025-05-14 06:31:51,0.057,28.73,16781312,12.50
2025-05-14 06:31:56,0.057,28.73,16781312,12.50
2025-05-14 06:32:01,0.135,67.54,16781312,12.50
2025-05-14 06:32:06,0.135,67.54,17088512,12.73
2025-05-14 06:32:12,0.135,67.54,17088512,12.73
2025-05-14 06:32:17,0.135,67.54,17088512,12.73
2025-05-14 06:32:22,0.135,67.54,17088512,12.73
2025-05-14 06:32:27,0.135,67.54,17088512,12.73
2025-05-14 06:32:32,0.117,58.70,17088512,12.73
2025-05-14 06:32:37,0.117,58.70,17592320,13.11
2025-05-14 06:32:42,0.117,58.70,17592320,13.11
2025-05-14 06:32:48,0.117,58.70,17592320,13.11
