timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 05:45:02,0.027,13.35,8155136,6.08
2025-05-14 05:45:08,0.027,13.35,8155136,6.08
2025-05-14 05:45:13,0.027,13.35,8196096,6.11
2025-05-14 05:45:18,0.027,13.35,8196096,6.11
2025-05-14 05:45:23,0.027,13.35,8196096,6.11
2025-05-14 05:45:28,0.027,13.35,8196096,6.11
2025-05-14 05:45:33,0.036,18.16,8196096,6.11
2025-05-14 05:45:39,0.036,18.16,8577024,6.39
2025-05-14 05:45:44,0.036,18.16,8577024,6.39
2025-05-14 05:45:49,0.036,18.16,8577024,6.39
2025-05-14 05:45:54,0.036,18.16,8577024,6.39
2025-05-14 05:45:59,0.036,18.16,8577024,6.39
2025-05-14 05:46:04,0.046,22.96,8577024,6.39
2025-05-14 05:46:10,0.046,22.96,8839168,6.59
2025-05-14 05:46:15,0.046,22.96,8839168,6.59
2025-05-14 05:46:20,0.046,22.96,8839168,6.59
2025-05-14 05:46:25,0.046,22.96,8839168,6.59
2025-05-14 05:46:30,0.046,22.96,8839168,6.59
2025-05-14 05:46:35,0.060,29.92,8839168,6.59
2025-05-14 05:46:41,0.060,29.92,8998912,6.70
2025-05-14 05:46:46,0.060,29.92,8998912,6.70
2025-05-14 05:46:51,0.060,29.92,8998912,6.70
2025-05-14 05:46:56,0.060,29.92,8998912,6.70
2025-05-14 05:47:01,0.056,28.00,8998912,6.70
2025-05-14 05:47:06,0.056,28.00,8998912,6.70
2025-05-14 05:47:12,0.056,28.00,9125888,6.80
2025-05-14 05:47:17,0.056,28.00,9125888,6.80
2025-05-14 05:47:22,0.056,28.00,9125888,6.80
2025-05-14 05:47:27,0.056,28.00,9125888,6.80
2025-05-14 05:47:32,0.069,34.68,9125888,6.80
2025-05-14 05:47:37,0.069,34.68,9125888,6.80
2025-05-14 05:47:43,0.069,34.68,9367552,6.98
2025-05-14 05:47:48,0.069,34.68,9367552,6.98
2025-05-14 05:47:53,0.069,34.68,9367552,6.98
2025-05-14 05:47:58,0.069,34.68,9367552,6.98
2025-05-14 05:48:03,0.055,27.66,9367552,6.98
2025-05-14 05:48:08,0.055,27.66,9883648,7.36
2025-05-14 05:48:14,0.055,27.66,9883648,7.36
2025-05-14 05:48:19,0.055,27.66,9883648,7.36
2025-05-14 05:48:24,0.055,27.66,9883648,7.36
2025-05-14 05:48:29,0.055,27.66,9883648,7.36
2025-05-14 05:48:34,0.039,19.63,9883648,7.36
2025-05-14 05:48:40,0.039,19.63,10002432,7.45
2025-05-14 05:48:45,0.039,19.63,10002432,7.45
2025-05-14 05:48:50,0.039,19.63,10002432,7.45
2025-05-14 05:48:55,0.039,19.63,10002432,7.45
2025-05-14 05:49:00,0.039,19.63,10002432,7.45
2025-05-14 05:49:05,0.059,29.61,10002432,7.45
2025-05-14 05:49:11,0.059,29.61,9805824,7.31
2025-05-14 05:49:16,0.059,29.61,9805824,7.31
2025-05-14 05:49:21,0.059,29.61,9805824,7.31
2025-05-14 05:49:26,0.059,29.61,9805824,7.31
2025-05-14 05:49:31,0.041,20.45,9805824,7.31
2025-05-14 05:49:36,0.041,20.45,9805824,7.31
2025-05-14 05:49:41,0.041,20.45,10002432,7.45
2025-05-14 05:49:46,0.041,20.45,10002432,7.45
2025-05-14 05:49:52,0.041,20.45,10002432,7.45
2025-05-14 05:49:57,0.041,20.45,10002432,7.45
2025-05-14 05:50:02,0.042,21.02,10002432,7.45
2025-05-14 05:50:07,0.042,21.02,10002432,7.45
2025-05-14 05:50:12,0.042,21.02,9891840,7.37
2025-05-14 05:50:17,0.042,21.02,9891840,7.37
