timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 05:58:02,0.006,2.97,8056832,6.00
2025-05-14 05:58:07,0.006,2.97,8056832,6.00
2025-05-14 05:58:12,0.006,2.97,8056832,6.00
2025-05-14 05:58:17,0.006,2.97,8175616,6.09
2025-05-14 05:58:23,0.006,2.97,8175616,6.09
2025-05-14 05:58:28,0.006,2.97,8175616,6.09
2025-05-14 05:58:33,0.006,3.10,8175616,6.09
2025-05-14 05:58:38,0.006,3.10,8175616,6.09
2025-05-14 05:58:43,0.006,3.10,8175616,6.09
2025-05-14 05:58:48,0.006,3.10,8245248,6.14
2025-05-14 05:58:54,0.006,3.10,8245248,6.14
2025-05-14 05:58:59,0.006,3.10,8245248,6.14
2025-05-14 05:59:04,0.013,6.62,8245248,6.14
2025-05-14 05:59:09,0.013,6.62,8245248,6.14
2025-05-14 05:59:14,0.013,6.62,8245248,6.14
2025-05-14 05:59:19,0.013,6.62,8339456,6.21
2025-05-14 05:59:25,0.013,6.62,8339456,6.21
2025-05-14 05:59:30,0.013,6.62,8339456,6.21
2025-05-14 05:59:35,0.004,1.92,8339456,6.21
2025-05-14 05:59:40,0.004,1.92,8339456,6.21
2025-05-14 05:59:45,0.004,1.92,8339456,6.21
2025-05-14 05:59:51,0.004,1.92,8376320,6.24
2025-05-14 05:59:56,0.004,1.92,8376320,6.24
2025-05-14 06:00:01,0.014,6.99,8376320,6.24
2025-05-14 06:00:06,0.014,6.99,8376320,6.24
2025-05-14 06:00:11,0.014,6.99,8376320,6.24
2025-05-14 06:00:16,0.014,6.99,8376320,6.24
2025-05-14 06:00:22,0.014,6.99,8888320,6.62
2025-05-14 06:00:27,0.014,6.99,8888320,6.62
2025-05-14 06:00:32,0.015,7.75,8888320,6.62
2025-05-14 06:00:37,0.015,7.75,8888320,6.62
2025-05-14 06:00:42,0.015,7.75,8888320,6.62
2025-05-14 06:00:47,0.015,7.75,9273344,6.91
2025-05-14 06:00:52,0.015,7.75,9273344,6.91
2025-05-14 06:00:58,0.015,7.75,9273344,6.91
2025-05-14 06:01:03,0.034,16.90,9273344,6.91
2025-05-14 06:01:08,0.034,16.90,9273344,6.91
2025-05-14 06:01:13,0.034,16.90,9273344,6.91
2025-05-14 06:01:18,0.034,16.90,9785344,7.29
2025-05-14 06:01:23,0.034,16.90,9785344,7.29
2025-05-14 06:01:28,0.034,16.90,9785344,7.29
2025-05-14 06:01:34,0.038,19.05,9785344,7.29
2025-05-14 06:01:39,0.038,19.05,9785344,7.29
2025-05-14 06:01:44,0.038,19.05,9785344,7.29
2025-05-14 06:01:49,0.038,19.05,9838592,7.33
2025-05-14 06:01:54,0.038,19.05,9838592,7.33
2025-05-14 06:01:59,0.038,19.05,9838592,7.33
2025-05-14 06:02:04,0.041,20.59,9838592,7.33
2025-05-14 06:02:10,0.041,20.59,9838592,7.33
2025-05-14 06:02:15,0.041,20.59,9838592,7.33
2025-05-14 06:02:20,0.041,20.59,10145792,7.56
2025-05-14 06:02:25,0.041,20.59,10145792,7.56
2025-05-14 06:02:30,0.041,20.59,10145792,7.56
2025-05-14 06:02:35,0.031,15.62,10145792,7.56
2025-05-14 06:02:40,0.031,15.62,10145792,7.56
2025-05-14 06:02:45,0.031,15.62,10145792,7.56
2025-05-14 06:02:51,0.031,15.62,10596352,7.89
2025-05-14 06:02:56,0.031,15.62,10596352,7.89
2025-05-14 06:03:01,0.067,33.74,10596352,7.89
2025-05-14 06:03:06,0.067,33.74,10596352,7.89
2025-05-14 06:03:11,0.067,33.74,10596352,7.89
2025-05-14 06:03:16,0.067,33.74,10596352,7.89
2025-05-14 06:03:21,0.067,33.74,10653696,7.94
2025-05-14 06:03:27,0.067,33.74,10653696,7.94
2025-05-14 06:03:32,0.062,30.95,10653696,7.94
2025-05-14 06:03:37,0.062,30.95,10653696,7.94
2025-05-14 06:03:42,0.062,30.95,10653696,7.94
2025-05-14 06:03:47,0.062,30.95,11124736,8.29
2025-05-14 06:03:52,0.062,30.95,11124736,8.29
2025-05-14 06:03:58,0.062,30.95,11124736,8.29
2025-05-14 06:04:03,0.072,35.85,11124736,8.29
2025-05-14 06:04:08,0.072,35.85,11124736,8.29
2025-05-14 06:04:13,0.072,35.85,11124736,8.29
2025-05-14 06:04:18,0.072,35.85,11280384,8.40
2025-05-14 06:04:23,0.072,35.85,11280384,8.40
2025-05-14 06:04:29,0.072,35.85,11280384,8.40
2025-05-14 06:04:34,0.077,38.41,11280384,8.40
2025-05-14 06:04:39,0.077,38.41,11280384,8.40
2025-05-14 06:04:44,0.077,38.41,11280384,8.40
2025-05-14 06:04:49,0.077,38.41,11984896,8.93
2025-05-14 06:04:55,0.077,38.41,11984896,8.93
2025-05-14 06:05:00,0.077,38.41,11984896,8.93
2025-05-14 06:05:05,0.068,34.08,11984896,8.93
2025-05-14 06:05:10,0.068,34.08,11984896,8.93
2025-05-14 06:05:15,0.068,34.08,11984896,8.93
2025-05-14 06:05:21,0.068,34.08,12374016,9.22
2025-05-14 06:05:26,0.068,34.08,12374016,9.22
2025-05-14 06:05:31,0.079,39.57,12374016,9.22
2025-05-14 06:05:36,0.079,39.57,12374016,9.22
2025-05-14 06:05:41,0.079,39.57,12374016,9.22
2025-05-14 06:05:46,0.079,39.57,12374016,9.22
2025-05-14 06:05:52,0.079,39.57,11894784,8.86
2025-05-14 06:05:57,0.079,39.57,11894784,8.86
2025-05-14 06:06:02,0.057,28.33,11894784,8.86
2025-05-14 06:06:07,0.057,28.33,11894784,8.86
2025-05-14 06:06:12,0.057,28.33,11894784,8.86
2025-05-14 06:06:17,0.057,28.33,12275712,9.15
2025-05-14 06:06:23,0.057,28.33,12275712,9.15
2025-05-14 06:06:28,0.057,28.33,12275712,9.15
