timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 04:18:05,0.027,13.44,12677120,9.45
2025-05-14 04:18:10,0.027,13.44,12677120,9.45
2025-05-14 04:18:15,0.027,13.44,12677120,9.45
2025-05-14 04:18:20,0.027,13.44,12677120,9.45
2025-05-14 04:18:25,0.027,13.44,12554240,9.35
2025-05-14 04:18:31,0.048,23.81,12554240,9.35
2025-05-14 04:18:36,0.048,23.81,12554240,9.35
2025-05-14 04:18:41,0.048,23.81,12554240,9.35
2025-05-14 04:18:46,0.048,23.81,12554240,9.35
2025-05-14 04:18:51,0.048,23.81,12554240,9.35
2025-05-14 04:18:57,0.048,23.81,12894208,9.61
2025-05-14 04:19:02,0.048,23.90,12894208,9.61
2025-05-14 04:19:07,0.048,23.90,12894208,9.61
2025-05-14 04:19:12,0.048,23.90,12894208,9.61
2025-05-14 04:19:17,0.048,23.90,12894208,9.61
2025-05-14 04:19:22,0.048,23.90,12894208,9.61
2025-05-14 04:19:28,0.048,23.90,13463552,10.03
2025-05-14 04:19:33,0.031,15.64,13463552,10.03
2025-05-14 04:19:38,0.031,15.64,13463552,10.03
2025-05-14 04:19:43,0.031,15.64,13463552,10.03
2025-05-14 04:19:48,0.031,15.64,13463552,10.03
2025-05-14 04:19:53,0.031,15.64,14823424,11.04
2025-05-14 04:19:58,0.031,15.64,14823424,11.04
2025-05-14 04:20:04,0.101,50.26,14823424,11.04
2025-05-14 04:20:09,0.101,50.26,14823424,11.04
2025-05-14 04:20:14,0.101,50.26,14823424,11.04
2025-05-14 04:20:19,0.101,50.26,14823424,11.04
2025-05-14 04:20:24,0.101,50.26,14741504,10.98
2025-05-14 04:20:29,0.101,50.26,14741504,10.98
2025-05-14 04:20:35,0.139,69.32,14741504,10.98
2025-05-14 04:20:40,0.139,69.32,14741504,10.98
2025-05-14 04:20:45,0.139,69.32,14741504,10.98
2025-05-14 04:20:50,0.139,69.32,14741504,10.98
2025-05-14 04:20:55,0.139,69.32,15351808,11.44
2025-05-14 04:21:01,0.159,79.48,15351808,11.44
2025-05-14 04:21:06,0.159,79.48,15351808,11.44
2025-05-14 04:21:11,0.159,79.48,15351808,11.44
2025-05-14 04:21:16,0.159,79.48,15351808,11.44
2025-05-14 04:21:21,0.159,79.48,15351808,11.44
