timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 04:12:35,0.005,2.66,10903552,8.12
2025-05-14 04:12:41,0.005,2.66,11968512,8.92
2025-05-14 04:12:46,0.005,2.66,11968512,8.92
2025-05-14 04:12:51,0.005,2.66,11968512,8.92
2025-05-14 04:12:56,0.005,2.66,11968512,8.92
2025-05-14 04:13:01,0.047,23.46,11968512,8.92
2025-05-14 04:13:06,0.047,23.46,11968512,8.92
2025-05-14 04:13:11,0.047,23.46,13197312,9.83
2025-05-14 04:13:17,0.047,23.46,13197312,9.83
2025-05-14 04:13:22,0.047,23.46,13197312,9.83
2025-05-14 04:13:27,0.047,23.46,13197312,9.83
2025-05-14 04:13:32,0.069,34.53,13197312,9.83
2025-05-14 04:13:37,0.069,34.53,13197312,9.83
2025-05-14 04:13:42,0.069,34.53,13111296,9.77
2025-05-14 04:13:47,0.069,34.53,13111296,9.77
2025-05-14 04:13:53,0.069,34.53,13111296,9.77
2025-05-14 04:13:58,0.069,34.53,13111296,9.77
2025-05-14 04:14:03,0.106,52.78,13111296,9.77
2025-05-14 04:14:08,0.106,52.78,13111296,9.77
2025-05-14 04:14:13,0.106,52.78,12984320,9.67
2025-05-14 04:14:18,0.106,52.78,12984320,9.67
2025-05-14 04:14:24,0.106,52.78,12984320,9.67
2025-05-14 04:14:29,0.106,52.78,12984320,9.67
2025-05-14 04:14:34,0.115,57.53,12984320,9.67
2025-05-14 04:14:39,0.115,57.53,12984320,9.67
2025-05-14 04:14:44,0.115,57.53,13008896,9.69
2025-05-14 04:14:49,0.115,57.53,13008896,9.69
2025-05-14 04:14:54,0.115,57.53,13008896,9.69
2025-05-14 04:15:00,0.115,57.53,13008896,9.69
2025-05-14 04:15:05,0.091,45.31,13008896,9.69
2025-05-14 04:15:10,0.091,45.31,13565952,10.11
2025-05-14 04:15:15,0.091,45.31,13565952,10.11
2025-05-14 04:15:20,0.091,45.31,13565952,10.11
2025-05-14 04:15:25,0.091,45.31,13565952,10.11
2025-05-14 04:15:30,0.082,40.77,13565952,10.11
2025-05-14 04:15:36,0.082,40.77,13565952,10.11
2025-05-14 04:15:41,0.082,40.77,13365248,9.96
2025-05-14 04:15:46,0.082,40.77,13365248,9.96
2025-05-14 04:15:51,0.082,40.77,13365248,9.96
2025-05-14 04:15:56,0.082,40.77,13365248,9.96
2025-05-14 04:16:01,0.078,38.79,13365248,9.96
2025-05-14 04:16:06,0.078,38.79,13365248,9.96
2025-05-14 04:16:12,0.078,38.79,13819904,10.30
2025-05-14 04:16:17,0.078,38.79,13819904,10.30
2025-05-14 04:16:22,0.078,38.79,13819904,10.30
2025-05-14 04:16:27,0.078,38.79,13819904,10.30
2025-05-14 04:16:32,0.066,32.98,13819904,10.30
2025-05-14 04:16:37,0.066,32.98,13819904,10.30
2025-05-14 04:16:42,0.066,32.98,13336576,9.94
2025-05-14 04:16:48,0.066,32.98,13336576,9.94
2025-05-14 04:16:53,0.066,32.98,13336576,9.94
2025-05-14 04:16:58,0.066,32.98,13336576,9.94
2025-05-14 04:17:03,0.060,29.88,13336576,9.94
2025-05-14 04:17:08,0.060,29.88,13336576,9.94
2025-05-14 04:17:13,0.060,29.88,13570048,10.11
2025-05-14 04:17:18,0.060,29.88,13570048,10.11
2025-05-14 04:17:24,0.060,29.88,13570048,10.11
2025-05-14 04:17:29,0.060,29.88,13570048,10.11
2025-05-14 04:17:34,0.021,10.73,13570048,10.11
