timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 07:05:35,0.014,7.12,5468160,4.07
2025-05-14 07:05:40,0.014,7.12,5468160,4.07
2025-05-14 07:05:46,0.014,7.12,5468160,4.07
2025-05-14 07:05:51,0.014,7.12,5468160,4.07
2025-05-14 07:05:56,0.014,7.12,5967872,4.45
2025-05-14 07:06:01,0.054,26.88,5967872,4.45
2025-05-14 07:06:06,0.054,26.88,5967872,4.45
2025-05-14 07:06:11,0.054,26.88,5967872,4.45
2025-05-14 07:06:17,0.054,26.88,5967872,4.45
2025-05-14 07:06:22,0.054,26.88,5967872,4.45
2025-05-14 07:06:27,0.054,26.88,6086656,4.53
2025-05-14 07:06:32,0.037,18.31,6086656,4.53
2025-05-14 07:06:37,0.037,18.31,6086656,4.53
2025-05-14 07:06:42,0.037,18.31,6086656,4.53
2025-05-14 07:06:47,0.037,18.31,6086656,4.53
2025-05-14 07:06:53,0.037,18.31,6529024,4.86
2025-05-14 07:06:58,0.037,18.31,6529024,4.86
2025-05-14 07:07:03,0.047,23.66,6529024,4.86
2025-05-14 07:07:08,0.047,23.66,6529024,4.86
2025-05-14 07:07:13,0.047,23.66,6529024,4.86
2025-05-14 07:07:18,0.047,23.66,6529024,4.86
2025-05-14 07:07:23,0.047,23.66,6901760,5.14
2025-05-14 07:07:29,0.047,23.66,6901760,5.14
2025-05-14 07:07:34,0.050,25.02,6901760,5.14
2025-05-14 07:07:39,0.050,25.02,6901760,5.14
2025-05-14 07:07:44,0.050,25.02,6901760,5.14
2025-05-14 07:07:49,0.050,25.02,6901760,5.14
2025-05-14 07:07:54,0.050,25.02,7065600,5.26
2025-05-14 07:08:00,0.050,25.02,7065600,5.26
2025-05-14 07:08:05,0.072,35.79,7065600,5.26
2025-05-14 07:08:10,0.072,35.79,7065600,5.26
2025-05-14 07:08:15,0.072,35.79,7065600,5.26
2025-05-14 07:08:20,0.072,35.79,7065600,5.26
2025-05-14 07:08:25,0.072,35.79,7208960,5.37
2025-05-14 07:08:31,0.073,36.72,7208960,5.37
2025-05-14 07:08:36,0.073,36.72,7208960,5.37
2025-05-14 07:08:41,0.073,36.72,7208960,5.37
2025-05-14 07:08:46,0.073,36.72,7208960,5.37
2025-05-14 07:08:51,0.073,36.72,7208960,5.37
2025-05-14 07:08:56,0.073,36.72,7385088,5.50
2025-05-14 07:09:01,0.053,26.46,7385088,5.50
2025-05-14 07:09:07,0.053,26.46,7385088,5.50
2025-05-14 07:09:12,0.053,26.46,7385088,5.50
2025-05-14 07:09:17,0.053,26.46,7385088,5.50
2025-05-14 07:09:22,0.053,26.46,7385088,5.50
2025-05-14 07:09:27,0.053,26.46,7716864,5.75
2025-05-14 07:09:32,0.066,33.24,7716864,5.75
2025-05-14 07:09:37,0.066,33.24,7716864,5.75
2025-05-14 07:09:43,0.066,33.24,7716864,5.75
2025-05-14 07:09:48,0.066,33.24,7716864,5.75
2025-05-14 07:09:53,0.066,33.24,7921664,5.90
2025-05-14 07:09:58,0.066,33.24,7921664,5.90
2025-05-14 07:10:03,0.073,36.71,7921664,5.90
2025-05-14 07:10:08,0.073,36.71,7921664,5.90
2025-05-14 07:10:13,0.073,36.71,7921664,5.90
2025-05-14 07:10:19,0.073,36.71,7921664,5.90
2025-05-14 07:10:24,0.073,36.71,8216576,6.12
2025-05-14 07:10:29,0.073,36.71,8216576,6.12
2025-05-14 07:10:34,0.065,32.35,8216576,6.12
2025-05-14 07:10:39,0.065,32.35,8216576,6.12
2025-05-14 07:10:44,0.065,32.35,8216576,6.12
2025-05-14 07:10:50,0.065,32.35,8216576,6.12
2025-05-14 07:10:55,0.065,32.35,7913472,5.90
2025-05-14 07:11:00,0.065,32.35,7913472,5.90
2025-05-14 07:11:05,0.072,35.93,7913472,5.90
2025-05-14 07:11:10,0.072,35.93,7913472,5.90
2025-05-14 07:11:15,0.072,35.93,7913472,5.90
2025-05-14 07:11:20,0.072,35.93,7913472,5.90
2025-05-14 07:11:26,0.072,35.93,8167424,6.09
2025-05-14 07:11:31,0.067,33.29,8167424,6.09
2025-05-14 07:11:36,0.067,33.29,8167424,6.09
2025-05-14 07:11:41,0.067,33.29,8167424,6.09
2025-05-14 07:11:46,0.067,33.29,8167424,6.09
2025-05-14 07:11:51,0.067,33.29,8167424,6.09
2025-05-14 07:11:57,0.067,33.29,8425472,6.28
2025-05-14 07:12:02,0.069,34.50,8425472,6.28
2025-05-14 07:12:07,0.069,34.50,8425472,6.28
2025-05-14 07:12:12,0.069,34.50,8425472,6.28
2025-05-14 07:12:17,0.069,34.50,8425472,6.28
2025-05-14 07:12:22,0.069,34.50,8531968,6.36
2025-05-14 07:12:27,0.069,34.50,8531968,6.36
2025-05-14 07:12:33,0.030,15.24,8531968,6.36
2025-05-14 07:12:38,0.030,15.24,8531968,6.36
2025-05-14 07:12:43,0.030,15.24,8531968,6.36
2025-05-14 07:12:48,0.030,15.24,8531968,6.36
2025-05-14 07:12:53,0.030,15.24,8445952,6.29
2025-05-14 07:12:58,0.030,15.24,8445952,6.29
2025-05-14 07:13:03,0.061,30.26,8445952,6.29
2025-05-14 07:13:09,0.061,30.26,8445952,6.29
