timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 06:06:02,0.042,20.86,12005376,8.94
2025-05-14 06:06:07,0.042,20.86,12005376,8.94
2025-05-14 06:06:12,0.042,20.86,12259328,9.13
2025-05-14 06:06:17,0.042,20.86,12259328,9.13
2025-05-14 06:06:23,0.042,20.86,12259328,9.13
2025-05-14 06:06:28,0.042,20.86,12259328,9.13
2025-05-14 06:06:33,0.024,12.12,12259328,9.13
2025-05-14 06:06:38,0.024,12.12,12259328,9.13
2025-05-14 06:06:43,0.024,12.12,12328960,9.19
2025-05-14 06:06:49,0.024,12.12,12328960,9.19
2025-05-14 06:06:54,0.024,12.12,12328960,9.19
2025-05-14 06:06:59,0.024,12.12,12328960,9.19
2025-05-14 06:07:04,0.077,38.41,12328960,9.19
2025-05-14 06:07:09,0.077,38.41,12328960,9.19
2025-05-14 06:07:14,0.077,38.41,12750848,9.50
2025-05-14 06:07:19,0.077,38.41,12750848,9.50
2025-05-14 06:07:25,0.077,38.41,12750848,9.50
2025-05-14 06:07:30,0.077,38.41,12750848,9.50
2025-05-14 06:07:35,0.031,15.72,12750848,9.50
2025-05-14 06:07:40,0.031,15.72,12750848,9.50
2025-05-14 06:07:45,0.031,15.72,12574720,9.37
2025-05-14 06:07:51,0.031,15.72,12574720,9.37
2025-05-14 06:07:56,0.031,15.72,12574720,9.37
2025-05-14 06:08:01,0.078,38.98,12574720,9.37
2025-05-14 06:08:06,0.078,38.98,12574720,9.37
2025-05-14 06:08:11,0.078,38.98,12574720,9.37
2025-05-14 06:08:16,0.078,38.98,12623872,9.41
2025-05-14 06:08:22,0.078,38.98,12623872,9.41
2025-05-14 06:08:27,0.078,38.98,12623872,9.41
2025-05-14 06:08:32,0.026,12.82,12623872,9.41
2025-05-14 06:08:37,0.026,12.82,12623872,9.41
2025-05-14 06:08:42,0.026,12.82,12709888,9.47
2025-05-14 06:08:47,0.026,12.82,12709888,9.47
2025-05-14 06:08:53,0.026,12.82,12709888,9.47
2025-05-14 06:08:58,0.026,12.82,12709888,9.47
2025-05-14 06:09:03,0.068,34.23,12709888,9.47
2025-05-14 06:09:08,0.068,34.23,12709888,9.47
2025-05-14 06:09:13,0.068,34.23,12791808,9.53
2025-05-14 06:09:19,0.068,34.23,12791808,9.53
2025-05-14 06:09:24,0.068,34.23,12791808,9.53
2025-05-14 06:09:29,0.068,34.23,12791808,9.53
2025-05-14 06:09:34,0.054,27.07,12791808,9.53
2025-05-14 06:09:39,0.054,27.07,12791808,9.53
2025-05-14 06:09:44,0.054,27.07,13074432,9.74
2025-05-14 06:09:49,0.054,27.07,13074432,9.74
2025-05-14 06:09:55,0.054,27.07,13074432,9.74
2025-05-14 06:10:00,0.054,27.07,13074432,9.74
2025-05-14 06:10:05,0.034,17.01,13074432,9.74
2025-05-14 06:10:10,0.034,17.01,13074432,9.74
2025-05-14 06:10:15,0.034,17.01,12857344,9.58
2025-05-14 06:10:20,0.034,17.01,12857344,9.58
2025-05-14 06:10:26,0.034,17.01,12857344,9.58
2025-05-14 06:10:31,0.046,22.76,12857344,9.58
2025-05-14 06:10:36,0.046,22.76,12857344,9.58
2025-05-14 06:10:41,0.046,22.76,12857344,9.58
2025-05-14 06:10:46,0.046,22.76,13451264,10.02
2025-05-14 06:10:52,0.046,22.76,13451264,10.02
2025-05-14 06:10:57,0.046,22.76,13451264,10.02
2025-05-14 06:11:02,0.053,26.47,13451264,10.02
2025-05-14 06:11:07,0.053,26.47,13451264,10.02
2025-05-14 06:11:12,0.053,26.47,12947456,9.65
2025-05-14 06:11:17,0.053,26.47,12947456,9.65
2025-05-14 06:11:23,0.053,26.47,12947456,9.65
2025-05-14 06:11:28,0.053,26.47,12947456,9.65
2025-05-14 06:11:33,0.038,18.81,12947456,9.65
2025-05-14 06:11:38,0.038,18.81,12947456,9.65
2025-05-14 06:11:43,0.038,18.81,13115392,9.77
2025-05-14 06:11:48,0.038,18.81,13115392,9.77
2025-05-14 06:11:54,0.038,18.81,13115392,9.77
2025-05-14 06:11:59,0.038,18.81,13115392,9.77
2025-05-14 06:12:04,0.039,19.35,13115392,9.77
2025-05-14 06:12:09,0.039,19.35,13115392,9.77
2025-05-14 06:12:14,0.039,19.35,13246464,9.87
2025-05-14 06:12:19,0.039,19.35,13246464,9.87
2025-05-14 06:12:25,0.039,19.35,13246464,9.87
2025-05-14 06:12:30,0.039,19.35,13246464,9.87
2025-05-14 06:12:35,0.035,17.63,13246464,9.87
2025-05-14 06:12:40,0.035,17.63,13246464,9.87
