timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 04:15:05,1.936,62.44,451276800,84.06
2025-05-14 04:15:10,1.936,62.44,476192768,88.70
2025-05-14 04:15:15,1.936,62.44,476192768,88.70
2025-05-14 04:15:20,1.936,62.44,476192768,88.70
2025-05-14 04:15:25,1.936,62.44,476192768,88.70
2025-05-14 04:15:30,1.522,49.09,476192768,88.70
2025-05-14 04:15:36,1.522,49.09,476192768,88.70
2025-05-14 04:15:41,1.522,49.09,289615872,53.95
2025-05-14 04:15:46,1.522,49.09,289615872,53.95
2025-05-14 04:15:51,1.522,49.09,289615872,53.95
2025-05-14 04:15:56,1.522,49.09,289615872,53.95
2025-05-14 04:16:01,1.690,54.51,289615872,53.95
2025-05-14 04:16:06,1.690,54.51,477564928,88.95
2025-05-14 04:16:12,1.690,54.51,477564928,88.95
2025-05-14 04:16:17,1.690,54.51,477564928,88.95
2025-05-14 04:16:22,1.690,54.51,477564928,88.95
2025-05-14 04:16:27,1.690,54.51,477564928,88.95
2025-05-14 04:16:32,2.648,85.41,477564928,88.95
2025-05-14 04:16:37,2.648,85.41,287408128,53.53
2025-05-14 04:16:42,2.648,85.41,287408128,53.53
2025-05-14 04:16:48,2.648,85.41,287408128,53.53
2025-05-14 04:16:53,2.648,85.41,287408128,53.53
2025-05-14 04:16:58,2.648,85.41,287408128,53.53
2025-05-14 04:17:03,1.862,60.07,287408128,53.53
2025-05-14 04:17:08,1.862,60.07,457314304,85.18
2025-05-14 04:17:13,1.862,60.07,457314304,85.18
2025-05-14 04:17:18,1.862,60.07,457314304,85.18
2025-05-14 04:17:24,1.862,60.07,457314304,85.18
2025-05-14 04:17:29,1.862,60.07,457314304,85.18
2025-05-14 04:17:34,1.213,39.12,457314304,85.18
2025-05-14 04:17:39,1.213,39.12,463486976,86.33
2025-05-14 04:17:44,1.213,39.12,463486976,86.33
2025-05-14 04:17:49,1.213,39.12,463486976,86.33
2025-05-14 04:17:55,1.213,39.12,463486976,86.33
2025-05-14 04:18:00,1.213,39.12,463486976,86.33
2025-05-14 04:18:05,2.388,77.05,463486976,86.33
2025-05-14 04:18:10,2.388,77.05,343212032,63.93
2025-05-14 04:18:15,2.388,77.05,343212032,63.93
2025-05-14 04:18:20,2.388,77.05,343212032,63.93
2025-05-14 04:18:25,2.388,77.05,343212032,63.93
2025-05-14 04:18:31,1.357,43.76,343212032,63.93
2025-05-14 04:18:36,1.357,43.76,460292096,85.74
2025-05-14 04:18:41,1.357,43.76,460292096,85.74
2025-05-14 04:18:46,1.357,43.76,460292096,85.74
2025-05-14 04:18:51,1.357,43.76,460292096,85.74
2025-05-14 04:18:57,1.357,43.76,460292096,85.74
2025-05-14 04:19:02,1.957,63.14,460292096,85.74
2025-05-14 04:19:07,1.957,63.14,72634368,13.53
2025-05-14 04:19:12,1.957,63.14,72634368,13.53
2025-05-14 04:19:17,1.957,63.14,72634368,13.53
2025-05-14 04:19:22,1.957,63.14,72634368,13.53
2025-05-14 04:19:28,1.957,63.14,72634368,13.53
2025-05-14 04:19:33,1.492,48.14,72634368,13.53
