timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 04:30:33,1.906,61.49,438255616,81.63
2025-05-14 04:30:38,1.906,61.49,438255616,81.63
2025-05-14 04:30:44,1.906,61.49,445353984,82.95
2025-05-14 04:30:49,1.906,61.49,445353984,82.95
2025-05-14 04:30:54,1.906,61.49,445353984,82.95
2025-05-14 04:30:59,1.906,61.49,445353984,82.95
2025-05-14 04:31:04,1.464,47.23,445353984,82.95
2025-05-14 04:31:10,1.464,47.23,347705344,64.77
2025-05-14 04:31:15,1.464,47.23,347705344,64.77
2025-05-14 04:31:20,1.464,47.23,347705344,64.77
2025-05-14 04:31:25,1.464,47.23,347705344,64.77
2025-05-14 04:31:30,2.288,73.80,347705344,64.77
2025-05-14 04:31:36,2.288,73.80,347705344,64.77
2025-05-14 04:31:41,2.288,73.80,447926272,83.43
2025-05-14 04:31:46,2.288,73.80,447926272,83.43
2025-05-14 04:31:51,2.288,73.80,447926272,83.43
2025-05-14 04:31:56,2.288,73.80,447926272,83.43
2025-05-14 04:32:02,1.770,57.10,447926272,83.43
2025-05-14 04:32:07,1.770,57.10,447926272,83.43
2025-05-14 04:32:12,1.770,57.10,455155712,84.78
2025-05-14 04:32:17,1.770,57.10,455155712,84.78
2025-05-14 04:32:22,1.770,57.10,455155712,84.78
2025-05-14 04:32:28,1.770,57.10,455155712,84.78
2025-05-14 04:32:33,0.950,30.64,455155712,84.78
2025-05-14 04:32:38,0.950,30.64,455155712,84.78
2025-05-14 04:32:43,0.950,30.64,435113984,81.05
2025-05-14 04:32:49,0.950,30.64,435113984,81.05
2025-05-14 04:32:54,0.950,30.64,435113984,81.05
2025-05-14 04:32:59,0.950,30.64,435113984,81.05
2025-05-14 04:33:04,2.677,86.36,435113984,81.05
2025-05-14 04:33:10,2.677,86.36,443043840,82.52
2025-05-14 04:33:15,2.677,86.36,443043840,82.52
2025-05-14 04:33:20,2.677,86.36,443043840,82.52
2025-05-14 04:33:25,2.677,86.36,443043840,82.52
2025-05-14 04:33:30,1.024,33.05,443043840,82.52
2025-05-14 04:33:36,1.024,33.05,443043840,82.52
2025-05-14 04:33:41,1.024,33.05,347353088,64.70
2025-05-14 04:33:46,1.024,33.05,347353088,64.70
2025-05-14 04:33:51,1.024,33.05,347353088,64.70
2025-05-14 04:33:57,1.024,33.05,347353088,64.70
2025-05-14 04:34:02,2.053,66.22,347353088,64.70
2025-05-14 04:34:07,2.053,66.22,347353088,64.70
2025-05-14 04:34:13,2.053,66.22,455307264,84.81
2025-05-14 04:34:18,2.053,66.22,455307264,84.81
2025-05-14 04:34:23,2.053,66.22,455307264,84.81
2025-05-14 04:34:28,2.053,66.22,455307264,84.81
2025-05-14 04:34:34,1.867,60.24,455307264,84.81
2025-05-14 04:34:39,1.867,60.24,238051328,44.34
2025-05-14 04:34:44,1.867,60.24,238051328,44.34
2025-05-14 04:34:49,1.867,60.24,238051328,44.34
2025-05-14 04:34:55,1.867,60.24,238051328,44.34
2025-05-14 04:35:00,1.867,60.24,238051328,44.34
2025-05-14 04:35:05,1.802,58.13,238051328,44.34
2025-05-14 04:35:11,1.802,58.13,452100096,84.21
2025-05-14 04:35:16,1.802,58.13,452100096,84.21
2025-05-14 04:35:21,1.802,58.13,452100096,84.21
2025-05-14 04:35:26,1.802,58.13,452100096,84.21
2025-05-14 04:35:32,2.152,69.42,452100096,84.21
