timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 05:56:34,1.804,58.19,443142144,82.54
2025-05-14 05:56:39,1.804,58.19,443142144,82.54
2025-05-14 05:56:44,1.804,58.19,443142144,82.54
2025-05-14 05:56:49,1.804,58.19,443142144,82.54
2025-05-14 05:56:54,1.804,58.19,176738304,32.92
2025-05-14 05:57:00,1.804,58.19,176738304,32.92
2025-05-14 05:57:05,0.812,26.20,176738304,32.92
2025-05-14 05:57:10,0.812,26.20,176738304,32.92
2025-05-14 05:57:15,0.812,26.20,176738304,32.92
2025-05-14 05:57:20,0.812,26.20,176738304,32.92
2025-05-14 05:57:26,0.812,26.20,443748352,82.65
2025-05-14 05:57:31,2.200,70.97,443748352,82.65
2025-05-14 05:57:36,2.200,70.97,443748352,82.65
2025-05-14 05:57:41,2.200,70.97,443748352,82.65
2025-05-14 05:57:46,2.200,70.97,443748352,82.65
2025-05-14 05:57:51,2.200,70.97,443748352,82.65
2025-05-14 05:57:57,2.200,70.97,442892288,82.50
2025-05-14 05:58:02,1.829,59.01,442892288,82.50
2025-05-14 05:58:07,1.829,59.01,442892288,82.50
2025-05-14 05:58:12,1.829,59.01,442892288,82.50
2025-05-14 05:58:17,1.829,59.01,442892288,82.50
2025-05-14 05:58:23,1.829,59.01,442892288,82.50
2025-05-14 05:58:28,1.829,59.01,384294912,71.58
2025-05-14 05:58:33,1.535,49.51,384294912,71.58
2025-05-14 05:58:38,1.535,49.51,384294912,71.58
2025-05-14 05:58:43,1.535,49.51,384294912,71.58
2025-05-14 05:58:48,1.535,49.51,384294912,71.58
2025-05-14 05:58:54,1.535,49.51,384294912,71.58
2025-05-14 05:58:59,1.535,49.51,423960576,78.97
2025-05-14 05:59:04,1.795,57.91,423960576,78.97
2025-05-14 05:59:09,1.795,57.91,423960576,78.97
2025-05-14 05:59:14,1.795,57.91,423960576,78.97
2025-05-14 05:59:19,1.795,57.91,423960576,78.97
2025-05-14 05:59:25,1.795,57.91,351498240,65.47
2025-05-14 05:59:30,1.795,57.91,351498240,65.47
2025-05-14 05:59:35,2.310,74.52,351498240,65.47
2025-05-14 05:59:40,2.310,74.52,351498240,65.47
2025-05-14 05:59:45,2.310,74.52,351498240,65.47
2025-05-14 05:59:51,2.310,74.52,351498240,65.47
2025-05-14 05:59:56,2.310,74.52,436047872,81.22
2025-05-14 06:00:01,1.082,34.92,436047872,81.22
2025-05-14 06:00:06,1.082,34.92,436047872,81.22
2025-05-14 06:00:11,1.082,34.92,436047872,81.22
2025-05-14 06:00:16,1.082,34.92,436047872,81.22
2025-05-14 06:00:22,1.082,34.92,436047872,81.22
2025-05-14 06:00:27,1.082,34.92,461303808,85.92
2025-05-14 06:00:32,1.824,58.85,461303808,85.92
2025-05-14 06:00:37,1.824,58.85,461303808,85.92
2025-05-14 06:00:42,1.824,58.85,461303808,85.92
2025-05-14 06:00:47,1.824,58.85,461303808,85.92
2025-05-14 06:00:52,1.824,58.85,461303808,85.92
2025-05-14 06:00:58,1.824,58.85,457592832,85.23
2025-05-14 06:01:03,2.986,96.31,457592832,85.23
2025-05-14 06:01:08,2.986,96.31,457592832,85.23
2025-05-14 06:01:13,2.986,96.31,457592832,85.23
2025-05-14 06:01:18,2.986,96.31,457592832,85.23
2025-05-14 06:01:23,2.986,96.31,457592832,85.23
2025-05-14 06:01:28,2.986,96.31,483004416,89.97
2025-05-14 06:01:34,1.496,48.25,483004416,89.97
2025-05-14 06:01:39,1.496,48.25,483004416,89.97
2025-05-14 06:01:44,1.496,48.25,483004416,89.97
2025-05-14 06:01:49,1.496,48.25,483004416,89.97
2025-05-14 06:01:54,1.496,48.25,249278464,46.43
2025-05-14 06:01:59,1.496,48.25,249278464,46.43
2025-05-14 06:02:04,1.318,42.53,249278464,46.43
2025-05-14 06:02:10,1.318,42.53,249278464,46.43
2025-05-14 06:02:15,1.318,42.53,249278464,46.43
2025-05-14 06:02:20,1.318,42.53,249278464,46.43
2025-05-14 06:02:25,1.318,42.53,459223040,85.54
2025-05-14 06:02:30,1.318,42.53,459223040,85.54
2025-05-14 06:02:35,1.836,59.22,459223040,85.54
2025-05-14 06:02:40,1.836,59.22,459223040,85.54
2025-05-14 06:02:45,1.836,59.22,459223040,85.54
2025-05-14 06:02:51,1.836,59.22,459223040,85.54
2025-05-14 06:02:56,1.836,59.22,61181952,11.40
2025-05-14 06:03:01,2.057,66.36,61181952,11.40
2025-05-14 06:03:06,2.057,66.36,61181952,11.40
2025-05-14 06:03:11,2.057,66.36,61181952,11.40
2025-05-14 06:03:16,2.057,66.36,61181952,11.40
2025-05-14 06:03:21,2.057,66.36,61181952,11.40
2025-05-14 06:03:27,2.057,66.36,451993600,84.19
2025-05-14 06:03:32,2.142,69.09,451993600,84.19
2025-05-14 06:03:37,2.142,69.09,451993600,84.19
2025-05-14 06:03:42,2.142,69.09,451993600,84.19
2025-05-14 06:03:47,2.142,69.09,451993600,84.19
2025-05-14 06:03:52,2.142,69.09,451993600,84.19
2025-05-14 06:03:58,2.142,69.09,435589120,81.13
2025-05-14 06:04:03,1.605,51.79,435589120,81.13
2025-05-14 06:04:08,1.605,51.79,435589120,81.13
2025-05-14 06:04:13,1.605,51.79,435589120,81.13
2025-05-14 06:04:18,1.605,51.79,435589120,81.13
2025-05-14 06:04:23,1.605,51.79,435589120,81.13
2025-05-14 06:04:29,1.605,51.79,346148864,64.48
2025-05-14 06:04:34,2.066,66.63,346148864,64.48
2025-05-14 06:04:39,2.066,66.63,346148864,64.48
2025-05-14 06:04:44,2.066,66.63,346148864,64.48
2025-05-14 06:04:49,2.066,66.63,346148864,64.48
2025-05-14 06:04:55,2.066,66.63,460603392,85.79
2025-05-14 06:05:00,2.066,66.63,460603392,85.79
2025-05-14 06:05:05,1.758,56.71,460603392,85.79
2025-05-14 06:05:10,1.758,56.71,460603392,85.79
2025-05-14 06:05:15,1.758,56.71,460603392,85.79
2025-05-14 06:05:21,1.758,56.71,460603392,85.79
2025-05-14 06:05:26,1.758,56.71,61181952,11.40
2025-05-14 06:05:31,1.501,48.41,61181952,11.40
2025-05-14 06:05:36,1.501,48.41,61181952,11.40
2025-05-14 06:05:41,1.501,48.41,61181952,11.40
2025-05-14 06:05:46,1.501,48.41,61181952,11.40
2025-05-14 06:05:52,1.501,48.41,61181952,11.40
2025-05-14 06:05:57,1.501,48.41,388648960,72.39
2025-05-14 06:06:02,2.219,71.58,388648960,72.39
2025-05-14 06:06:07,2.219,71.58,388648960,72.39
2025-05-14 06:06:12,2.219,71.58,388648960,72.39
2025-05-14 06:06:17,2.219,71.58,388648960,72.39
2025-05-14 06:06:23,2.219,71.58,388648960,72.39
2025-05-14 06:06:28,2.219,71.58,417787904,77.82
2025-05-14 06:06:33,1.661,53.57,417787904,77.82
2025-05-14 06:06:38,1.661,53.57,417787904,77.82
2025-05-14 06:06:43,1.661,53.57,417787904,77.82
2025-05-14 06:06:49,1.661,53.57,417787904,77.82
2025-05-14 06:06:54,1.661,53.57,364318720,67.86
2025-05-14 06:06:59,1.661,53.57,364318720,67.86
2025-05-14 06:07:04,2.272,73.28,364318720,67.86
2025-05-14 06:07:09,2.272,73.28,364318720,67.86
2025-05-14 06:07:14,2.272,73.28,364318720,67.86
