timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 04:36:04,0.912,29.42,308908032,57.54
2025-05-14 04:36:09,0.912,29.42,308908032,57.54
2025-05-14 04:36:14,0.912,29.42,436572160,81.32
2025-05-14 04:36:20,0.912,29.42,436572160,81.32
2025-05-14 04:36:25,0.912,29.42,436572160,81.32
2025-05-14 04:36:30,1.803,58.17,436572160,81.32
2025-05-14 04:36:36,1.803,58.17,436572160,81.32
2025-05-14 04:36:41,1.803,58.17,443543552,82.62
2025-05-14 04:36:46,1.803,58.17,443543552,82.62
2025-05-14 04:36:52,1.803,58.17,443543552,82.62
2025-05-14 04:36:57,1.803,58.17,443543552,82.62
2025-05-14 04:37:02,1.329,42.89,443543552,82.62
2025-05-14 04:37:08,1.329,42.89,443543552,82.62
2025-05-14 04:37:13,1.329,42.89,428744704,79.86
2025-05-14 04:37:18,1.329,42.89,428744704,79.86
2025-05-14 04:37:24,1.329,42.89,428744704,79.86
2025-05-14 04:37:29,1.329,42.89,428744704,79.86
2025-05-14 04:37:34,2.453,79.12,428744704,79.86
2025-05-14 04:37:39,2.453,79.12,428744704,79.86
2025-05-14 04:37:45,2.453,79.12,436113408,81.23
2025-05-14 04:37:50,2.453,79.12,436113408,81.23
2025-05-14 04:37:55,2.453,79.12,436113408,81.23
2025-05-14 04:38:00,2.453,79.12,436113408,81.23
2025-05-14 04:38:05,1.526,49.24,436113408,81.23
2025-05-14 04:38:11,1.526,49.24,436113408,81.23
2025-05-14 04:38:16,1.526,49.24,228229120,42.51
2025-05-14 04:38:21,1.526,49.24,228229120,42.51
2025-05-14 04:38:26,1.526,49.24,228229120,42.51
2025-05-14 04:38:31,1.257,40.54,228229120,42.51
2025-05-14 04:38:37,1.257,40.54,228229120,42.51
2025-05-14 04:38:42,1.257,40.54,462106624,86.07
2025-05-14 04:38:47,1.257,40.54,462106624,86.07
2025-05-14 04:38:52,1.257,40.54,462106624,86.07
2025-05-14 04:38:57,1.257,40.54,462106624,86.07
2025-05-14 04:39:03,2.272,73.28,462106624,86.07
2025-05-14 04:39:08,2.272,73.28,462106624,86.07
2025-05-14 04:39:13,2.272,73.28,75202560,14.01
2025-05-14 04:39:18,2.272,73.28,75202560,14.01
2025-05-14 04:39:23,2.272,73.28,75202560,14.01
2025-05-14 04:39:29,2.272,73.28,75202560,14.01
2025-05-14 04:39:34,1.751,56.47,75202560,14.01
2025-05-14 04:39:39,1.751,56.47,75202560,14.01
2025-05-14 04:39:44,1.751,56.47,465248256,86.66
2025-05-14 04:39:49,1.751,56.47,465248256,86.66
2025-05-14 04:39:55,1.751,56.47,465248256,86.66
2025-05-14 04:40:00,1.751,56.47,465248256,86.66
2025-05-14 04:40:05,1.985,64.03,465248256,86.66
2025-05-14 04:40:10,1.985,64.03,465248256,86.66
2025-05-14 04:40:15,1.985,64.03,504266752,93.93
2025-05-14 04:40:21,1.985,64.03,504266752,93.93
2025-05-14 04:40:26,1.985,64.03,504266752,93.93
2025-05-14 04:40:31,1.915,61.77,504266752,93.93
2025-05-14 04:40:36,1.915,61.77,504266752,93.93
2025-05-14 04:40:41,1.915,61.77,298168320,55.54
2025-05-14 04:40:46,1.915,61.77,298168320,55.54
2025-05-14 04:40:52,1.915,61.77,298168320,55.54
2025-05-14 04:40:57,1.915,61.77,298168320,55.54
2025-05-14 04:41:02,1.301,41.96,298168320,55.54
2025-05-14 04:41:07,1.301,41.96,298168320,55.54
2025-05-14 04:41:12,1.301,41.96,478502912,89.13
2025-05-14 04:41:17,1.301,41.96,478502912,89.13
2025-05-14 04:41:23,1.301,41.96,478502912,89.13
2025-05-14 04:41:28,1.301,41.96,478502912,89.13
2025-05-14 04:41:33,2.003,64.60,478502912,89.13
2025-05-14 04:41:38,2.003,64.60,478502912,89.13
2025-05-14 04:41:43,2.003,64.60,93622272,17.44
2025-05-14 04:41:48,2.003,64.60,93622272,17.44
2025-05-14 04:41:54,2.003,64.60,93622272,17.44
2025-05-14 04:41:59,2.003,64.60,93622272,17.44
2025-05-14 04:42:04,1.742,56.21,93622272,17.44
2025-05-14 04:42:09,1.742,56.21,93622272,17.44
2025-05-14 04:42:14,1.742,56.21,410083328,76.38
2025-05-14 04:42:19,1.742,56.21,410083328,76.38
2025-05-14 04:42:24,1.742,56.21,410083328,76.38
2025-05-14 04:42:30,1.742,56.21,410083328,76.38
2025-05-14 04:42:35,2.088,67.37,410083328,76.38
2025-05-14 04:42:40,2.088,67.37,410083328,76.38
2025-05-14 04:42:45,2.088,67.37,429129728,79.93
2025-05-14 04:42:50,2.088,67.37,429129728,79.93
2025-05-14 04:42:55,2.088,67.37,429129728,79.93
2025-05-14 04:43:01,1.416,45.68,429129728,79.93
2025-05-14 04:43:06,1.416,45.68,429129728,79.93
2025-05-14 04:43:11,1.416,45.68,413822976,77.08
2025-05-14 04:43:16,1.416,45.68,413822976,77.08
2025-05-14 04:43:21,1.416,45.68,413822976,77.08
2025-05-14 04:43:26,1.416,45.68,413822976,77.08
2025-05-14 04:43:32,2.094,67.55,413822976,77.08
2025-05-14 04:43:37,2.094,67.55,413822976,77.08
2025-05-14 04:43:42,2.094,67.55,505790464,94.21
2025-05-14 04:43:47,2.094,67.55,505790464,94.21
2025-05-14 04:43:52,2.094,67.55,505790464,94.21
2025-05-14 04:43:57,2.094,67.55,505790464,94.21
2025-05-14 04:44:03,1.731,55.84,505790464,94.21
2025-05-14 04:44:08,1.731,55.84,505790464,94.21
2025-05-14 04:44:13,1.731,55.84,139943936,26.07
2025-05-14 04:44:18,1.731,55.84,139943936,26.07
2025-05-14 04:44:23,1.731,55.84,139943936,26.07
2025-05-14 04:44:28,1.731,55.84,139943936,26.07
2025-05-14 04:44:34,1.454,46.89,139943936,26.07
2025-05-14 04:44:39,1.454,46.89,139943936,26.07
2025-05-14 04:44:44,1.454,46.89,491585536,91.56
2025-05-14 04:44:49,1.454,46.89,491585536,91.56
2025-05-14 04:44:54,1.454,46.89,491585536,91.56
2025-05-14 04:44:59,1.454,46.89,491585536,91.56
2025-05-14 04:45:04,1.970,63.56,491585536,91.56
2025-05-14 04:45:10,1.970,63.56,491585536,91.56
2025-05-14 04:45:15,1.970,63.56,494972928,92.20
2025-05-14 04:45:20,1.970,63.56,494972928,92.20
2025-05-14 04:45:25,1.970,63.56,494972928,92.20
2025-05-14 04:45:30,1.970,63.56,494972928,92.20
2025-05-14 04:45:35,1.773,57.20,494972928,92.20
2025-05-14 04:45:40,1.773,57.20,494972928,92.20
2025-05-14 04:45:45,1.773,57.20,332505088,61.93
2025-05-14 04:45:51,1.773,57.20,332505088,61.93
2025-05-14 04:45:56,1.773,57.20,332505088,61.93
2025-05-14 04:46:01,1.465,47.26,332505088,61.93
2025-05-14 04:46:06,1.465,47.26,332505088,61.93
2025-05-14 04:46:11,1.465,47.26,480915456,89.58
2025-05-14 04:46:16,1.465,47.26,480915456,89.58
2025-05-14 04:46:21,1.465,47.26,480915456,89.58
2025-05-14 04:46:27,1.465,47.26,480915456,89.58
2025-05-14 04:46:32,1.710,55.15,480915456,89.58
2025-05-14 04:46:37,1.710,55.15,480915456,89.58
2025-05-14 04:46:42,1.710,55.15,108478464,20.21
2025-05-14 04:46:47,1.710,55.15,108478464,20.21
2025-05-14 04:46:52,1.710,55.15,108478464,20.21
2025-05-14 04:46:57,1.710,55.15,108478464,20.21
2025-05-14 04:47:02,2.053,66.24,108478464,20.21
2025-05-14 04:47:08,2.053,66.24,108478464,20.21
