timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 04:18:31,0.278,55.59,55504896,41.35
2025-05-14 04:18:36,0.278,55.59,55504896,41.35
2025-05-14 04:18:41,0.278,55.59,55504896,41.35
2025-05-14 04:18:46,0.278,55.59,56922112,42.41
2025-05-14 04:18:51,0.278,55.59,56922112,42.41
2025-05-14 04:18:57,0.278,55.59,56922112,42.41
2025-05-14 04:19:02,0.358,71.69,56922112,42.41
2025-05-14 04:19:07,0.358,71.69,56922112,42.41
2025-05-14 04:19:12,0.358,71.69,56922112,42.41
2025-05-14 04:19:17,0.358,71.69,56664064,42.22
2025-05-14 04:19:22,0.358,71.69,56664064,42.22
2025-05-14 04:19:28,0.358,71.69,56664064,42.22
2025-05-14 04:19:33,0.476,95.20,56664064,42.22
2025-05-14 04:19:38,0.476,95.20,56664064,42.22
2025-05-14 04:19:43,0.476,95.20,56664064,42.22
2025-05-14 04:19:48,0.476,95.20,56737792,42.27
2025-05-14 04:19:53,0.476,95.20,56737792,42.27
2025-05-14 04:19:58,0.476,95.20,56737792,42.27
2025-05-14 04:20:04,0.482,96.33,56737792,42.27
2025-05-14 04:20:09,0.482,96.33,56737792,42.27
2025-05-14 04:20:14,0.482,96.33,56737792,42.27
2025-05-14 04:20:19,0.482,96.33,57053184,42.51
2025-05-14 04:20:24,0.482,96.33,57053184,42.51
2025-05-14 04:20:29,0.482,96.33,57053184,42.51
2025-05-14 04:20:35,0.173,34.66,57053184,42.51
2025-05-14 04:20:40,0.173,34.66,57053184,42.51
2025-05-14 04:20:45,0.173,34.66,57040896,42.50
2025-05-14 04:20:50,0.173,34.66,57040896,42.50
2025-05-14 04:20:55,0.173,34.66,57040896,42.50
2025-05-14 04:21:01,0.597,119.39,57040896,42.50
2025-05-14 04:21:06,0.597,119.39,57040896,42.50
2025-05-14 04:21:11,0.597,119.39,57040896,42.50
2025-05-14 04:21:16,0.597,119.39,58499072,43.59
2025-05-14 04:21:21,0.597,119.39,58499072,43.59
2025-05-14 04:21:26,0.597,119.39,58499072,43.59
2025-05-14 04:21:32,0.324,64.75,58499072,43.59
2025-05-14 04:21:37,0.324,64.75,58499072,43.59
2025-05-14 04:21:42,0.324,64.75,58499072,43.59
2025-05-14 04:21:47,0.324,64.75,58052608,43.25
2025-05-14 04:21:52,0.324,64.75,58052608,43.25
2025-05-14 04:21:58,0.324,64.75,58052608,43.25
2025-05-14 04:22:03,0.365,72.98,58052608,43.25
2025-05-14 04:22:08,0.365,72.98,58052608,43.25
2025-05-14 04:22:13,0.365,72.98,58052608,43.25
2025-05-14 04:22:18,0.365,72.98,57593856,42.91
2025-05-14 04:22:23,0.365,72.98,57593856,42.91
2025-05-14 04:22:29,0.365,72.98,57593856,42.91
2025-05-14 04:22:34,0.377,75.44,57593856,42.91
2025-05-14 04:22:39,0.377,75.44,57593856,42.91
2025-05-14 04:22:44,0.377,75.44,57593856,42.91
2025-05-14 04:22:49,0.377,75.44,57819136,43.08
2025-05-14 04:22:55,0.377,75.44,57819136,43.08
2025-05-14 04:23:00,0.377,75.44,57819136,43.08
2025-05-14 04:23:05,0.192,38.32,57819136,43.08
2025-05-14 04:23:10,0.192,38.32,57819136,43.08
2025-05-14 04:23:15,0.192,38.32,57487360,42.83
2025-05-14 04:23:21,0.192,38.32,57487360,42.83
2025-05-14 04:23:26,0.192,38.32,57487360,42.83
2025-05-14 04:23:31,0.311,62.14,57487360,42.83
2025-05-14 04:23:36,0.311,62.14,57487360,42.83
2025-05-14 04:23:41,0.311,62.14,57487360,42.83
2025-05-14 04:23:47,0.311,62.14,57458688,42.81
2025-05-14 04:23:52,0.311,62.14,57458688,42.81
2025-05-14 04:23:57,0.311,62.14,57458688,42.81
2025-05-14 04:24:02,0.270,54.09,57458688,42.81
2025-05-14 04:24:08,0.270,54.09,57458688,42.81
2025-05-14 04:24:13,0.270,54.09,57458688,42.81
2025-05-14 04:24:18,0.270,54.09,57180160,42.60
2025-05-14 04:24:23,0.270,54.09,57180160,42.60
2025-05-14 04:24:28,0.270,54.09,57180160,42.60
2025-05-14 04:24:34,0.169,33.89,57180160,42.60
2025-05-14 04:24:39,0.169,33.89,57180160,42.60
2025-05-14 04:24:44,0.169,33.89,57180160,42.60
2025-05-14 04:24:49,0.169,33.89,57073664,42.52
2025-05-14 04:24:55,0.169,33.89,57073664,42.52
2025-05-14 04:25:00,0.169,33.89,57073664,42.52
