timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 06:47:32,0.439,87.87,58527744,43.61
2025-05-14 06:47:37,0.439,87.87,58527744,43.61
2025-05-14 06:47:43,0.439,87.87,58527744,43.61
2025-05-14 06:47:48,0.439,87.87,58527744,43.61
2025-05-14 06:47:53,0.439,87.87,58527744,43.61
2025-05-14 06:47:58,0.439,87.87,58941440,43.91
2025-05-14 06:48:03,0.232,46.46,58941440,43.91
2025-05-14 06:48:08,0.232,46.46,58941440,43.91
2025-05-14 06:48:13,0.232,46.46,58941440,43.91
2025-05-14 06:48:18,0.232,46.46,58941440,43.91
2025-05-14 06:48:24,0.232,46.46,58941440,43.91
2025-05-14 06:48:29,0.232,46.46,59785216,44.54
2025-05-14 06:48:34,0.603,120.65,59785216,44.54
2025-05-14 06:48:39,0.603,120.65,59785216,44.54
2025-05-14 06:48:44,0.603,120.65,59785216,44.54
2025-05-14 06:48:50,0.603,120.65,59785216,44.54
2025-05-14 06:48:55,0.603,120.65,59785216,44.54
2025-05-14 06:49:00,0.603,120.65,59428864,44.28
2025-05-14 06:49:05,0.453,90.56,59428864,44.28
2025-05-14 06:49:10,0.453,90.56,59428864,44.28
2025-05-14 06:49:15,0.453,90.56,59428864,44.28
2025-05-14 06:49:21,0.453,90.56,59428864,44.28
2025-05-14 06:49:26,0.453,90.56,59428864,44.28
2025-05-14 06:49:31,0.488,97.55,59379712,44.24
2025-05-14 06:49:36,0.488,97.55,59379712,44.24
2025-05-14 06:49:41,0.488,97.55,59379712,44.24
2025-05-14 06:49:46,0.488,97.55,59379712,44.24
2025-05-14 06:49:52,0.488,97.55,59379712,44.24
2025-05-14 06:49:57,0.488,97.55,59305984,44.19
2025-05-14 06:50:02,0.255,50.95,59305984,44.19
2025-05-14 06:50:07,0.255,50.95,59305984,44.19
2025-05-14 06:50:12,0.255,50.95,59305984,44.19
2025-05-14 06:50:17,0.255,50.95,59305984,44.19
2025-05-14 06:50:22,0.255,50.95,59305984,44.19
2025-05-14 06:50:28,0.255,50.95,59285504,44.17
2025-05-14 06:50:33,0.491,98.18,59285504,44.17
2025-05-14 06:50:38,0.491,98.18,59285504,44.17
2025-05-14 06:50:43,0.491,98.18,59285504,44.17
2025-05-14 06:50:48,0.491,98.18,59285504,44.17
2025-05-14 06:50:53,0.491,98.18,59285504,44.17
2025-05-14 06:50:58,0.491,98.18,59740160,44.51
2025-05-14 06:51:03,0.570,113.94,59740160,44.51
2025-05-14 06:51:09,0.570,113.94,59740160,44.51
2025-05-14 06:51:14,0.570,113.94,59740160,44.51
2025-05-14 06:51:19,0.570,113.94,59740160,44.51
2025-05-14 06:51:24,0.570,113.94,59740160,44.51
2025-05-14 06:51:29,0.570,113.94,58830848,43.83
2025-05-14 06:51:34,0.218,43.61,58830848,43.83
2025-05-14 06:51:39,0.218,43.61,58830848,43.83
2025-05-14 06:51:44,0.218,43.61,58830848,43.83
2025-05-14 06:51:49,0.218,43.61,58830848,43.83
2025-05-14 06:51:55,0.218,43.61,58830848,43.83
2025-05-14 06:52:00,0.218,43.61,59129856,44.06
2025-05-14 06:52:05,0.256,51.16,59129856,44.06
2025-05-14 06:52:10,0.256,51.16,59129856,44.06
2025-05-14 06:52:15,0.256,51.16,59129856,44.06
2025-05-14 06:52:20,0.256,51.16,59129856,44.06
2025-05-14 06:52:25,0.256,51.16,59129856,44.06
2025-05-14 06:52:30,0.256,51.16,58765312,43.78
2025-05-14 06:52:35,0.297,59.38,58765312,43.78
2025-05-14 06:52:41,0.297,59.38,58765312,43.78
2025-05-14 06:52:46,0.297,59.38,58765312,43.78
2025-05-14 06:52:51,0.297,59.38,58765312,43.78
2025-05-14 06:52:56,0.297,59.38,58765312,43.78
2025-05-14 06:53:01,0.200,40.03,58687488,43.73
2025-05-14 06:53:06,0.200,40.03,58687488,43.73
2025-05-14 06:53:11,0.200,40.03,58687488,43.73
2025-05-14 06:53:16,0.200,40.03,58687488,43.73
2025-05-14 06:53:21,0.200,40.03,58687488,43.73
2025-05-14 06:53:27,0.200,40.03,58781696,43.80
2025-05-14 06:53:32,0.137,27.34,58781696,43.80
2025-05-14 06:53:37,0.137,27.34,58781696,43.80
2025-05-14 06:53:42,0.137,27.34,58781696,43.80
2025-05-14 06:53:47,0.137,27.34,58781696,43.80
2025-05-14 06:53:52,0.137,27.34,58781696,43.80
2025-05-14 06:53:57,0.137,27.34,58576896,43.64
2025-05-14 06:54:02,0.195,38.98,58576896,43.64
2025-05-14 06:54:07,0.195,38.98,58576896,43.64
2025-05-14 06:54:13,0.195,38.98,58576896,43.64
2025-05-14 06:54:18,0.195,38.98,58576896,43.64
2025-05-14 06:54:23,0.195,38.98,58576896,43.64
2025-05-14 06:54:28,0.195,38.98,58544128,43.62
2025-05-14 06:54:33,0.156,31.12,58544128,43.62
2025-05-14 06:54:38,0.156,31.12,58544128,43.62
2025-05-14 06:54:43,0.156,31.12,58544128,43.62
2025-05-14 06:54:48,0.156,31.12,58544128,43.62
2025-05-14 06:54:53,0.156,31.12,58544128,43.62
2025-05-14 06:54:59,0.156,31.12,58073088,43.27
2025-05-14 06:55:04,0.200,39.90,58073088,43.27
2025-05-14 06:55:09,0.200,39.90,58073088,43.27
2025-05-14 06:55:14,0.200,39.90,58073088,43.27
2025-05-14 06:55:19,0.200,39.90,58073088,43.27
2025-05-14 06:55:24,0.200,39.90,58073088,43.27
2025-05-14 06:55:29,0.200,39.90,58138624,43.32
2025-05-14 06:55:34,0.273,54.67,58138624,43.32
2025-05-14 06:55:40,0.273,54.67,58138624,43.32
2025-05-14 06:55:45,0.273,54.67,58138624,43.32
2025-05-14 06:55:50,0.273,54.67,58138624,43.32
2025-05-14 06:55:55,0.273,54.67,58138624,43.32
