timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 06:38:32,0.296,59.27,60055552,44.74
2025-05-14 06:38:37,0.296,59.27,60055552,44.74
2025-05-14 06:38:42,0.296,59.27,60055552,44.74
2025-05-14 06:38:47,0.296,59.27,60055552,44.74
2025-05-14 06:38:52,0.296,59.27,60055552,44.74
2025-05-14 06:38:57,0.296,59.27,60055552,44.74
2025-05-14 06:39:03,0.527,105.44,60076032,44.76
2025-05-14 06:39:08,0.527,105.44,60076032,44.76
2025-05-14 06:39:13,0.527,105.44,60076032,44.76
2025-05-14 06:39:18,0.527,105.44,60076032,44.76
2025-05-14 06:39:23,0.527,105.44,60076032,44.76
2025-05-14 06:39:28,0.527,105.44,60522496,45.09
2025-05-14 06:39:33,0.359,71.73,60522496,45.09
2025-05-14 06:39:39,0.359,71.73,60522496,45.09
2025-05-14 06:39:44,0.359,71.73,60522496,45.09
2025-05-14 06:39:49,0.359,71.73,60522496,45.09
2025-05-14 06:39:54,0.359,71.73,60522496,45.09
2025-05-14 06:39:59,0.359,71.73,60796928,45.30
2025-05-14 06:40:04,0.452,90.35,60796928,45.30
2025-05-14 06:40:10,0.452,90.35,60796928,45.30
2025-05-14 06:40:15,0.452,90.35,60796928,45.30
2025-05-14 06:40:20,0.452,90.35,60796928,45.30
2025-05-14 06:40:25,0.452,90.35,60796928,45.30
2025-05-14 06:40:30,0.452,90.35,60665856,45.20
2025-05-14 06:40:35,0.518,103.69,60665856,45.20
2025-05-14 06:40:40,0.518,103.69,60665856,45.20
2025-05-14 06:40:45,0.518,103.69,60665856,45.20
2025-05-14 06:40:51,0.518,103.69,60665856,45.20
2025-05-14 06:40:56,0.518,103.69,60665856,45.20
2025-05-14 06:41:01,0.424,84.75,60207104,44.86
2025-05-14 06:41:06,0.424,84.75,60207104,44.86
2025-05-14 06:41:11,0.424,84.75,60207104,44.86
2025-05-14 06:41:16,0.424,84.75,60207104,44.86
2025-05-14 06:41:21,0.424,84.75,60207104,44.86
2025-05-14 06:41:27,0.424,84.75,60207104,44.86
2025-05-14 06:41:32,0.338,67.52,60170240,44.83
2025-05-14 06:41:37,0.338,67.52,60170240,44.83
2025-05-14 06:41:42,0.338,67.52,60170240,44.83
2025-05-14 06:41:47,0.338,67.52,60170240,44.83
2025-05-14 06:41:52,0.338,67.52,60170240,44.83
2025-05-14 06:41:57,0.338,67.52,60170240,44.83
2025-05-14 06:42:03,0.370,74.01,59863040,44.60
2025-05-14 06:42:08,0.370,74.01,59863040,44.60
2025-05-14 06:42:13,0.370,74.01,59863040,44.60
2025-05-14 06:42:18,0.370,74.01,59863040,44.60
2025-05-14 06:42:23,0.370,74.01,59863040,44.60
2025-05-14 06:42:28,0.370,74.01,59842560,44.59
2025-05-14 06:42:34,0.216,43.21,59842560,44.59
2025-05-14 06:42:40,0.216,43.21,59842560,44.59
2025-05-14 06:42:45,0.216,43.21,59842560,44.59
2025-05-14 06:42:50,0.216,43.21,59842560,44.59
2025-05-14 06:42:56,0.216,43.21,59842560,44.59
2025-05-14 06:43:01,0.190,38.02,59772928,44.53
2025-05-14 06:43:06,0.190,38.02,59772928,44.53
2025-05-14 06:43:11,0.190,38.02,59772928,44.53
2025-05-14 06:43:16,0.190,38.02,59772928,44.53
2025-05-14 06:43:21,0.190,38.02,59772928,44.53
2025-05-14 06:43:26,0.190,38.02,59772928,44.53
2025-05-14 06:43:32,0.245,49.03,59850752,44.59
2025-05-14 06:43:37,0.245,49.03,59850752,44.59
2025-05-14 06:43:42,0.245,49.03,59850752,44.59
2025-05-14 06:43:47,0.245,49.03,59850752,44.59
2025-05-14 06:43:52,0.245,49.03,59850752,44.59
