timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 05:03:03,0.314,62.80,58560512,43.63
2025-05-14 05:03:08,0.314,62.80,58560512,43.63
2025-05-14 05:03:13,0.314,62.80,58560512,43.63
2025-05-14 05:03:19,0.314,62.80,59445248,44.29
2025-05-14 05:03:24,0.314,62.80,59445248,44.29
2025-05-14 05:03:29,0.314,62.80,59445248,44.29
2025-05-14 05:03:34,0.372,74.41,59445248,44.29
2025-05-14 05:03:39,0.372,74.41,59445248,44.29
2025-05-14 05:03:45,0.372,74.41,59445248,44.29
2025-05-14 05:03:50,0.372,74.41,59666432,44.45
2025-05-14 05:03:55,0.372,74.41,59666432,44.45
2025-05-14 05:04:00,0.372,74.41,59666432,44.45
2025-05-14 05:04:05,0.556,111.12,59666432,44.45
2025-05-14 05:04:11,0.556,111.12,59666432,44.45
2025-05-14 05:04:16,0.556,111.12,58834944,43.84
2025-05-14 05:04:21,0.556,111.12,58834944,43.84
2025-05-14 05:04:26,0.556,111.12,58834944,43.84
2025-05-14 05:04:31,0.392,78.47,58834944,43.84
2025-05-14 05:04:37,0.392,78.47,58834944,43.84
2025-05-14 05:04:42,0.392,78.47,58834944,43.84
2025-05-14 05:04:47,0.392,78.47,60702720,45.23
2025-05-14 05:04:52,0.392,78.47,60702720,45.23
2025-05-14 05:04:57,0.392,78.47,60702720,45.23
2025-05-14 05:05:03,0.579,115.86,60702720,45.23
2025-05-14 05:05:08,0.579,115.86,60702720,45.23
2025-05-14 05:05:13,0.579,115.86,60702720,45.23
2025-05-14 05:05:18,0.579,115.86,60039168,44.73
2025-05-14 05:05:23,0.579,115.86,60039168,44.73
2025-05-14 05:05:29,0.579,115.86,60039168,44.73
2025-05-14 05:05:34,0.253,50.64,60039168,44.73
2025-05-14 05:05:39,0.253,50.64,60039168,44.73
2025-05-14 05:05:44,0.253,50.64,60039168,44.73
2025-05-14 05:05:49,0.253,50.64,60043264,44.74
2025-05-14 05:05:55,0.253,50.64,60043264,44.74
2025-05-14 05:06:00,0.253,50.64,60043264,44.74
2025-05-14 05:06:05,0.581,116.16,60043264,44.74
2025-05-14 05:06:10,0.581,116.16,60043264,44.74
2025-05-14 05:06:16,0.581,116.16,60268544,44.90
2025-05-14 05:06:21,0.581,116.16,60268544,44.90
2025-05-14 05:06:26,0.581,116.16,60268544,44.90
2025-05-14 05:06:31,0.472,94.47,60268544,44.90
2025-05-14 05:06:36,0.472,94.47,60268544,44.90
2025-05-14 05:06:41,0.472,94.47,60268544,44.90
2025-05-14 05:06:47,0.472,94.47,59797504,44.55
2025-05-14 05:06:52,0.472,94.47,59797504,44.55
2025-05-14 05:06:57,0.472,94.47,59797504,44.55
2025-05-14 05:07:02,0.480,95.99,59797504,44.55
2025-05-14 05:07:07,0.480,95.99,59797504,44.55
2025-05-14 05:07:13,0.480,95.99,59797504,44.55
2025-05-14 05:07:18,0.480,95.99,59707392,44.49
2025-05-14 05:07:23,0.480,95.99,59707392,44.49
2025-05-14 05:07:28,0.480,95.99,59707392,44.49
2025-05-14 05:07:33,0.323,64.63,59707392,44.49
2025-05-14 05:07:39,0.323,64.63,59707392,44.49
2025-05-14 05:07:44,0.323,64.63,59707392,44.49
2025-05-14 05:07:49,0.323,64.63,59641856,44.44
2025-05-14 05:07:54,0.323,64.63,59641856,44.44
2025-05-14 05:07:59,0.323,64.63,59641856,44.44
2025-05-14 05:08:05,0.178,35.58,59641856,44.44
2025-05-14 05:08:10,0.178,35.58,59641856,44.44
2025-05-14 05:08:15,0.178,35.58,59514880,44.34
2025-05-14 05:08:20,0.178,35.58,59514880,44.34
2025-05-14 05:08:26,0.178,35.58,59514880,44.34
2025-05-14 05:08:31,0.236,47.26,59514880,44.34
2025-05-14 05:08:36,0.236,47.26,59514880,44.34
2025-05-14 05:08:41,0.236,47.26,59514880,44.34
2025-05-14 05:08:47,0.236,47.26,59420672,44.27
2025-05-14 05:08:52,0.236,47.26,59420672,44.27
2025-05-14 05:08:57,0.236,47.26,59420672,44.27
2025-05-14 05:09:02,0.297,59.46,59420672,44.27
2025-05-14 05:09:07,0.297,59.46,59420672,44.27
2025-05-14 05:09:13,0.297,59.46,59420672,44.27
2025-05-14 05:09:18,0.297,59.46,59723776,44.50
2025-05-14 05:09:23,0.297,59.46,59723776,44.50
2025-05-14 05:09:29,0.297,59.46,59723776,44.50
2025-05-14 05:09:34,0.159,31.85,59723776,44.50
2025-05-14 05:09:39,0.159,31.85,59723776,44.50
2025-05-14 05:09:45,0.159,31.85,59723776,44.50
2025-05-14 05:09:50,0.159,31.85,59363328,44.23
2025-05-14 05:09:55,0.159,31.85,59363328,44.23
2025-05-14 05:10:00,0.085,17.09,59363328,44.23
2025-05-14 05:10:06,0.085,17.09,59363328,44.23
2025-05-14 05:10:11,0.085,17.09,59363328,44.23
2025-05-14 05:10:16,0.085,17.09,58908672,43.89
2025-05-14 05:10:21,0.085,17.09,58908672,43.89
2025-05-14 05:10:27,0.085,17.09,58908672,43.89
2025-05-14 05:10:32,0.224,44.72,58908672,43.89
2025-05-14 05:10:37,0.224,44.72,58908672,43.89
2025-05-14 05:10:42,0.224,44.72,58908672,43.89
2025-05-14 05:10:48,0.224,44.72,58486784,43.58
2025-05-14 05:10:53,0.224,44.72,58486784,43.58
2025-05-14 05:10:58,0.224,44.72,58486784,43.58
2025-05-14 05:11:03,0.146,29.14,58486784,43.58
2025-05-14 05:11:08,0.146,29.14,58486784,43.58
2025-05-14 05:11:14,0.146,29.14,58486784,43.58
2025-05-14 05:11:19,0.146,29.14,59097088,44.03
2025-05-14 05:11:24,0.146,29.14,59097088,44.03
2025-05-14 05:11:30,0.146,29.14,59097088,44.03
2025-05-14 05:11:35,0.241,48.24,59097088,44.03
2025-05-14 05:11:40,0.241,48.24,59097088,44.03
2025-05-14 05:11:45,0.241,48.24,58941440,43.91
2025-05-14 05:11:50,0.241,48.24,58941440,43.91
2025-05-14 05:11:55,0.241,48.24,58941440,43.91
2025-05-14 05:12:01,0.223,44.61,58941440,43.91
2025-05-14 05:12:06,0.223,44.61,58941440,43.91
2025-05-14 05:12:11,0.223,44.61,58941440,43.91
2025-05-14 05:12:16,0.223,44.61,59641856,44.44
2025-05-14 05:12:22,0.223,44.61,59641856,44.44
2025-05-14 05:12:27,0.223,44.61,59641856,44.44
2025-05-14 05:12:32,0.315,62.99,59641856,44.44
2025-05-14 05:12:37,0.315,62.99,59641856,44.44
2025-05-14 05:12:43,0.315,62.99,59641856,44.44
2025-05-14 05:12:48,0.315,62.99,60272640,44.91
2025-05-14 05:12:53,0.315,62.99,60272640,44.91
2025-05-14 05:12:58,0.315,62.99,60272640,44.91
2025-05-14 05:13:04,0.365,72.97,60272640,44.91
2025-05-14 05:13:09,0.365,72.97,60272640,44.91
2025-05-14 05:13:14,0.365,72.97,60272640,44.91
2025-05-14 05:13:19,0.365,72.97,60424192,45.02
2025-05-14 05:13:25,0.365,72.97,60424192,45.02
2025-05-14 05:13:30,0.365,72.97,60424192,45.02
2025-05-14 05:13:35,0.240,48.04,60424192,45.02
2025-05-14 05:13:40,0.240,48.04,60424192,45.02
2025-05-14 05:13:46,0.240,48.04,60116992,44.79
2025-05-14 05:13:51,0.240,48.04,60116992,44.79
2025-05-14 05:13:56,0.240,48.04,60116992,44.79
2025-05-14 05:14:01,0.640,127.95,60116992,44.79
2025-05-14 05:14:07,0.640,127.95,60116992,44.79
2025-05-14 05:14:12,0.640,127.95,60116992,44.79
2025-05-14 05:14:17,0.640,127.95,60248064,44.89
2025-05-14 05:14:22,0.640,127.95,60248064,44.89
2025-05-14 05:14:28,0.640,127.95,60248064,44.89
2025-05-14 05:14:33,0.246,49.26,60248064,44.89
2025-05-14 05:14:38,0.246,49.26,60248064,44.89
2025-05-14 05:14:43,0.246,49.26,60248064,44.89
2025-05-14 05:14:49,0.246,49.26,60563456,45.12
2025-05-14 05:14:54,0.246,49.26,60563456,45.12
2025-05-14 05:14:59,0.246,49.26,60563456,45.12
2025-05-14 05:15:04,0.499,99.75,60563456,45.12
2025-05-14 05:15:09,0.499,99.75,60563456,45.12
2025-05-14 05:15:15,0.499,99.75,60563456,45.12
2025-05-14 05:15:20,0.499,99.75,61911040,46.13
2025-05-14 05:15:25,0.499,99.75,61911040,46.13
2025-05-14 05:15:30,0.575,115.05,61911040,46.13
2025-05-14 05:15:36,0.575,115.05,61911040,46.13
2025-05-14 05:15:41,0.575,115.05,61911040,46.13
2025-05-14 05:15:46,0.575,115.05,61128704,45.54
2025-05-14 05:15:51,0.575,115.05,61128704,45.54
2025-05-14 05:15:56,0.575,115.05,61128704,45.54
2025-05-14 05:16:02,0.495,98.97,61128704,45.54
2025-05-14 05:16:07,0.495,98.97,61128704,45.54
2025-05-14 05:16:12,0.495,98.97,61128704,45.54
2025-05-14 05:16:17,0.495,98.97,61194240,45.59
2025-05-14 05:16:22,0.495,98.97,61194240,45.59
2025-05-14 05:16:28,0.495,98.97,61194240,45.59
2025-05-14 05:16:33,0.350,70.02,61194240,45.59
2025-05-14 05:16:38,0.350,70.02,61194240,45.59
2025-05-14 05:16:43,0.350,70.02,61194240,45.59
2025-05-14 05:16:48,0.350,70.02,60805120,45.30
2025-05-14 05:16:53,0.350,70.02,60805120,45.30
2025-05-14 05:16:59,0.350,70.02,60805120,45.30
2025-05-14 05:17:04,0.356,71.14,60805120,45.30
2025-05-14 05:17:09,0.356,71.14,60805120,45.30
2025-05-14 05:17:14,0.356,71.14,60805120,45.30
2025-05-14 05:17:19,0.356,71.14,0,0.00
