timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 06:47:32,0.381,76.20,57520128,42.86
2025-05-14 06:47:37,0.381,76.20,57520128,42.86
2025-05-14 06:47:43,0.381,76.20,57520128,42.86
2025-05-14 06:47:48,0.381,76.20,57520128,42.86
2025-05-14 06:47:53,0.381,76.20,57520128,42.86
2025-05-14 06:47:58,0.381,76.20,57774080,43.05
2025-05-14 06:48:03,0.441,88.24,57774080,43.05
2025-05-14 06:48:08,0.441,88.24,57774080,43.05
2025-05-14 06:48:13,0.441,88.24,57774080,43.05
2025-05-14 06:48:18,0.441,88.24,57774080,43.05
2025-05-14 06:48:24,0.441,88.24,57774080,43.05
2025-05-14 06:48:29,0.441,88.24,57675776,42.97
2025-05-14 06:48:34,0.576,115.21,57675776,42.97
2025-05-14 06:48:39,0.576,115.21,57675776,42.97
2025-05-14 06:48:44,0.576,115.21,57675776,42.97
2025-05-14 06:48:50,0.576,115.21,57675776,42.97
2025-05-14 06:48:55,0.576,115.21,57675776,42.97
2025-05-14 06:49:00,0.576,115.21,57831424,43.09
2025-05-14 06:49:05,0.312,62.31,57831424,43.09
2025-05-14 06:49:10,0.312,62.31,57831424,43.09
2025-05-14 06:49:15,0.312,62.31,57831424,43.09
2025-05-14 06:49:21,0.312,62.31,57831424,43.09
2025-05-14 06:49:26,0.312,62.31,57831424,43.09
2025-05-14 06:49:31,0.486,97.19,58241024,43.39
2025-05-14 06:49:36,0.486,97.19,58241024,43.39
2025-05-14 06:49:41,0.486,97.19,58241024,43.39
2025-05-14 06:49:46,0.486,97.19,58241024,43.39
2025-05-14 06:49:52,0.486,97.19,58241024,43.39
2025-05-14 06:49:57,0.486,97.19,57815040,43.08
2025-05-14 06:50:02,0.616,123.29,57815040,43.08
2025-05-14 06:50:07,0.616,123.29,57815040,43.08
2025-05-14 06:50:12,0.616,123.29,57815040,43.08
2025-05-14 06:50:17,0.616,123.29,57815040,43.08
2025-05-14 06:50:22,0.616,123.29,57815040,43.08
2025-05-14 06:50:28,0.616,123.29,57610240,42.92
2025-05-14 06:50:33,0.267,53.41,57610240,42.92
2025-05-14 06:50:38,0.267,53.41,57610240,42.92
2025-05-14 06:50:43,0.267,53.41,57610240,42.92
2025-05-14 06:50:48,0.267,53.41,57610240,42.92
2025-05-14 06:50:53,0.267,53.41,57610240,42.92
2025-05-14 06:50:58,0.267,53.41,57495552,42.84
2025-05-14 06:51:03,0.531,106.19,57495552,42.84
2025-05-14 06:51:09,0.531,106.19,57495552,42.84
2025-05-14 06:51:14,0.531,106.19,57495552,42.84
2025-05-14 06:51:19,0.531,106.19,57495552,42.84
2025-05-14 06:51:24,0.531,106.19,57495552,42.84
2025-05-14 06:51:29,0.531,106.19,57110528,42.55
2025-05-14 06:51:34,0.395,79.08,57110528,42.55
2025-05-14 06:51:39,0.395,79.08,57110528,42.55
2025-05-14 06:51:44,0.395,79.08,57110528,42.55
2025-05-14 06:51:49,0.395,79.08,57110528,42.55
2025-05-14 06:51:55,0.395,79.08,57110528,42.55
2025-05-14 06:52:00,0.395,79.08,57032704,42.49
2025-05-14 06:52:05,0.358,71.60,57032704,42.49
2025-05-14 06:52:10,0.358,71.60,57032704,42.49
2025-05-14 06:52:15,0.358,71.60,57032704,42.49
2025-05-14 06:52:20,0.358,71.60,57032704,42.49
2025-05-14 06:52:25,0.358,71.60,57032704,42.49
2025-05-14 06:52:30,0.358,71.60,56954880,42.43
2025-05-14 06:52:35,0.217,43.47,56954880,42.43
2025-05-14 06:52:41,0.217,43.47,56954880,42.43
2025-05-14 06:52:46,0.217,43.47,56954880,42.43
2025-05-14 06:52:51,0.217,43.47,56954880,42.43
2025-05-14 06:52:56,0.217,43.47,56954880,42.43
2025-05-14 06:53:01,0.268,53.55,57405440,42.77
2025-05-14 06:53:06,0.268,53.55,57405440,42.77
2025-05-14 06:53:11,0.268,53.55,57405440,42.77
2025-05-14 06:53:16,0.268,53.55,57405440,42.77
2025-05-14 06:53:21,0.268,53.55,57405440,42.77
2025-05-14 06:53:27,0.268,53.55,56922112,42.41
2025-05-14 06:53:32,0.237,47.32,56922112,42.41
2025-05-14 06:53:37,0.237,47.32,56922112,42.41
2025-05-14 06:53:42,0.237,47.32,56922112,42.41
2025-05-14 06:53:47,0.237,47.32,56922112,42.41
2025-05-14 06:53:52,0.237,47.32,56922112,42.41
2025-05-14 06:53:57,0.237,47.32,56889344,42.39
2025-05-14 06:54:02,0.094,18.87,56889344,42.39
2025-05-14 06:54:07,0.094,18.87,56889344,42.39
2025-05-14 06:54:13,0.094,18.87,56889344,42.39
2025-05-14 06:54:18,0.094,18.87,56889344,42.39
2025-05-14 06:54:23,0.094,18.87,56889344,42.39
2025-05-14 06:54:28,0.094,18.87,56897536,42.39
2025-05-14 06:54:33,0.204,40.75,56897536,42.39
2025-05-14 06:54:38,0.204,40.75,56897536,42.39
2025-05-14 06:54:43,0.204,40.75,56897536,42.39
2025-05-14 06:54:48,0.204,40.75,56897536,42.39
2025-05-14 06:54:53,0.204,40.75,56897536,42.39
2025-05-14 06:54:59,0.204,40.75,56840192,42.35
2025-05-14 06:55:04,0.151,30.18,56840192,42.35
2025-05-14 06:55:09,0.151,30.18,56840192,42.35
2025-05-14 06:55:14,0.151,30.18,56840192,42.35
2025-05-14 06:55:19,0.151,30.18,56840192,42.35
2025-05-14 06:55:24,0.151,30.18,56840192,42.35
2025-05-14 06:55:29,0.151,30.18,56602624,42.17
2025-05-14 06:55:34,0.350,69.96,56602624,42.17
2025-05-14 06:55:40,0.350,69.96,56602624,42.17
2025-05-14 06:55:45,0.350,69.96,56602624,42.17
2025-05-14 06:55:50,0.350,69.96,56602624,42.17
2025-05-14 06:55:55,0.350,69.96,56602624,42.17
2025-05-14 06:56:00,0.350,69.96,56557568,42.14
2025-05-14 06:56:05,0.286,57.10,56557568,42.14
2025-05-14 06:56:10,0.286,57.10,56557568,42.14
2025-05-14 06:56:16,0.286,57.10,56557568,42.14
2025-05-14 06:56:21,0.286,57.10,56557568,42.14
2025-05-14 06:56:26,0.286,57.10,56557568,42.14
2025-05-14 06:56:31,0.305,60.92,56733696,42.27
2025-05-14 06:56:36,0.305,60.92,56733696,42.27
2025-05-14 06:56:41,0.305,60.92,56733696,42.27
2025-05-14 06:56:46,0.305,60.92,56733696,42.27
2025-05-14 06:56:51,0.305,60.92,56733696,42.27
2025-05-14 06:56:57,0.305,60.92,56930304,42.42
2025-05-14 06:57:02,0.168,33.55,56930304,42.42
2025-05-14 06:57:07,0.168,33.55,56930304,42.42
2025-05-14 06:57:12,0.168,33.55,56930304,42.42
2025-05-14 06:57:17,0.168,33.55,56930304,42.42
2025-05-14 06:57:22,0.168,33.55,56930304,42.42
2025-05-14 06:57:27,0.168,33.55,57581568,42.90
2025-05-14 06:57:32,0.641,128.15,57581568,42.90
2025-05-14 06:57:37,0.641,128.15,57581568,42.90
2025-05-14 06:57:43,0.641,128.15,57581568,42.90
2025-05-14 06:57:48,0.641,128.15,57581568,42.90
2025-05-14 06:57:53,0.641,128.15,57581568,42.90
2025-05-14 06:57:58,0.641,128.15,57610240,42.92
2025-05-14 06:58:03,0.304,60.83,57610240,42.92
2025-05-14 06:58:08,0.304,60.83,57610240,42.92
2025-05-14 06:58:13,0.304,60.83,57610240,42.92
2025-05-14 06:58:19,0.304,60.83,57610240,42.92
2025-05-14 06:58:24,0.304,60.83,57610240,42.92
2025-05-14 06:58:29,0.304,60.83,57966592,43.19
2025-05-14 06:58:34,0.494,98.84,57966592,43.19
2025-05-14 06:58:39,0.494,98.84,57966592,43.19
2025-05-14 06:58:44,0.494,98.84,57966592,43.19
2025-05-14 06:58:49,0.494,98.84,57966592,43.19
2025-05-14 06:58:54,0.494,98.84,57966592,43.19
2025-05-14 06:58:59,0.494,98.84,57794560,43.06
2025-05-14 06:59:05,0.521,104.24,57794560,43.06
2025-05-14 06:59:10,0.521,104.24,57794560,43.06
2025-05-14 06:59:15,0.521,104.24,57794560,43.06
