timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 04:03:01,0.633,126.57,72908800,54.32
2025-05-14 04:03:07,0.633,126.57,72908800,54.32
2025-05-14 04:03:12,0.633,126.57,72908800,54.32
2025-05-14 04:03:17,0.633,126.57,72925184,54.33
2025-05-14 04:03:22,0.633,126.57,72925184,54.33
2025-05-14 04:03:27,0.633,126.57,72925184,54.33
2025-05-14 04:03:32,0.487,97.40,72925184,54.33
2025-05-14 04:03:37,0.487,97.40,72925184,54.33
2025-05-14 04:03:42,0.487,97.40,72925184,54.33
2025-05-14 04:03:47,0.487,97.40,71958528,53.61
2025-05-14 04:03:53,0.487,97.40,71958528,53.61
2025-05-14 04:03:58,0.487,97.40,71958528,53.61
2025-05-14 04:04:03,0.252,50.42,71958528,53.61
2025-05-14 04:04:08,0.252,50.42,71958528,53.61
2025-05-14 04:04:13,0.252,50.42,71958528,53.61
2025-05-14 04:04:18,0.252,50.42,72327168,53.89
2025-05-14 04:04:23,0.252,50.42,72327168,53.89
2025-05-14 04:04:29,0.252,50.42,72327168,53.89
2025-05-14 04:04:34,0.708,141.55,72327168,53.89
2025-05-14 04:04:39,0.708,141.55,72327168,53.89
2025-05-14 04:04:44,0.708,141.55,72327168,53.89
2025-05-14 04:04:49,0.708,141.55,72179712,53.78
2025-05-14 04:04:54,0.708,141.55,72179712,53.78
2025-05-14 04:04:59,0.708,141.55,72179712,53.78
2025-05-14 04:05:04,0.523,104.70,72179712,53.78
2025-05-14 04:05:09,0.523,104.70,72179712,53.78
2025-05-14 04:05:15,0.523,104.70,72179712,53.78
2025-05-14 04:05:20,0.523,104.70,72626176,54.11
2025-05-14 04:05:25,0.523,104.70,72626176,54.11
2025-05-14 04:05:30,0.523,104.70,72626176,54.11
2025-05-14 04:05:35,0.420,84.08,72626176,54.11
2025-05-14 04:05:40,0.420,84.08,72626176,54.11
2025-05-14 04:05:45,0.420,84.08,72626176,54.11
2025-05-14 04:05:50,0.420,84.08,72437760,53.97
2025-05-14 04:05:55,0.420,84.08,72437760,53.97
2025-05-14 04:06:01,0.365,72.98,72437760,53.97
2025-05-14 04:06:06,0.365,72.98,72437760,53.97
2025-05-14 04:06:11,0.365,72.98,72437760,53.97
2025-05-14 04:06:16,0.365,72.98,71778304,53.48
2025-05-14 04:06:21,0.365,72.98,71778304,53.48
2025-05-14 04:06:26,0.365,72.98,71778304,53.48
2025-05-14 04:06:31,0.270,53.92,71778304,53.48
2025-05-14 04:06:36,0.270,53.92,71778304,53.48
2025-05-14 04:06:42,0.270,53.92,71778304,53.48
2025-05-14 04:06:47,0.270,53.92,70897664,52.82
2025-05-14 04:06:52,0.270,53.92,70897664,52.82
2025-05-14 04:06:57,0.270,53.92,70897664,52.82
2025-05-14 04:07:02,0.363,72.70,70897664,52.82
2025-05-14 04:07:07,0.363,72.70,70897664,52.82
2025-05-14 04:07:12,0.363,72.70,70897664,52.82
2025-05-14 04:07:17,0.363,72.70,71434240,53.22
2025-05-14 04:07:23,0.363,72.70,71434240,53.22
2025-05-14 04:07:28,0.363,72.70,71434240,53.22
2025-05-14 04:07:33,0.235,46.92,71434240,53.22
2025-05-14 04:07:38,0.235,46.92,71434240,53.22
2025-05-14 04:07:43,0.235,46.92,71434240,53.22
2025-05-14 04:07:48,0.235,46.92,70397952,52.45
2025-05-14 04:07:53,0.235,46.92,70397952,52.45
2025-05-14 04:07:58,0.235,46.92,70397952,52.45
2025-05-14 04:08:04,0.175,34.91,70397952,52.45
2025-05-14 04:08:09,0.175,34.91,70397952,52.45
2025-05-14 04:08:14,0.175,34.91,70397952,52.45
2025-05-14 04:08:19,0.175,34.91,70180864,52.29
2025-05-14 04:08:24,0.175,34.91,70180864,52.29
2025-05-14 04:08:29,0.175,34.91,70180864,52.29
2025-05-14 04:08:34,0.164,32.71,70180864,52.29
2025-05-14 04:08:39,0.164,32.71,70180864,52.29
2025-05-14 04:08:45,0.164,32.71,70180864,52.29
2025-05-14 04:08:50,0.164,32.71,70180864,52.29
2025-05-14 04:08:55,0.164,32.71,70180864,52.29
2025-05-14 04:09:00,0.164,32.71,70180864,52.29
2025-05-14 04:09:05,0.231,46.13,70180864,52.29
2025-05-14 04:09:10,0.231,46.13,70180864,52.29
2025-05-14 04:09:16,0.231,46.13,70180864,52.29
2025-05-14 04:09:21,0.231,46.13,70180864,52.29
2025-05-14 04:09:26,0.231,46.13,70180864,52.29
2025-05-14 04:09:31,0.160,31.98,70180864,52.29
2025-05-14 04:09:36,0.160,31.98,70180864,52.29
2025-05-14 04:09:41,0.160,31.98,70180864,52.29
2025-05-14 04:09:46,0.160,31.98,70180864,52.29
2025-05-14 04:09:51,0.160,31.98,70180864,52.29
2025-05-14 04:09:56,0.160,31.98,70180864,52.29
2025-05-14 04:10:02,0.253,50.59,70180864,52.29
2025-05-14 04:10:07,0.253,50.59,70180864,52.29
2025-05-14 04:10:12,0.253,50.59,70180864,52.29
2025-05-14 04:10:17,0.253,50.59,70545408,52.56
2025-05-14 04:10:22,0.253,50.59,70545408,52.56
2025-05-14 04:10:27,0.253,50.59,70545408,52.56
2025-05-14 04:10:32,0.171,34.26,70545408,52.56
2025-05-14 04:10:37,0.171,34.26,70545408,52.56
2025-05-14 04:10:43,0.171,34.26,70545408,52.56
2025-05-14 04:10:48,0.171,34.26,70180864,52.29
2025-05-14 04:10:53,0.171,34.26,70180864,52.29
2025-05-14 04:10:58,0.171,34.26,70180864,52.29
2025-05-14 04:11:03,0.330,66.05,70180864,52.29
2025-05-14 04:11:08,0.330,66.05,70180864,52.29
2025-05-14 04:11:13,0.330,66.05,70180864,52.29
2025-05-14 04:11:18,0.330,66.05,70180864,52.29
2025-05-14 04:11:24,0.330,66.05,70180864,52.29
2025-05-14 04:11:29,0.330,66.05,70180864,52.29
2025-05-14 04:11:34,0.377,75.47,70180864,52.29
2025-05-14 04:11:39,0.377,75.47,70180864,52.29
2025-05-14 04:11:44,0.377,75.47,70180864,52.29
2025-05-14 04:11:49,0.377,75.47,70483968,52.51
2025-05-14 04:11:54,0.377,75.47,70483968,52.51
2025-05-14 04:11:59,0.377,75.47,70483968,52.51
2025-05-14 04:12:05,0.504,100.87,70483968,52.51
2025-05-14 04:12:10,0.504,100.87,70483968,52.51
2025-05-14 04:12:15,0.504,100.87,70483968,52.51
2025-05-14 04:12:20,0.504,100.87,70619136,52.62
2025-05-14 04:12:25,0.504,100.87,70619136,52.62
2025-05-14 04:12:30,0.504,100.87,70619136,52.62
2025-05-14 04:12:35,0.477,95.38,70619136,52.62
2025-05-14 04:12:41,0.477,95.38,70619136,52.62
2025-05-14 04:12:46,0.477,95.38,70619136,52.62
2025-05-14 04:12:51,0.477,95.38,70389760,52.44
2025-05-14 04:12:56,0.477,95.38,70389760,52.44
2025-05-14 04:13:01,0.474,94.88,70389760,52.44
2025-05-14 04:13:06,0.474,94.88,70389760,52.44
2025-05-14 04:13:11,0.474,94.88,70389760,52.44
2025-05-14 04:13:17,0.474,94.88,70565888,52.58
2025-05-14 04:13:22,0.474,94.88,70565888,52.58
2025-05-14 04:13:27,0.474,94.88,70565888,52.58
2025-05-14 04:13:32,0.542,108.43,70565888,52.58
2025-05-14 04:13:37,0.542,108.43,70565888,52.58
2025-05-14 04:13:42,0.542,108.43,70565888,52.58
2025-05-14 04:13:47,0.542,108.43,71024640,52.92
2025-05-14 04:13:53,0.542,108.43,71024640,52.92
2025-05-14 04:13:58,0.542,108.43,71024640,52.92
2025-05-14 04:14:03,0.321,64.18,71024640,52.92
2025-05-14 04:14:08,0.321,64.18,71024640,52.92
2025-05-14 04:14:13,0.321,64.18,71024640,52.92
2025-05-14 04:14:18,0.321,64.18,71192576,53.04
2025-05-14 04:14:24,0.321,64.18,71192576,53.04
2025-05-14 04:14:29,0.321,64.18,71192576,53.04
2025-05-14 04:14:34,0.484,96.90,71192576,53.04
2025-05-14 04:14:39,0.484,96.90,71192576,53.04
2025-05-14 04:14:44,0.484,96.90,71192576,53.04
2025-05-14 04:14:49,0.484,96.90,71184384,53.04
2025-05-14 04:14:54,0.484,96.90,71184384,53.04
2025-05-14 04:15:00,0.484,96.90,71184384,53.04
2025-05-14 04:15:05,0.485,96.96,71184384,53.04
2025-05-14 04:15:10,0.485,96.96,71184384,53.04
2025-05-14 04:15:15,0.485,96.96,71184384,53.04
2025-05-14 04:15:20,0.485,96.96,71200768,53.05
2025-05-14 04:15:25,0.485,96.96,71200768,53.05
2025-05-14 04:15:30,0.404,80.87,71200768,53.05
2025-05-14 04:15:36,0.404,80.87,71200768,53.05
2025-05-14 04:15:41,0.404,80.87,71200768,53.05
2025-05-14 04:15:46,0.404,80.87,70119424,52.24
2025-05-14 04:15:51,0.404,80.87,70119424,52.24
2025-05-14 04:15:56,0.404,80.87,70119424,52.24
2025-05-14 04:16:01,0.456,91.17,70119424,52.24
2025-05-14 04:16:06,0.456,91.17,70119424,52.24
2025-05-14 04:16:12,0.456,91.17,70119424,52.24
2025-05-14 04:16:17,0.456,91.17,70418432,52.47
2025-05-14 04:16:22,0.456,91.17,70418432,52.47
2025-05-14 04:16:27,0.456,91.17,70418432,52.47
