"Time","master","node-1","node-2","node-3","node-4","node-5","node-6"
2025-05-09 00:00:30,0 rds,0.00351 rds,0 rds,0.00702 rds,0 rds,0.00702 rds,0 rds
2025-05-09 00:01:00,0.00351 rds,0.00351 rds,0 rds,0.0105 rds,0 rds,0.0105 rds,0.00351 rds
2025-05-09 00:01:30,0.00351 rds,0.00351 rds,0 rds,0.0140 rds,0 rds,0.0105 rds,0.00351 rds
2025-05-09 00:02:00,0.00351 rds,0.00351 rds,0 rds,0.0105 rds,0.00351 rds,0.0105 rds,0.00351 rds
2025-05-09 00:02:30,0.0211 rds,0 rds,0 rds,0.0105 rds,0.00351 rds,0.0105 rds,0.00351 rds
2025-05-09 00:03:00,0.0211 rds,0 rds,0 rds,0.0105 rds,0.00351 rds,0.0175 rds,0.00351 rds
2025-05-09 00:03:30,0.0211 rds,0.00351 rds,0 rds,0.0105 rds,0.00351 rds,0.0105 rds,0.00351 rds
2025-05-09 00:04:00,0.0211 rds,0.00351 rds,0 rds,0.0105 rds,0.00351 rds,0.0105 rds,0.00351 rds
2025-05-09 00:04:30,0.0211 rds,0.00351 rds,0 rds,0.0105 rds,0.00351 rds,0.0105 rds,0.00351 rds
2025-05-09 00:05:00,0.0211 rds,0.00702 rds,0 rds,0.00702 rds,0.00351 rds,0.0105 rds,0.00351 rds
2025-05-09 00:05:30,0.0316 rds,0.00702 rds,0 rds,0.00351 rds,0.0105 rds,0.00702 rds,0 rds
2025-05-09 00:06:00,0.0281 rds,0.00702 rds,0 rds,0.00351 rds,0.0105 rds,0.00702 rds,0 rds
2025-05-09 00:06:30,0.0386 rds,0.00702 rds,0 rds,0 rds,0.00702 rds,0.00702 rds,0 rds
2025-05-09 00:07:00,0.0246 rds,0.00702 rds,0 rds,0 rds,0.00702 rds,0.00702 rds,0 rds
2025-05-09 00:07:30,0.0246 rds,0.00702 rds,0 rds,0 rds,0.00702 rds,0.00351 rds,0 rds
2025-05-09 00:08:00,0.0386 rds,0.00351 rds,0 rds,0 rds,0.00702 rds,0 rds,0 rds
2025-05-09 00:08:30,0.0456 rds,0.00351 rds,0 rds,0 rds,0.00702 rds,0 rds,0 rds
2025-05-09 00:09:00,0.0456 rds,0.00351 rds,0 rds,0 rds,0.00702 rds,0 rds,0 rds
2025-05-09 00:09:30,0.0456 rds,0 rds,0 rds,0 rds,0.00702 rds,0 rds,0 rds
2025-05-09 00:10:00,0.0351 rds,0 rds,0 rds,0 rds,0.00702 rds,0 rds,0 rds
2025-05-09 00:10:30,0.0386 rds,0 rds,0 rds,0 rds,0 rds,0 rds,0 rds
2025-05-09 00:11:00,0.0386 rds,0 rds,0 rds,0 rds,0 rds,0 rds,0 rds
2025-05-09 00:11:30,0.0316 rds,0 rds,0 rds,0 rds,0 rds,0 rds,0 rds
2025-05-09 00:12:00,0.0351 rds,0 rds,0 rds,0 rds,0 rds,0 rds,0 rds
2025-05-09 00:12:30,0.0386 rds,0 rds,0 rds,0 rds,0 rds,0 rds,0 rds
2025-05-09 00:13:00,0.0281 rds,0 rds,0 rds,0 rds,0 rds,0 rds,0 rds
2025-05-09 00:13:30,0.0281 rds,0 rds,0.00351 rds,0 rds,0 rds,0 rds,0.00351 rds
2025-05-09 00:14:00,0.0281 rds,0 rds,0.00351 rds,0 rds,0 rds,0 rds,0.00351 rds
2025-05-09 00:14:30,0.0281 rds,0 rds,0.00351 rds,0 rds,0.00351 rds,0 rds,0.00351 rds
2025-05-09 00:15:00,0.0246 rds,0 rds,0.00351 rds,0 rds,0.00702 rds,0 rds,0.00351 rds
2025-05-09 00:15:30,0.0351 rds,0 rds,0.00351 rds,0 rds,0.00702 rds,0 rds,0.00702 rds
2025-05-09 00:16:00,0.0316 rds,0 rds,0.00702 rds,0 rds,0.00702 rds,0 rds,0.0105 rds
2025-05-09 00:16:30,0.0316 rds,0.0316 rds,0.0140 rds,0 rds,0.00702 rds,0 rds,0.0140 rds
2025-05-09 00:17:00,0.0175 rds,0.0316 rds,0.0140 rds,0 rds,0.00702 rds,0 rds,0.0140 rds
2025-05-09 00:17:30,0.0140 rds,2.25 rds,0.0491 rds,0 rds,0.00702 rds,0 rds,0.0140 rds
2025-05-09 00:18:00,0.0140 rds,2.25 rds,0.891 rds,0 rds,0.00702 rds,0 rds,0.0105 rds
2025-05-09 00:18:30,0.0140 rds,2.26 rds,0.909 rds,0 rds,0.00702 rds,0 rds,0.260 rds
2025-05-09 00:19:00,0.0140 rds,2.26 rds,0.933 rds,0 rds,0.00702 rds,0 rds,0.400 rds
2025-05-09 00:19:30,0.0140 rds,2.26 rds,0.937 rds,0 rds,0 rds,0 rds,0.428 rds
2025-05-09 00:20:00,0.00351 rds,2.26 rds,0.937 rds,0 rds,0 rds,0 rds,0.460 rds
