timestamp,cpu_usage(core),cpu_capacity(core),cpu_util_percent,memory_usage_bytes,memory_total_bytes,memory_util_percent
2025-05-08 23:59:53,0.047,4.0,1.8,929341440,16767377408,5.5
2025-05-08 23:59:58,0.056,4.0,1.8,925409280,16767377408,5.5
2025-05-09 00:00:03,0.056,4.0,1.8,925409280,16767377408,5.5
2025-05-09 00:00:09,0.056,4.0,1.8,925409280,16767377408,5.5
2025-05-09 00:00:14,0.095,4.0,3.1,971538432,16767377408,5.8
2025-05-09 00:00:19,0.095,4.0,3.1,971538432,16767377408,5.8
2025-05-09 00:00:24,0.282,4.0,8.0,1004019712,16767377408,6.0
2025-05-09 00:00:29,0.282,4.0,8.0,1004019712,16767377408,6.0
2025-05-09 00:00:34,0.282,4.0,8.0,1004019712,16767377408,6.0
2025-05-09 00:00:40,0.490,4.0,13.8,997072896,16767377408,5.9
2025-05-09 00:00:45,0.490,4.0,13.8,997072896,16767377408,5.9
2025-05-09 00:00:50,0.490,4.0,13.8,997072896,16767377408,5.9
2025-05-09 00:00:55,0.671,4.0,18.5,1013977088,16767377408,6.0
2025-05-09 00:01:01,0.671,4.0,18.5,1013977088,16767377408,6.0
2025-05-09 00:01:06,0.671,4.0,18.5,1013977088,16767377408,6.0
2025-05-09 00:01:11,0.708,4.0,19.6,1003847680,16767377408,6.0
2025-05-09 00:01:16,0.708,4.0,19.6,1003847680,16767377408,6.0
2025-05-09 00:01:21,0.708,4.0,19.6,1003847680,16767377408,6.0
2025-05-09 00:01:27,0.724,4.0,20.0,1015947264,16767377408,6.1
2025-05-09 00:01:32,0.724,4.0,20.0,1015947264,16767377408,6.1
2025-05-09 00:01:37,0.724,4.0,20.0,1015947264,16767377408,6.1
2025-05-09 00:01:42,0.731,4.0,20.2,1003634688,16767377408,6.0
2025-05-09 00:01:47,0.731,4.0,20.2,1003634688,16767377408,6.0
2025-05-09 00:01:53,0.731,4.0,20.2,1003634688,16767377408,6.0
2025-05-09 00:01:58,0.761,4.0,20.8,1015496704,16767377408,6.1
2025-05-09 00:02:03,0.761,4.0,20.8,1015496704,16767377408,6.1
2025-05-09 00:02:08,0.761,4.0,20.8,1015496704,16767377408,6.1
2025-05-09 00:02:13,0.780,4.0,20.6,1011163136,16767377408,6.0
2025-05-09 00:02:18,0.780,4.0,20.6,1011163136,16767377408,6.0
2025-05-09 00:02:24,0.789,4.0,21.6,1022005248,16767377408,6.1
2025-05-09 00:02:29,0.789,4.0,21.6,1022005248,16767377408,6.1
2025-05-09 00:02:34,0.789,4.0,21.6,1022005248,16767377408,6.1
2025-05-09 00:02:39,0.776,4.0,21.4,1020690432,16767377408,6.1
2025-05-09 00:02:45,0.776,4.0,21.4,1020690432,16767377408,6.1
2025-05-09 00:02:50,0.776,4.0,21.4,1020690432,16767377408,6.1
2025-05-09 00:02:55,0.779,4.0,22.1,1022763008,16767377408,6.1
2025-05-09 00:03:00,0.779,4.0,22.1,1022763008,16767377408,6.1
2025-05-09 00:03:05,0.779,4.0,22.1,1022763008,16767377408,6.1
2025-05-09 00:03:10,0.783,4.0,21.3,1013977088,16767377408,6.0
2025-05-09 00:03:16,0.783,4.0,21.3,1013977088,16767377408,6.0
2025-05-09 00:03:21,0.783,4.0,21.3,1013977088,16767377408,6.0
2025-05-09 00:03:26,0.792,4.0,21.5,1016635392,16767377408,6.1
2025-05-09 00:03:31,0.792,4.0,21.5,1016635392,16767377408,6.1
2025-05-09 00:03:36,0.792,4.0,21.5,1016635392,16767377408,6.1
2025-05-09 00:03:42,0.780,4.0,21.2,1007448064,16767377408,6.0
2025-05-09 00:03:47,0.780,4.0,21.2,1007448064,16767377408,6.0
2025-05-09 00:03:52,0.780,4.0,21.2,1007448064,16767377408,6.0
2025-05-09 00:03:57,0.782,4.0,21.4,1004531712,16767377408,6.0
2025-05-09 00:04:02,0.782,4.0,21.4,1004531712,16767377408,6.0
2025-05-09 00:04:08,0.782,4.0,21.4,1004531712,16767377408,6.0
2025-05-09 00:04:13,0.773,4.0,21.0,1000271872,16767377408,6.0
2025-05-09 00:04:18,0.773,4.0,21.0,1000271872,16767377408,6.0
2025-05-09 00:04:23,0.773,4.0,21.0,1000271872,16767377408,6.0
2025-05-09 00:04:28,0.768,4.0,20.7,1017331712,16767377408,6.1
2025-05-09 00:04:34,0.768,4.0,20.7,1017331712,16767377408,6.1
2025-05-09 00:04:39,0.738,4.0,20.1,1005010944,16767377408,6.0
2025-05-09 00:04:44,0.738,4.0,20.1,1005010944,16767377408,6.0
2025-05-09 00:04:49,0.738,4.0,20.1,1005010944,16767377408,6.0
2025-05-09 00:04:54,0.870,4.0,23.4,1065398272,16767377408,6.4
2025-05-09 00:05:00,0.870,4.0,23.4,1065398272,16767377408,6.4
2025-05-09 00:05:05,0.870,4.0,23.4,1065398272,16767377408,6.4
2025-05-09 00:05:10,0.836,4.0,22.7,1022795776,16767377408,6.1
2025-05-09 00:05:15,0.836,4.0,22.7,1022795776,16767377408,6.1
2025-05-09 00:05:21,0.836,4.0,22.7,1022795776,16767377408,6.1
2025-05-09 00:05:26,0.811,4.0,21.7,1018593280,16767377408,6.1
2025-05-09 00:05:31,0.811,4.0,21.7,1018593280,16767377408,6.1
2025-05-09 00:05:36,0.811,4.0,21.7,1018593280,16767377408,6.1
2025-05-09 00:05:41,0.606,4.0,16.5,1012260864,16767377408,6.0
2025-05-09 00:05:47,0.606,4.0,16.5,1012260864,16767377408,6.0
2025-05-09 00:05:52,0.606,4.0,16.5,1012260864,16767377408,6.0
2025-05-09 00:05:57,0.561,4.0,15.3,1028263936,16767377408,6.1
2025-05-09 00:06:03,0.561,4.0,15.3,1028263936,16767377408,6.1
2025-05-09 00:06:08,0.561,4.0,15.3,1028263936,16767377408,6.1
2025-05-09 00:06:13,0.505,4.0,13.8,1025581056,16767377408,6.1
2025-05-09 00:06:18,0.505,4.0,13.8,1025581056,16767377408,6.1
2025-05-09 00:06:23,0.505,4.0,13.8,1025581056,16767377408,6.1
2025-05-09 00:06:29,0.464,4.0,12.7,1011642368,16767377408,6.0
2025-05-09 00:06:34,0.464,4.0,12.7,1011642368,16767377408,6.0
2025-05-09 00:06:39,0.416,4.0,10.7,1010917376,16767377408,6.0
2025-05-09 00:06:44,0.416,4.0,10.7,1010917376,16767377408,6.0
2025-05-09 00:06:50,0.416,4.0,10.7,1010917376,16767377408,6.0
2025-05-09 00:06:55,0.388,4.0,10.6,1019019264,16767377408,6.1
2025-05-09 00:07:00,0.388,4.0,10.6,1019019264,16767377408,6.1
2025-05-09 00:07:05,0.388,4.0,10.6,1019019264,16767377408,6.1
2025-05-09 00:07:10,0.362,4.0,9.9,1019666432,16767377408,6.1
2025-05-09 00:07:16,0.362,4.0,9.9,1019666432,16767377408,6.1
2025-05-09 00:07:21,0.362,4.0,9.9,1019666432,16767377408,6.1
2025-05-09 00:07:26,0.352,4.0,10.4,1018368000,16767377408,6.1
2025-05-09 00:07:31,0.352,4.0,10.4,1018368000,16767377408,6.1
2025-05-09 00:07:37,0.352,4.0,10.4,1018368000,16767377408,6.1
2025-05-09 00:07:42,0.329,4.0,9.2,1018134528,16767377408,6.1
2025-05-09 00:07:47,0.329,4.0,9.2,1018134528,16767377408,6.1
2025-05-09 00:07:52,0.329,4.0,9.2,1018134528,16767377408,6.1
2025-05-09 00:07:57,0.320,4.0,9.0,1029185536,16767377408,6.1
2025-05-09 00:08:03,0.320,4.0,9.0,1029185536,16767377408,6.1
2025-05-09 00:08:08,0.320,4.0,9.0,1029185536,16767377408,6.1
2025-05-09 00:08:13,0.307,4.0,8.7,1027411968,16767377408,6.1
2025-05-09 00:08:18,0.307,4.0,8.7,1027411968,16767377408,6.1
2025-05-09 00:08:23,0.307,4.0,8.7,1027411968,16767377408,6.1
2025-05-09 00:08:29,0.315,4.0,8.8,1022824448,16767377408,6.1
2025-05-09 00:08:34,0.315,4.0,8.8,1022824448,16767377408,6.1
2025-05-09 00:08:39,0.310,4.0,8.7,1021759488,16767377408,6.1
2025-05-09 00:08:44,0.310,4.0,8.7,1021759488,16767377408,6.1
2025-05-09 00:08:49,0.310,4.0,8.7,1021759488,16767377408,6.1
2025-05-09 00:08:55,0.322,4.0,8.8,1034424320,16767377408,6.2
2025-05-09 00:09:00,0.322,4.0,8.8,1034424320,16767377408,6.2
2025-05-09 00:09:05,0.322,4.0,8.8,1034424320,16767377408,6.2
2025-05-09 00:09:10,0.327,4.0,9.1,1026080768,16767377408,6.1
2025-05-09 00:09:15,0.327,4.0,9.1,1026080768,16767377408,6.1
2025-05-09 00:09:21,0.327,4.0,9.1,1026080768,16767377408,6.1
2025-05-09 00:09:26,0.348,4.0,9.6,1034547200,16767377408,6.2
2025-05-09 00:09:31,0.348,4.0,9.6,1034547200,16767377408,6.2
2025-05-09 00:09:36,0.348,4.0,9.6,1034547200,16767377408,6.2
2025-05-09 00:09:41,0.352,4.0,10.0,1021661184,16767377408,6.1
2025-05-09 00:09:47,0.352,4.0,10.0,1021661184,16767377408,6.1
2025-05-09 00:09:52,0.352,4.0,10.0,1021661184,16767377408,6.1
2025-05-09 00:09:57,0.354,4.0,10.2,1010987008,16767377408,6.0
2025-05-09 00:10:02,0.354,4.0,10.2,1010987008,16767377408,6.0
2025-05-09 00:10:08,0.354,4.0,10.2,1010987008,16767377408,6.0
2025-05-09 00:10:13,0.350,4.0,10.5,1006444544,16767377408,6.0
2025-05-09 00:10:18,0.350,4.0,10.5,1006444544,16767377408,6.0
2025-05-09 00:10:23,0.350,4.0,10.5,1006444544,16767377408,6.0
2025-05-09 00:10:28,0.372,4.0,11.2,1012674560,16767377408,6.0
2025-05-09 00:10:34,0.372,4.0,11.2,1012674560,16767377408,6.0
2025-05-09 00:10:39,0.399,4.0,11.8,1015914496,16767377408,6.1
2025-05-09 00:10:44,0.399,4.0,11.8,1015914496,16767377408,6.1
2025-05-09 00:10:49,0.399,4.0,11.8,1015914496,16767377408,6.1
2025-05-09 00:10:54,0.434,4.0,12.7,995151872,16767377408,5.9
2025-05-09 00:11:00,0.434,4.0,12.7,995151872,16767377408,5.9
2025-05-09 00:11:05,0.434,4.0,12.7,995151872,16767377408,5.9
2025-05-09 00:11:10,0.456,4.0,12.8,1001992192,16767377408,6.0
2025-05-09 00:11:15,0.456,4.0,12.8,1001992192,16767377408,6.0
2025-05-09 00:11:20,0.456,4.0,12.8,1001992192,16767377408,6.0
