timestamp,cpu_usage(core),cpu_capacity(core),cpu_util_percent,memory_usage_bytes,memory_total_bytes,memory_util_percent
2025-05-14 15:50:37,0.024,2.0,61.7,808235008,4102352896,19.7
2025-05-14 15:50:42,0.029,2.0,54.0,808235008,4102352896,19.7
2025-05-14 15:50:47,0.034,2.0,46.3,808235008,4102352896,19.7
2025-05-14 15:50:53,0.033,2.0,36.5,808681472,4102352896,19.7
2025-05-14 15:50:58,0.037,2.0,28.5,808681472,4102352896,19.7
2025-05-14 15:51:03,0.041,2.0,20.5,808681472,4102352896,19.7
2025-05-14 15:51:08,0.043,2.0,4.5,833683456,4102352896,20.3
2025-05-14 15:51:13,0.043,2.0,4.5,833683456,4102352896,20.3
2025-05-14 15:51:18,0.043,2.0,4.5,833683456,4102352896,20.3
2025-05-14 15:51:23,0.033,2.0,2.2,833552384,4102352896,20.3
2025-05-14 15:51:28,0.033,2.0,2.2,833552384,4102352896,20.3
2025-05-14 15:51:33,0.033,2.0,2.2,833552384,4102352896,20.3
2025-05-14 15:51:38,0.032,2.0,2.0,824758272,4102352896,20.1
2025-05-14 15:51:43,0.032,2.0,2.0,824758272,4102352896,20.1
2025-05-14 15:51:48,0.032,2.0,2.0,824758272,4102352896,20.1
2025-05-14 15:51:53,0.254,2.0,13.2,855867392,4102352896,20.9
2025-05-14 15:51:58,0.254,2.0,13.2,855867392,4102352896,20.9
2025-05-14 15:52:04,0.254,2.0,13.2,855867392,4102352896,20.9
2025-05-14 15:52:09,0.570,2.0,29.1,933818368,4102352896,22.8
2025-05-14 15:52:14,0.570,2.0,29.1,933818368,4102352896,22.8
2025-05-14 15:52:19,0.570,2.0,29.1,933818368,4102352896,22.8
2025-05-14 15:52:24,0.989,2.0,50.2,3084312576,4102352896,75.2
2025-05-14 15:52:29,0.989,2.0,50.2,3084312576,4102352896,75.2
2025-05-14 15:52:34,0.989,2.0,50.2,3084312576,4102352896,75.2
2025-05-14 15:52:39,1.147,2.0,57.6,3075477504,4102352896,75.0
2025-05-14 15:52:44,1.147,2.0,57.6,3075477504,4102352896,75.0
2025-05-14 15:52:49,1.147,2.0,57.6,3075477504,4102352896,75.0
2025-05-14 15:52:54,1.201,2.0,60.7,3091824640,4102352896,75.4
2025-05-14 15:52:59,1.201,2.0,60.7,3091824640,4102352896,75.4
2025-05-14 15:53:05,1.201,2.0,60.7,3091824640,4102352896,75.4
2025-05-14 15:53:10,1.136,2.0,57.4,956944384,4102352896,23.3
2025-05-14 15:53:15,1.136,2.0,57.4,956944384,4102352896,23.3
2025-05-14 15:53:20,1.118,2.0,57.3,956944384,4102352896,23.3
2025-05-14 15:53:25,1.192,2.0,60.7,3109912576,4102352896,75.8
2025-05-14 15:53:30,1.192,2.0,60.7,3109912576,4102352896,75.8
2025-05-14 15:53:35,1.217,2.0,61.7,3109912576,4102352896,75.8
2025-05-14 15:53:40,1.357,2.0,68.3,1901953024,4102352896,46.4
2025-05-14 15:53:45,1.357,2.0,68.3,1901953024,4102352896,46.4
2025-05-14 15:53:50,1.544,2.0,77.5,3087585280,4102352896,75.3
2025-05-14 15:53:55,1.544,2.0,77.5,3087585280,4102352896,75.3
2025-05-14 15:54:00,1.544,2.0,77.5,3087585280,4102352896,75.3
2025-05-14 15:54:06,1.521,2.0,76.5,3090411520,4102352896,75.3
2025-05-14 15:54:11,1.521,2.0,76.5,3090411520,4102352896,75.3
2025-05-14 15:54:16,1.521,2.0,76.5,3090411520,4102352896,75.3
2025-05-14 15:54:21,1.435,2.0,72.5,931520512,4102352896,22.7
2025-05-14 15:54:26,1.435,2.0,72.5,931520512,4102352896,22.7
