timestamp,action,pod
2025-05-09 00:00:09,ADD,step-load-55f75d64b6-rfvx8
2025-05-09 00:00:19,ADD,nginx-7c4b4649d-lvn2s
2025-05-09 00:20:31,ADD,step-load-55f75d64b6-lmwjx
2025-05-09 00:20:31,ADD,step-load-55f75d64b6-27xmj
2025-05-09 00:22:01,ADD,nginx-7c4b4649d-r7nlw
2025-05-09 00:30:32,ADD,mbw-nd9mb
2025-05-09 00:40:36,ADD,mbw-hrjpm
2025-05-09 00:40:36,DEL,mbw-nd9mb
2025-05-09 00:40:57,DEL,step-load-55f75d64b6-lmwjx
2025-05-09 00:40:57,DEL,step-load-55f75d64b6-27xmj
2025-05-09 00:50:37,ADD,mbw-4qjd7
2025-05-09 00:50:37,DEL,mbw-hrjpm
2025-05-09 00:50:43,DEL,nginx-7c4b4649d-r7nlw
2025-05-09 00:52:29,ADD,nginx-7c4b4649d-m5fr8
2025-05-09 00:59:43,DEL,nginx-7c4b4649d-m5fr8
2025-05-09 01:00:32,ADD,step-load-55f75d64b6-hg98x
2025-05-09 01:00:32,ADD,step-load-55f75d64b6-nnct7
2025-05-09 01:00:43,ADD,mbw-pgvzt
2025-05-09 01:00:43,DEL,mbw-4qjd7
2025-05-09 01:01:15,ADD,nginx-7c4b4649d-4swp7
2025-05-09 01:10:42,DEL,mbw-pgvzt
2025-05-09 01:20:59,DEL,step-load-55f75d64b6-hg98x
2025-05-09 01:20:59,DEL,step-load-55f75d64b6-nnct7
2025-05-09 01:30:27,DEL,nginx-7c4b4649d-4swp7
2025-05-09 02:02:07,ADD,nginx-7c4b4649d-lvn2s
2025-05-09 02:02:07,ADD,step-load-55f75d64b6-rfvx8
2025-05-09 02:02:45,DEL,nginx-7c4b4649d-lvn2s
2025-05-09 02:03:11,DEL,step-load-55f75d64b6-rfvx8
