timestamp,action,pod
2025-05-14 16:10:09,ADD,nginx-7b6d77bd77-8m9r7
2025-05-14 16:10:09,ADD,nginx-7b6d77bd77-j2rp2
2025-05-14 16:10:51,ADD,renaissance-ngf8k
2025-05-14 16:15:26,ADD,nginx-7b6d77bd77-wvzj9
2025-05-14 16:22:54,DEL,renaissance-ngf8k
2025-05-14 16:23:31,ADD,renaissance-rswlf
2025-05-14 16:35:34,DEL,renaissance-rswlf
2025-05-14 16:42:19,ADD,mbw-t9sgs
2025-05-14 16:43:27,DEL,nginx-7b6d77bd77-8m9r7
2025-05-14 16:43:27,DEL,nginx-7b6d77bd77-j2rp2
2025-05-14 16:43:27,DEL,nginx-7b6d77bd77-wvzj9
2025-05-14 16:44:13,DEL,mbw-t9sgs
