timestamp,action,pod
2025-05-10 12:11:28,ADD,nginx-7c4b4649d-s7hpl
2025-05-10 12:11:28,ADD,step-load-8476d48fcd-wk5w6
2025-05-10 12:31:31,ADD,mbw-bmz5n
2025-05-10 12:31:31,ADD,step-load-8476d48fcd-pln8v
2025-05-10 12:37:51,ADD,nginx-7c4b4649d-l5bw9
2025-05-10 12:41:29,DEL,mbw-bmz5n
2025-05-10 12:41:34,ADD,mbw-qcpvg
2025-05-10 12:51:33,DEL,mbw-qcpvg
2025-05-10 12:51:38,ADD,mbw-8j8hj
2025-05-10 12:52:00,DEL,step-load-8476d48fcd-pln8v
2025-05-10 13:01:00,DEL,nginx-7c4b4649d-l5bw9
2025-05-10 13:01:37,DEL,mbw-8j8hj
2025-05-10 13:03:44,ADD,nginx-7c4b4649d-ch26m
2025-05-10 13:11:33,DEL,nginx-7c4b4649d-ch26m
2025-05-10 13:12:47,ADD,nginx-7c4b4649d-f6mtb
2025-05-10 13:22:03,DEL,nginx-7c4b4649d-f6mtb
2025-05-10 13:22:35,ADD,nginx-7c4b4649d-nrc2m
2025-05-10 13:31:55,ADD,mbw-4xs4f
2025-05-10 13:40:41,DEL,nginx-7c4b4649d-nrc2m
2025-05-10 13:42:00,ADD,mbw-hsz4k
2025-05-10 13:42:00,DEL,mbw-4xs4f
2025-05-10 13:51:59,DEL,mbw-hsz4k
2025-05-10 13:52:05,ADD,mbw-s7xl2
2025-05-10 13:52:15,ADD,nginx-7c4b4649d-jw6sn
2025-05-10 14:02:03,DEL,mbw-s7xl2
2025-05-10 14:02:03,DEL,nginx-7c4b4649d-jw6sn
2025-05-10 14:17:35,DEL,nginx-7c4b4649d-s7hpl
2025-05-10 14:18:06,DEL,step-load-8476d48fcd-wk5w6
